Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Percentage of planktic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina bullbrooki,Acarinina cuneicamerata,Acarinina praetopilensis,Acarinina punctocarinata,Acarinina sibaiyaensis,Acarinina soldadoensis,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Catapsydrax dissimilis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Chiloguembelina cubensis,Chiloguembelina sp.,Clavatorella bermudezi,Clavatorella nicobarensis,Clavigerinella sp.,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Fohsella birnageae,Fohsella fohsi,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globanomalina compressa,Globanomalina pseudomenardii,Globigeriantella insueta,Globigerina aequilateralis,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina conglomerata,Globigerina cryptomphala,Globigerina euapertura,Globigerina falconensis,Globigerina linaperta,Globigerina praebulloides,Globigerina pseudodruryi,Globigerina senni,Globigerinatheka index,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Globigerinatheka sp.,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides altiapertura,Globigerinoides bisphericus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconusa daubjergensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina tripartita,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia bermudezi,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miocenica,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita brazieri,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Guembelitrioides nuttali,Hantkenina alabamensis,Hantkenina sp.,Morozovella angulata,Morozovella aragonensis,Morozovella formosa,Morozovella sp.,Morozovella spinulosa,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides bandyi,Morozovelloides crassatus,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Orbulina bilobata,Orbulina suturalis,Orbulina universa,Orbulinoides beckmanni,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia pseudokugleri,Paragloborotalia siakensis,Parasubbotina pseudobulloides,Parasubbotina sp.,Parvularugoglobigerina eugubina,Planorotalites compressa,Praemurica inconstans,Praemurica uncinata,Praeorbulina glomerosa,Praeorbulina sicana,Pseudohastigerina naguewichiensis,Pseudohastigerina wilcoxensis,Pulleniatina (D),Pulleniatina (S),Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Streptochilus sp.,Subbotina sp.,Subbotina triloculinoides,Tenuitella gemma,Truncorotaloides rohri,Truncorotaloides spp.,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia frontosa,Turborotalita humilis,Benthic Foraminifera group,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
355-U1456C-1H-CC-PAL-FORAM,0,5,7.33,7.38,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,,,,,P,,,,,,,,,,A,A,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,P,,,,,,,,,,F,,,,,,,,,,,,,,,,A,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1456,C,1,H,CC,PAL,7c798c7a66bb0e0041879c150c07c691
355-U1456C-3H-CC-PAL-FORAM,0,5,17.7,17.75,"T Globigerinoides ruber (pink) (Wade et al., 2011)",T Globigerinoides ruber (pink),,0.12,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,P,F,,,,,R,,,,,,,,,R,A,A,,,,,P,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,D,,,,,A,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1456,C,3,H,CC,PAL,efc805862175a5fcd1adc56a239aab85
355-U1456C-4H-CC-PAL-FORAM,0,5,27.9,27.95,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,P,,F,F,,,,,R,,,,,,,,,R,A,A,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1456,C,4,H,CC,PAL,1aa8625571ad454fe611baabfdf066bf
355-U1456C-5H-CC-PAL-FORAM,0,5,35.84,35.89,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,R,,,,,,,,,,,,,,R,A,A,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,A,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1456,C,5,H,CC,PAL,950340b5a162c7d4b98747a81b533f39
355-U1456C-6H-CC-PAL-FORAM,0,5,46.77,46.82,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,P,,F,F,,,,,R,,,,,,,,,R,A,A,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,F,,P,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,355,U1456,C,6,H,CC,PAL,d63ba996cbdab6e5d3554baee17567c4
355-U1456C-7H-CC-PAL-FORAM,0,5,55.42,55.47,,,,,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,A,G,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,P,,,P,,,,,,,,,,,P,F,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,C,,,,355,U1456,C,7,H,CC,PAL,014218425ccb000b773f86d6e3448c99
355-U1456C-8H-5-W 85/87-PAL-FORAM,0,2,63.15,63.17,"T Globorotalia tosaensis (Gradstein et al., 2012)",T Globorotalia tosaensis,,0.61,PT1b,"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",0,0.61,A,M,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,,,,,,,,P,R,,,,,P,,,,,,,,F,,A,F,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,R,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,R,,,,355,U1456,C,8,H,5,W,2f8f522a99091e9d4fa021759e7a40d8
355-U1456C-8H-CC-PAL-FORAM,0,5,65.73,65.78,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A,M,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,A,A,,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,355,U1456,C,8,H,CC,PAL,cf2aeb39342161e1da987672f1176c74
355-U1456C-10H-4-W 70/72-PAL-FORAM,0,2,72,72.02,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,R,R,,,,,R,,,,,,,,,,A,A,,,,R,F,,,,,,,,,,,P,,,,,,,,,,,,A,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,R,,,,355,U1456,C,10,H,4,W,ee28a171b17ccb9ec43ab0546efabe49
355-U1456C-10H-CC-PAL-FORAM,0,5,76.22,76.27,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,P,,,,,,,,,,,,,,P,F,,,,,P,,,,,,,,F,,,R,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,A,,,,,R,,,,,,,,,,,,,,,,,,,R,F,,,P,P,,,,,,,,,,,,,,,,R,,,,355,U1456,C,10,H,CC,PAL,82cfc678bbcd1b830cc02f3dcbb07a98
