Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Algirosphaera robusta,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus spp.,Amaurolithus tricorniculatus,Blackites sp.,Braarudosphaera bigelowii,Calcidiscus carlae,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Catinaster mexicanus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus spp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pliopelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites productus,Dictyococcites spp.,Discoaster adamanteus,Discoaster asymmetricus,Discoaster aulakos,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster decorus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis (small),Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster pseudovariabilis,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa lumina,Gephyrocapsa margerelii,Gephyrocapsa margerelii/muellerae,Gephyrocapsa muellerae,Gephyrocapsa oceanica ss,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa spp. (>4 microns),Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa spp. small (<4 microns),Hayaster perplexus,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera scissura,Helicosphaera sellii,Helicosphaera spp.,Helicosphaera wallichii,Minylitha convallis,Nicklithus amplificus,Oolithotus fragilis,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilica,Reticulofenestra rotaria,"Reticulofenestra ""small""",Reticulofenestra spp.,Rhabdosphaera clavigera,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus quadrispinatus,Sphenolithus spp.,Sphenolithus verensis,Syracosphaera pulchra,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1429A-1H-CC-PAL,0,5,6.35,6.4,G,D,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,A,,,C,C,A,,,C,,,,,,,R,F,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,R,,,,,346,U1429,A,1,H,CC,PAL
346-U1429A-2H-CC-PAL,0,5,16.11,16.16,G,D,,,,,,,,,R,,F,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,A,,,,,A,,,C,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,346,U1429,A,2,H,CC,PAL
346-U1429A-3H-CC-PAL,0,5,25.77,25.82,G,D,,,,,,,,,F,,R,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,C,,,,,A,,,C,F,A,,,C,,,,,,,R,R,,,,R,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,F,,,,,346,U1429,A,3,H,CC,PAL
346-U1429A-4H-CC-PAL,0,5,35.27,35.32,G,D,,,,,,,,,R,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,C,,,,,A,,,F,,D,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,346,U1429,A,4,H,CC,PAL
346-U1429A-5H-CC-PAL,0,5,44.78,44.83,G,A,,,,,,,,,,,F,,,C,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,C,,A,,,A,R,C,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,346,U1429,A,5,H,CC,PAL
346-U1429A-7H-CC-PAL,0,5,61.38,61.43,G,A,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,C,,,,,,A,,,C,C,C,,,C,,,,,,,,F,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,C,,,,,346,U1429,A,7,H,CC,PAL
346-U1429A-8H-CC-PAL,0,5,70.97,71.02,G,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,C,,,C,F,C,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,346,U1429,A,8,H,CC,PAL
346-U1429A-9H-CC-PAL,0,5,80.62,80.67,G,A,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,R,,,F,,C,,,C,,A,,,F,,,,,,,,R,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,,,,,346,U1429,A,9,H,CC,PAL
346-U1429A-10H-CC-PAL,0,5,90.15,90.2,G,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,C,,,C,,F,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,346,U1429,A,10,H,CC,PAL
346-U1429A-11H-CC-PAL,0,5,99.67,99.72,G,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,F,,,C,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,346,U1429,A,11,H,CC,PAL
346-U1429A-12H-CC-PAL,0,5,109.14,109.19,G,A,,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,F,,,,,C,,,,,A,,,F,,,,,,,F,F,,,,,,R,*,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,R,Helicosphaera spp = pavimentum,,,,346,U1429,A,12,H,CC,PAL
346-U1429A-13H-4-PAL,0,1,114.57,114.58,G,C,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,F,,,R,,,,,,,C,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,R,,,R,Helicosphaera spp = pavimentum,,,,346,U1429,A,13,H,4,PAL
346-U1429A-13H-CC-PAL,0,5,116.42,116.47,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand,,,,346,U1429,A,13,H,CC,PAL
346-U1429A-15H-CC-PAL,0,5,128.05,128.1,G,A,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,C,,,,,F,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,Helicosphaera spp = pavimentum,,,,346,U1429,A,15,H,CC,PAL
346-U1429A-16H-CC-PAL,0,5,137.6,137.65,G,D,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,A,,,,,D,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,346,U1429,A,16,H,CC,PAL
