Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation palynofacies,Dinocysts,Sporomorphs,Prasinophytes,Acritarchs,Foraminiferal linings,Black phytoclasts,Brown phytoclasts,Amorphous organic matter,Saccate pollen,Nothofagus pollen,Other pollen,Spores,Fungal spores,Dinocysts reworked,Pollen/spores reworked,Total in situ dinocysts,Achomosphaera spp.,Aiora fenestrata,Areosphaeridium diktyoplokus,Arcticacysta sp.,Batiacasphaera sp.,Batiacasphaera cooperi,Batiacasphaera minuta,Batiacasphaera sphaerica,Brigantedinium spp.,Brigantedinium pyinei,Cerebrocysta spp.,Chiropteridium galea,Corrudinium sp.,Cryodinium meridianum,Deflandrea antarctica,Deflandrea phosphoritica,Distatodinium sp.,Edwardsiella sexispinosa,Enneadocysta,Filisphaera filifera,Gelatia inflata,Hystrichokolpoma sp.,Hystrichokolpoma bullatum,Hystrichokolpoma truncatum,Hystrichosphaeridium,Impagidinium sp.,Impagidinium pallidum,Impagidinium patulum,Invertocysta tabulata,Islandinium round brown/spiny,Lejeunecysta sp.,Lejeunecysta acuminata,Lejeunecysta adeliensis,Lejeunecysta attenuata,Lejeunecysta cowiei,Lejeunecysta katatonos,Lejeunecysta fallax,Lejeunecysta rotunda,Malvinia escutiana,Nematosphaeropsis labyrinthea,Operculodinium sp.,Operculodinium? eirikianum,Operculodinium janduchenei,Operculodinium piaseckii,Palaeocystodinium sp.,Phelodinium sp.,Pyxidinopsis sp.,Protoperidinium sp.1,Protoperidinium sp. 2,Protoperidinium sp. 3,Selenopemphix antarctica,Selenopemphix brinkhuisii,Selenopemphix dionaeacysta,Selenopemphix kepion,Selenopemphix nephroides,Selenopemphix undulata,Selenopemphix sp. 1,Spinidinium macmurdoense,Spiniferites elongatus,Spiniferites mirabilis,Spiniferites ramosus,Unipontidinium aquaeductum,Vozzhennikovia apertura,Leiosphaeridia sp.,Cymatiosphaera transparent sp. 1,Cymatiosphaera brown sp. 3,Cymatiosphaera brown sp. 4,Cymatiosphaera sp.,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
374-U1521A-1R-CC-PAL-PALY,0,5,4.23,4.28,,G,R,R,B,R,B,R,R,R,R,B,B,B,B,R,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,374,U1521,A,1,R,CC,PAL,290ea61cd6db6b1858225a3af4c2eb1b
374-U1521A-3R-CC-PAL-PALY,0,5,19.36,19.41,,G,C,F,R,R,R,F,F,A,R,R,R,R,F,F,F,,,,,,,,,,C-A,C-A,,,,,,,,,,,,,,,,,P,,,,P,,,,P,,P,C-A,,,,P,,,,,,,,,P,,,P,,,,,,,,,,C-A,,P,,,,,,,374,U1521,A,3,R,CC,PAL,1e4b4ab0de89c26c63abe94d1c4f5528
374-U1521A-5R-CC-PAL-PALY,0,5,40.15,40.2,,P,B,R,B,B,B,R,R,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,374,U1521,A,5,R,CC,PAL,dae36f04316db0f7336e6a5e46d5244f
374-U1521A-8R-CC-PAL-PALY,0,5,67.75,67.8,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,8,R,CC,PAL,775c04a3cf8100ab07b4bce77a7ab900
374-U1521A-10R-CC-PAL-PALY,0,5,85.67,85.72,,G,R,R,C,C,B,B,R,R,B,B,R,B,B,B,B,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,C-A,,,,,,,,,,,,,,,,,,,,,,C-A,,,,C-A,,,,,374,U1521,A,10,R,CC,PAL,97a0805bca57d22498460a15b0d468a2
374-U1521A-12R-CC-PAL-PALY,0,5,111.94,111.99,,G,C,F,F,F,R,B,R,R,B,B,R,B,B,B,B,,,,,P,,,C-A,C-A,P,P,,,,,,,,,,,,,,,,,P,,,,P,,,,P,,,,,P,P,C-A,P,,,,,,,,,,,,,,,,,,P,,,,,P,P,C-A,,,,,374,U1521,A,12,R,CC,PAL,99af478e2affa2a518e394006cacd453
374-U1521A-14R-CC-PAL-PALY,0,7,122.86,122.93,,G,C,C,F,F,R,B,B,R,R,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,14,R,CC,PAL,18b027db3347605b1d719fad287045f7
374-U1521A-16R-CC-PAL-PALY,0,5,147.02,147.07,,G,F,F,F,F,R,R,R,R,R,B,R,R,B,B,B,,,,,,P,P,,P,P,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,P,,,,P,P,,,,P,,C-A,C-A,,P,,,,P,,,,,,P,,,P,,P,P,P,,,,,374,U1521,A,16,R,CC,PAL,f28bde3377cfa9d9770a63a449242c1c
374-U1521A-18R-CC-PAL-PALY,0,5,167.83,167.88,,G,F,F,F,R,R,R,R,C,R,B,R,R,B,B,B,,P,,,,,,,,C-A,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,C-A,C-A,,P,,,,P,,,,P,,P,,,P,,P,,P,,,,,374,U1521,A,18,R,CC,PAL,e5fc0b8739c5470928dd91463049f25d
374-U1521A-20R-CC-PAL-PALY,0,7,189.42,189.49,,G,RF,R,R,R,B,B,R,C,B,B,B,B,B,B,B,,,,,,P,,P,,P,,,,,,,,,,,,,,,,,,P,,,,,P,,,P,,P,,,,,P,,,,,,P,,,,,,P,,,,,,C-A,,,,P,,P,P,P,,,,,374,U1521,A,20,R,CC,PAL,6f9b7ce95aad6286718dff7f7aab9c7c
374-U1521A-22R-CC-PAL-PALY,0,5,204.9,204.95,,G,RF,R,R,R,R,R,R,F,R,B,B,B,B,B,B,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,P,,P,,,,,,,,,,,,,P,P,P,P,,,,,,374,U1521,A,22,R,CC,PAL,0b42da1bc8ba4837975aa90aa130d1d7
374-U1521A-25R-CC-PAL-PALY,0,5,233.07,233.12,,G,RF,R,R,R,R,R,R,F,F,B,R,B,B,B,B,,P,,,,P,,P,P,P,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,P,,,,P,P,,,,,,P,P,P,,,,,,,,,,,P,,,P,P,P,,P,,,,,374,U1521,A,25,R,CC,PAL,135376f40cb6d4eca76d2c4de891d33d
374-U1521A-27R-CC-PAL-PALY,0,5,253.09,253.14,,G,R,R,R,R,R,B,B,R,R,B,R,B,B,B,B,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,P,P,,,,P,P,P,,,,,,,,,,,,P,,,P,,,,P,,,,,374,U1521,A,27,R,CC,PAL,f6a3bef25334e58c8217de7683739e29
374-U1521A-29R-CC-PAL-PALY,0,5,272.98,273.03,,G,R,R,R,R,R,F,F,R,R,B,R,R,B,B,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,C-A,P,,,,,,,,374,U1521,A,29,R,CC,PAL,4398f3a4b77ae75476173a343eba94b7
374-U1521A-35R-CC-PAL-PALY,0,5,326.72,326.77,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,35,R,CC,PAL,a29894b0631d26fa92af849bfc4e671e
374-U1521A-39R-CC-PAL-PALY,0,5,359.57,359.62,,P,BR,R,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,39,R,CC,PAL,c7a4040066b20ec14e0d5e97ea7ab3c3
374-U1521A-41R-CC-PAL-PALY,0,5,371.71,371.76,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,41,R,CC,PAL,b88510a961088ba3ded0d42b5d08f1e2
374-U1521A-44R-CC-PAL-PALY,0,5,390.45,390.5,,P,BR,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,44,R,CC,PAL,ae5bb5b56250a5b4beef1ed6a8ae0e5b
374-U1521A-46R-CC-PAL-PALY,0,5,405.09,405.14,,P,BR,R,B,B,B,B,B,B,R,R,B,B,B,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,374,U1521,A,46,R,CC,PAL,e3d7c7b4fe64216ff444f2b02973192e
374-U1521A-48R-CC-PAL-PALY,0,5,428.97,429.02,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,48,R,CC,PAL,97f493f6aa99cd730cf0d1ab6248b75c
374-U1521A-50R-CC-PAL-PALY,0,5,448.69,448.74,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,50,R,CC,PAL,56d6cf1bef978a46d76a72b9d1e5a0e1
374-U1521A-51R-CC-PAL-PALY,0,5,450.52,450.57,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,51,R,CC,PAL,d69a584c3046e8dd4292fee69f45f1e4
374-U1521A-53R-CC-PAL-PALY,0,5,477.71,477.76,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,53,R,CC,PAL,99745f2c1a11bc943dc6ae1b3f3a99af
374-U1521A-55R-CC-PAL-PALY,0,5,492.91,492.96,,M,BR,R,R,R,B,B,B,B,R,F,B,R,B,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,P,,,,,374,U1521,A,55,R,CC,PAL,7183954fdec6111bcdbe8aac5b812607
374-U1521A-58R-CC-PAL-PALY,0,5,524.38,524.43,,P,BR,F,B,R,B,B,B,B,F,F,F,F,B,F,F,,,,,P,,,,,P,,,,,,,P,,,P,,,,,,,,,,,,P,P,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,374,U1521,A,58,R,CC,PAL,9e68c500efdeaff1d563b785cca29642
374-U1521A-61R-CC-PAL-PALY,0,5,554.47,554.52,,P,BR,F,B,B,B,B,B,B,F,F,F,F,B,F,F,,,,,,,,P,,,,,,,,,P,P,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,374,U1521,A,61,R,CC,PAL,64b055cb06e6738ea178c1751671fd99
