Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia birnageae,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1502A-2R-CC-PAL(27-32)-FORAM,0,5,376.76,376.81,"T Globoturborotalita nepenthes (Gradstein et al., 2012)",T,,4.37,PL1 (Indo-Pacific),"PL1 (Atlantic) - Globorotalia tumida/Globoturborotalita nepenthes Concurrent-range Zone (Atlantic) (Gradstein et al., 2012)",,,4.37,,,5.72,,M [P32],A,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,P,P,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,CC,PAL,b7fde432f1bdd38bdc2b449903485049
368-U1502A-3R-CC-PAL(6-11)-FORAM,0,5,385.4,385.45,,,,,,,,,,,,,,M [P32],A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,P,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,3,R,CC,PAL,11c25f9141f785bb7897cabbd727b005
368-U1502A-4R-CC-PAL(0-5)-FORAM,0,5,394.62,394.67,,,,,,,,,,,,,,M [P32],A,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,4,R,CC,PAL,3a127ca4f89a8a976a05dc2e8684234a
368-U1502A-5R-CC-PAL-FORAM,0,5,403.8,403.85,,,,,,,,,,,,,,G [P32],A,90,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,368,U1502,A,5,R,CC,PAL,9b7a23c4e2c8163d7b0e5dbf7772d876
368-U1502A-6R-CC-PAL(0-5)-FORAM,0,5,413.99,414.04,,,,,,,,,,,,,,G [P32],A,90,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,368,U1502,A,6,R,CC,PAL,4a94daac3a95131b71faa43ecbbdc231
368-U1502A-7R-CC-PAL(0-5)-FORAM,0,5,423.0,423.05,,,,,,,,,,,,,,M [P32],A,90,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,P,,,P,R,,P,,P,,,P,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,P,,,,,,,,,,,,,,P,,,,P,R,,,,,,,,,,,,,,,,,,,,368,U1502,A,7,R,CC,PAL,42a32a00b07e55fce85c77f9772c06aa
368-U1502A-8R-CC-PAL(9-14)-FORAM,0,5,432.69,432.74,,,,,,,,,,,,,,M [P32],A,90,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,368,U1502,A,8,R,CC,PAL,523c58ecd34d78317b5ccacd1b0b744f
368-U1502A-9R-CC-PAL(25-30)-FORAM,0,5,450.17,450.22,"B Globorotalia margaritae (Gradstein et al., 2012)",B,,6.08,M14,"M14 - Globigerinoides extremus Partial-range Zone (Gradstein et al., 2012)",,,5.72,,,6.14,,M [P32],A,90,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,,,,,,,R,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,9,R,CC,PAL,8e17c2c1be20c0fe7d5e73cf94200333
368-U1502A-10R-CC-PAL(19-24)-FORAM,0,5,458.76,458.81,,,,,,,,,,,,,,M [P32],C,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,P,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,10,R,CC,PAL,bea9904e2c0a5449021665125d02dc21
368-U1502A-11R-CC-PAL(14-19)-FORAM,0,5,470.5,470.55,,,,,,,,,,,,,,M [P32],R,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,D,,,,,,,,,,,,,,,,,,,,368,U1502,A,11,R,CC,PAL,d327060dbfe070baec20c9f8d2da1032
