Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Gavelinella complanata (cf.),Gyroidinoides globosa,Gyroidinoides primitivus,Neobulimina canadaensis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520C-2R-CC-PAL-FORAM,0,5,647.7,647.75,G,F,,,,,,,,,375,U1520,C,2,R,CC,PAL,da449a80592b2448538e2885228a01cd
375-U1520C-3R-CC-PAL-FORAM,0,5,657.79,657.84,M,C,,,,,,,,,375,U1520,C,3,R,CC,PAL,1342b90b41b39fea930d1153d4eb286a
375-U1520C-4R-CC-PAL-FORAM,0,5,667.94,667.99,G,F,,,,,,,,,375,U1520,C,4,R,CC,PAL,10a9cbaa8addab3bb636ecfd8089f422
375-U1520C-5R-CC-PAL-FORAM,0,5,676.32,676.37,M,R,,,,,,,,,375,U1520,C,5,R,CC,PAL,bfd0ec3fdefa37c6fd0c84a780c356b0
375-U1520C-6R-CC-PAL-FORAM,0,5,685.85,685.9,M,R,,,,,,,,,375,U1520,C,6,R,CC,PAL,fc6929296ec50ffae5b5256ecf107118
375-U1520C-7R-CC-PAL-FORAM,0,5,693.05,693.1,M,C,,,,,,,,,375,U1520,C,7,R,CC,PAL,5890b10a727053a1673dac128ef7d468
375-U1520C-8R-CC-PAL-FORAM,0,5,706.02,706.07,P,F,,,,,,,,,375,U1520,C,8,R,CC,PAL,4d5429a43a84fd847628e4232a2f8753
375-U1520C-9R-CC-PAL-FORAM,0,5,713.69,713.74,M,A,,,,,,,,,375,U1520,C,9,R,CC,PAL,2e23606959e62d213b8921bb61692f45
375-U1520C-10R-CC-PAL-FORAM,0,5,726.98,727.03,G-M,D,,,,,,,,,375,U1520,C,10,R,CC,PAL,964e3d17f170afdb36b48845a871502c
375-U1520C-11R-CC-PAL-FORAM,0,5,737.38,737.43,M,A,,,,,,,,,375,U1520,C,11,R,CC,PAL,9deeae951e9cfb4aed6f55c24d367907
375-U1520C-12R-CC-PAL-FORAM,0,7,746.82,746.89,G-M,D,,,,,,,,,375,U1520,C,12,R,CC,PAL,e160b2e29ece163aef671e28df59ad10
375-U1520C-13R-CC-PAL-FORAM,0,5,756.62,756.67,M,D,,,,,,,,,375,U1520,C,13,R,CC,PAL,e81ec89d5cf7dd73835b3898cdbe1696
375-U1520C-14R-CC-PAL-FORAM,0,5,766.15,766.2,M,D,,,,,,,,,375,U1520,C,14,R,CC,PAL,95673b2e3627fbf996d386382fd35368
375-U1520C-15R-7-PAL-FORAM,0,4,775.17,775.21,M,A,,,,,,,,,375,U1520,C,15,R,7,PAL,77b3bf063c9aa758aa90a3b00196249e
375-U1520C-16R-4-PAL-FORAM,0,4,781.36,781.4,G-M,F,,,,,,,,,375,U1520,C,16,R,4,PAL,45326ec96b622f7ae8ace9133ab8914b
375-U1520C-17R-CC-PAL-FORAM,0,5,786.64,786.69,M,D,,,,,,,,,375,U1520,C,17,R,CC,PAL,2843e504975f968b4fb4e0c54cd0922c
375-U1520C-18R-CC-PAL-FORAM,0,5,803.21,803.26,G-M,D,,,,,,,,,375,U1520,C,18,R,CC,PAL,ce6edb58b6be7788ebbb22582735dcfb
375-U1520C-19R-CC-PAL-FORAM,0,5,809.23,809.28,M,D,,,,,,,,,375,U1520,C,19,R,CC,PAL,170080c6a29c83048f909ec992160322
375-U1520C-20R-3-W 62/67-PAL-FORAM,0,5,817.92,817.97,G-P,D,,,,,,,,,375,U1520,C,20,R,3,W,706225e6adb7db5d355babe05a8556c9
375-U1520C-20R-CC-PAL-FORAM,0,5,819.17,819.22,G-M,A,,,,,,,,,375,U1520,C,20,R,CC,PAL,1690788511ba14bafa1377a41794524e
375-U1520C-21R-2-W 6/12-PAL-FORAM,0,6,825.47,825.53,G-M,A,,,,,,,,,375,U1520,C,21,R,2,W,0be7f9d3d306ab5e51b3b3a5574fbaef
375-U1520C-21R-CC-PAL-FORAM,0,5,827.04,827.09,G-M,A,,,,,,,,,375,U1520,C,21,R,CC,PAL,9e56b8a7370eaf9a10b4305bd7f5a23d
375-U1520C-22R-2-W 106/112-PAL-FORAM,0,6,835.97,836.03,G-M,D,,,,,,,,,375,U1520,C,22,R,2,W,10ee688fc8f1bcd7d8e379069be2275b
375-U1520C-22R-CC-PAL-FORAM,0,6,841,841.06,G-M,D,,,,,,,,,375,U1520,C,22,R,CC,PAL,a26507d2c46b1caefe3592b2a475c22d
375-U1520C-23R-4-PAL-FORAM,0,5,848.01,848.06,M,D,,,,,,,,,375,U1520,C,23,R,4,PAL,31679fd805658d2f396c34cc130a3aba
375-U1520C-34R-2-PAL-FORAM,0,5,950.22,950.27,P,R,,,X,,,,,,375,U1520,C,34,R,2,PAL,65431f3b18b773c017073ed716677452
375-U1520C-34R-3-W 26/28-CRUN-FORAM,0,2,950.53,950.55,M,F,,,X,,,,,,375,U1520,C,34,R,3,W,5b7e409f93af47f6e8119d0a665307da
375-U1520C-34R-CC-PAL-FORAM,0,5,953.45,953.5,M-P,F,,X,X,,,,,,375,U1520,C,34,R,CC,PAL,1e525f445d112491834aa92d424c959c
375-U1520C-41R-1-W 99/104-WOOD-FORAM,0,5,1016.69,1016.74,P,R,,,,X,X,,,,375,U1520,C,41,R,1,W,35f45b9fc57180761d926369e650362a
375-U1520C-41R-2-W 61/63-PAL-FORAM-FORAM,0,2,1017.8,1017.82,M-P,R,,,X,X,X,,,,375,U1520,C,41,R,2,W,3d933946d266315ad6a545428ef83f93
375-U1520C-43R-2-W 80/84-PAL-FORAM,0,4,1037.17,1037.21,P,R,,,,,,,,,375,U1520,C,43,R,2,W,a645776309c7ce57168f812edc27f2b5
