Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Percentage of benthic forams in total foram assemblage [%],"PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Large Benthic Forams [%],Ammodiscus sp.,Amphistegina bicirculata,Amphistegina lessonii,Amphistegina lobifera,Amphistegina radiata,Amphistegina sp.,Baculogypsina sphaerulata,Bolivina aenariensis,Bolivina aliformis,Bolivina byramensis,Bolivina incrassata,Bolivina sp.,Bolivina sp. (crenulate),Bolivina sp. (smooth flat),Borelis melo,Bulimina aculeata,Bulimina glomarchallengeri,Bulimina marginata,Bulimina mexicana,Bulimina sp.,Calcarina calcar,Calcarina sp.,Cancris sp.,Ceratocancris sp.,Cibicides  bradyi,Cibicides refulgens,Cibicides sp.,Cibicidina walli,Cibicidoides guazumalensis,Cibicidoides havanensis,Cibicidoides incrassatus,Cibicidoides laurisae,Cibicidoides mexicanus,Cibicidoides pachyderma,Cibicidoides robertsoniana,Cibicidoides sp.,Cornuspira carinata,Coryphostoma midwayensis,Cycloclypeus carpenteri,Cycloclypeus mediterraneus,Cycloclypeus sp.,Cymbalopora sp.,Dentalina sp.,Discanomalina sp.,Discogypsina sp.,Elphidium sp.,Epistomina sp.,Gyroidinoides sp.,Hoeglundina elegans,Hyalinonetrion gracillima,Lagena sp.,Lenticulina mamilligera,Lenticulina sp.,Lepidocyclina sp.,Miliolids,Neoeponides campester,Neoeponides sp.,Neorotalia calcar,Nodosaria sp.,Nummulites sp.,Nuttallides umbonifera,Operculina ammonoides,Operculina sp.,Parasorites orbitoloides,Pavonina flabelliformis,Peneroplis sp. ?,Planorbulina sp.,Planulina ariminensis,Planulina dohertyi,Planulina sp.,Planulina subtenuissima,Planulina wuellerstorfi,Plectofrondicularia sp.,Plectofrondicularia vaughni,Pleurostomella alternans,Polymorphina sp.,Pulvinulina sp.,Pyrgo depressa,Pyrgo sp.,Quinqueloculina sp.,Ramulina globulifera,Rectobolivina sp.,Rectuvigerina sp.,Rectuvigerina striata,Rectuvigerina striatissima,Reophax agglutinatus,Reusella sp.,Reusella spinulosa,Rotalina oblonga,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Siphonina pozonensis,Siphonina tenuicarinata,Sorites orbiculus,Sphaerogypsina sp.,Sphaeroidina bulloides,Spiroloculina sp.,Stilostomella lepidula,Stilostomella spp.,Textularia sp.,Trifarina sp.,Triloculina rotunda,Unidentified agglutinants,Uvigerina canariensis,Uvigerina hispida,Uvigerina proboscidea,Uvigerina schwageri,Uvigerina sp.,Uvigerina spinulosa,Vaginulinopsis bradyi,Vaginulinopsis sp.,Valvulina sp.,Valvulineria sp.,Vulvulina sp.,Vulvulina spinosa,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1471A-1H-CC-PAL-FORAM >150,0,5,4.57,4.62,,,,VG,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,A,C,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,A,,,,C,,,,,,,C,,,C,,,C,,,C,,C,,,C,,,,,,,,359,U1471,A,1,H,CC,PAL,74b8c4a2e236f684e940412d915aadde
359-U1471A-2H-CC-PAL-FORAM >150,0,5,11.7,11.75,,,,VG,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,A,C,,C,,,C,,,,,,,,359,U1471,A,2,H,CC,PAL,e0cac1a6c8df963e75b482eb149be2a0
359-U1471A-3H-CC-PAL-FORAM >150,0,5,23.37,23.42,,,,VG,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,,C,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,C,,,C,,A,C,,C,,,C,,,,,,,,359,U1471,A,3,H,CC,PAL,fc4be5c69373e76cd2c3cd7b3e14a540
359-U1471A-4H-CC-PAL-FORAM >150,0,5,33.22,33.27,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,A,C,,C,C,,C,,,,,,,,359,U1471,A,4,H,CC,PAL,9224915e28b7d57c979b1ea2b131c464
359-U1471A-5H-CC-PAL-FORAM >150,0,5,42.62,42.67,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,A,C,,C,,,,,A,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,C,P,,,,,,,,,,,,A,C,,,C,,A,A,,A,,,,,C,,,,,,359,U1471,A,5,H,CC,PAL,bd7a6fcd51ca5458785e2076eb2a2b0f
359-U1471A-6H-CC-PAL-FORAM >150,0,5,52.26,52.31,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,,,A,,,,,,,,,,,,,,,,,,,C,,,,C,C,,,,A,,,C,,,,,,,,,,,,,C,,,C,,,C,C,,,,,,C,,,,,,359,U1471,A,6,H,CC,PAL,45581bc091663a07a7866636b3e3151b
359-U1471A-8H-CC-PAL-FORAM >150,0,5,70.47,70.52,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,C,A,,,,,,C,,,,,,359,U1471,A,8,H,CC,PAL,fc5d06eb618f7d07d39924717273544e
359-U1471A-9H-CC-PAL-FORAM >150,0,5,80.65,80.7,,,,G,,,,,,,,,,,,,,,,,C,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,9,H,CC,PAL,30e08ce3d20c8622a785589fbd77fd97
359-U1471A-20H-CC-PAL-FORAM >150,0,5,185.19,185.24,,,,M,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,359,U1471,A,20,H,CC,PAL,9f82652dcee756eb54af0ca98df84e26
359-U1471A-25H-CC-PAL-FORAM >150,0,5,233.11,233.16,,,,M,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,359,U1471,A,25,H,CC,PAL,8643482b3c4605b5054070fd8cd60bec
359-U1471A-35F-CC-PAL-FORAM >150,0,5,305.73,305.78,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,35,F,CC,PAL,c81f27b64f39e8068eeaf681c0e75409
359-U1471A-40X-CC-PAL-FORAM >150,0,5,335.43,335.48,,,,VP,,,,,,,,,,,,,,C,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,359,U1471,A,40,X,CC,PAL,6774bd7a4f151377f2493619423c0346
359-U1471A-44X-CC-PAL-FORAM >150,0,5,375.16,375.21,,,,G,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,44,X,CC,PAL,659f2d58249109a00cebb01dce4a08c3
359-U1471A-45F-CC-PAL-FORAM >150,0,5,384.46,384.51,,,few identifiable foraminifera present,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,45,F,CC,PAL,361dae8a08a796cbda403bb5c201eca2
359-U1471A-50X-CC-PAL-FORAM >150,0,5,423.13,423.18,,,,VP,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,50,X,CC,PAL,ed56c212fa531059284f43da02614e05
359-U1471A-51X-CC-PAL-FORAM >150,0,5,432.82,432.87,,,,G,,,,,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,C,,,,,,,,,,359,U1471,A,51,X,CC,PAL,e88de4676c40c6ca1af1e3c7708d2d9c
359-U1471A-52X-CC-PAL-FORAM >150,0,5,442.63,442.68,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,52,X,CC,PAL,ea40ec62eff9b9adf1d0d7fd2f100077
359-U1471A-53X-CC-PAL-FORAM >150,0,5,452.31,452.36,,,,P,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,53,X,CC,PAL,c7dc5817bd2956e5d4aa2dd7e2763613
