Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum age average [Ma],Zone name (short),Zone name,Preservation,Group abundance,Percentage of nannos in total assemblage [%],Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus pliopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera wallichii,Helicosphaera spp.,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera sp.,Scyphosphaera globulata,Scyphosphaera spp.,Rhabdosphaera clavigera,Syracosphaera pulchra,Syracosphaera spp.,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Calciosolenia murrayi,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster surculus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster blackstockae,Discoaster challengeri,Discoaster decorus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster quadramus,Discoaster tristellifer,Discoaster loeblichii,Discoaster spp.,Sphenolithus abies,Sphenolithus grandis,Sphenolithus neoabies,Sphenolithus spp.,Sphenolithus verensis,Ceratolithus cristatus,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus spp.,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Amaurolithus spp.,Nicklithus amplificus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus spp.,Minylitha convallis,Florisphaera profunda,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,File Data,Ship File Links,Shore File Links,Sample
361,U1477,A,1,1-1,H,1,PAL,Mudline-NANNO,0,5,0,0.05,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],F [A112],,F [A113],,C [A113],C [A113],,,,,,,,,,,,,,F [A113],,F [A113],F [A113],,,,F [A113],,,,F [A113],,,,,,,R [A113],,R [A113],,,,,R [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A113],,,,,,,,361-U1477A-1H-1-PAL-Mudline-NANNO
361,U1477,A,1,1-CC,H,CC,PAL,NANNO,0,5,7.51,7.56,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],F [A112],,C [A113],,C [A113],R [A113],,C [A113],,,,,,,,,,,,R [A113],,,R [A113],,,,R [A113],,,,,,,,,,,R [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A113],,,,Coccospheres are present; lots of organic materials,,,,361-U1477A-1H-CC-PAL-NANNO
361,U1477,A,2,2-CC,H,CC,PAL,NANNO,0,5,17.25,17.3,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],F [A112],,C [A113],,C [A113],R [A113],,R [A113],,,,,,F [A113],,,,,,F [A113],,,R [A113],,,,F [A113],,R [A113],,,,,,,,,P [A113],,R [A113],,,R [A113],R [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A113],,,,,,,,361-U1477A-2H-CC-PAL-NANNO
361,U1477,A,3,3-CC,H,CC,PAL,NANNO,0,5,26.83,26.88,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],F [A112],,C [A113],,C [A113],F [A113],,C [A113],,,,,,F [A113],,,,,,F [A113],,,R [A113],,,,F [A113],,,,,,,P [A113],,,,,,R [A113],,,R [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A113],,,,,,,,,,,,,,,,C [A113],,,,,,,,361-U1477A-3H-CC-PAL-NANNO
361,U1477,A,4,4-CC,H,CC,PAL,NANNO,0,5,36.63,36.68,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],F [A112],,C [A113],,C [A113],F [A113],,F [A113],P [A113],,,,,F [A113],,,,,,F [A113],,,P [A113],,,,R [A113],,,,P [A113],,P [A113],,,,,P [A113],P [A113],P [A113],,P [A113],P [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A113],,,,,,,,361-U1477A-4H-CC-PAL-NANNO
361,U1477,A,5,5-CC,H,CC,PAL,NANNO,0,5,46.25,46.3,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],F [A112],,C [A113],R [A113],C [A113],F [A113],,C [A113],,,,,,F [A113],,,,,,F [A113],,,P [A113],,,,R [A113],,P [A113],,,,,,,,,P [A113],F [A113],,,P [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A113],,,,,,,,361-U1477A-5H-CC-PAL-NANNO
361,U1477,A,6,6-CC,H,CC,PAL,NANNO,0,5,55.63,55.68,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],F [A112],,F [A113],,F [A113],R [A113],,F [A113],,,,,,,,,,,,,,,F [A113],,,,F [A113],,,,,,,,,,,F [A113],,,,,F [A113],F [A113],,,,,,,,,,,,,,,,,,,,,,,,,,P [A113],,,,,,,,,,,,,,,,A [A113],,,,,,,,361-U1477A-6H-CC-PAL-NANNO
361,U1477,A,7,7-CC,H,CC,PAL,NANNO,0,5,65.23,65.28,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],C [A112],,F [A113],R [A113],C [A113],C [A113],,C [A113],,,,,,,,,,,,,,,F [A113],,,,F [A113],,R [A113],,,,,P [A113],,,,,F [A113],P [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A113],,,,,,,,361-U1477A-7H-CC-PAL-NANNO
361,U1477,A,8,8-CC,H,CC,PAL,NANNO,0,5,74.42,74.47,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],C [A112],,C [A113],,C [A113],F [A113],,C [A113],,,,,,,,,,,,F [A113],,,F [A113],,,,F [A113],,,,,,,,,,,,,F [A113],,,R [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A113],,,,"More abundant than previous core catchers; more g. oceanica, presence of ascidian spicules",,,,361-U1477A-8H-CC-PAL-NANNO
361,U1477,A,10,10-CC,H,CC,PAL,NANNO,0,5,93.02,93.07,,,,NN21 [G12],"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P41],C [A112],,C [A113],F [A113],C [A113],F [A113],,C [A113],F [A113],,,,,,,,,,,F [A113],,,F [A113],,,,F [A113],,,,,,,,,,,,F [A113],F [A113],,,,F [A113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A113],,,,large G. oceanica; some are greater than 5.5 microns,,,,361-U1477A-10H-CC-PAL-NANNO
