Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],Terrestrial organic matter,Pyrite,"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Acarinina alticonica,Acarinina bullbrooki,Acarinina collactea,Acarinina primitiva,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Cribrohantkenina inflata,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globularis,Dentoglobigerina juxtabinaiensis,Dentoglobigerina sp.,Dentoglobigerina tripartita,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigeriantella insueta,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina rubescens,Globigerina woodi,Globigerinatella sp.,Globigerinatheka barri,Globigerinatheka index,Globigerinella aequilateralis,Globigerinella calida,Globigerinella praesiphonifera,Globigerinella radians,Globigerinella siphonifera,Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiapertura,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber s.s.,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides sacculifer,Globigerinoides sacculifer (without sac),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia humerosa,Globorotalia incognita,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miozea,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotalia zealandica,Globorotaloides hexagona,Globorotaloides quadrocameratus,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina nympha,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia sp.,Planorotalites palmerae,Planorotalites spp.,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina sicana,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina eocaena,Subbotina gortanii,Tenuitella gemma,Tenuitella munda,Tenuitellinata juvenilis,Turborotalita humilis,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1463B-1H-CC-PAL-FORAM-150-2000,0,10,7.78,7.88,,,,,,,,,,A,VG,L [F02],,1,,,,,"Pteropods (C), Scaphopods (A), Ostracod (R)",,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,R,,,,,,R,,,,,,,,,,F,F,R,R,F,,P,P,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,356,U1463,B,1,H,CC,PAL,8adfb3c6f33088d72a886ed17287a589
356-U1463B-3H-CC-PAL-FORAM-150-2000,0,10,27.1,27.2,,,,,,,,,,A,G,L [F02],,1,,,,,Glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,F,F,R,P,F,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,R,P,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,356,U1463,B,3,H,CC,PAL,93cc7d07dca008920dac6892a7489d30
356-U1463B-5H-CC-PAL-FORAM-150-2000,0,10,46.03,46.13,"T Globorotalia tosaensis (Gradstein et al., 2012)",T Globorotalia tosaensis,,0.61,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,A,M,L [F02],80,1,,,,,Ostracods (C); sponge spicules (P); peloids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,P,,,,,P,,,,,,,,,,F,R,P,P,P,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,P,,,P,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1463,B,5,H,CC,PAL,c7ede40a059f18e20d4fe82edde9a108
356-U1463B-7H-CC-PAL-FORAM-150-2000,0,10,64.44,64.54,,,,,,,,,,A,M,,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,,,F,P,P,,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,7,H,CC,PAL,b7df87e6ff77da4a0c5033e0eb8f09e7
356-U1463B-9H-CC-PAL-FORAM-150-2000,0,10,83.62,83.72,,,,,,,,,,A,M,,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,P,R,P,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,R,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,356,U1463,B,9,H,CC,PAL,441c290b5a13116345d8f16160840dab
356-U1463B-13H-CC-PAL-FORAM-150 2000,0,10,121.95,122.05,,,,,,,,,,C,M,,80,,,,,,Ostracod (P); sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,R,P,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,356,U1463,B,13,H,CC,PAL,3fd80c53641a6c822a2c416b4dc4821a
356-U1463B-15H-CC-PAL-FORAM-150-2000,0,10,139.18,139.28,"T Globoturborotalita apertura (Gradstein et al., 2012)",T Globoturborotalita apertura,,1.64,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,M,,80,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,P,F,P,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,15,H,CC,PAL,4768f49fc220f6d5154514256bfdef65
356-U1463B-17H-CC-PAL-FORAM-150 2000,0,10,159.4,159.5,"B Globorotalia truncatulinoides (Gradstein et al., 2012)",B Globorotalia truncatulinoides,,1.93,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,M,,70,,,,,,Ostracod (P),,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,P,P,P,P,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,17,H,CC,PAL,5d44bbe6da35ed1b625c89c2ee451e59
356-U1463B-19H-6-PAL-FORAM-150-2000,0,10,178.02,178.12,"T Globigerinoides fistulosus (Gradstein et al., 2012)",T Globigerinoides fistulosus,,1.88,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",,0.61,1.88,C,M,,70,,,,,,Ostracod (P): sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,P,P,P,,,,,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,19,H,6,PAL,ce0bb8a0bec811dea8b1fdaef4e7bc3e
356-U1463B-21H-CC-PAL-FORAM-150-2000,0,8,197.57,197.65,,,,,,,,,,C,M,,70,,,,,,Ostracod (P); sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,P,P,P,P,P,,,P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,356,U1463,B,21,H,CC,PAL,efba7cb33d4a613b43f729c81e4b9d52
