Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of radiolarians in total assemblage [%],Comment,Acrobotrys tritubus,Acrosphaera spinosa,Actinoma leptoderma,Amphirhopalum ypsilon,Anthocyrtidium angulare,Artophormis barbadensis,Artophormis gracilis,Bekoma bidartensis,Bekoma campechensis,Bekoma spp.,Botryostrobus miralestense,Buccinosphaera invaginata,Buryella clinata,Buryella pentadica,Buryella spp.,Buryella tetradica,Calocyclas bandyca,Calocyclas hispida,Calocyclas turris,Calocycletta caepa,Calocycletta cladara,Calocycletta costata,Calocycletta serrata,Calocycletta sp.,Calocycletta virginis,Calocycloma castum,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis cristata,Carpocanopsis favosa,Centrobotrys gravida,Centrobotrys petrushevskayae,Centrobotrys thermophila,Collosphaera tuberosa,Corythospyris fiscella,Corythospyris jubata,Cryptocarpium azyx,Cycladophora campanula,Cycladophora robusta,Cyrtocapsa cornuta,Cyrtocapsella elongata,Cyrtocapsella japonica,Cyrtocapsella sp.,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyoprora armadillo,Dictyoprora mongolfieri,Dictyoprora pirum,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris papilio,Dorcadospyris pseudopapilio,Eucyrtidium diaphanes,Eusyringium fistuligerum,Eusyringium lagena,Eusyringium striata striata,Flustrella sp.,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Lamptonium fabaeforme,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme,Lamptonium pennatum,Lamptonium sanfilippoae,Liriospyris parkerae,Liriospyris stauropora,Lithocyclia angusta,Lithocyclia aristotelis,Lithocyclia crux,Lithocyclia ocellus,Lithopera bacca,Lithopera neotera,Lithopera renzae,Lithopera thornburgi,Lophocyrtis jacchia,Lychnocanoma amphitrite,Lychnocanoma bellum,Lychnocanoma trifolium,Lychnodictyum audax,Periphaena tripyramis triangula,Phomostichoartus corbula,Phormocyrtis cf. striata exquisita,Phormocyrtis cubensis,Phormocyrtis spp.,Phormocyrtis striata exquisita,Phormocyrtis striata striata,Phormostichoartus doliolum,Phormostichoartus fistula,Plannapus sp.,Podocyrtis  ampla,Podocyrtis  chalara,Podocyrtis acalles,Podocyrtis diamesa,Podocyrtis dorus,Podocyrtis fasciolata,Podocyrtis goetheana,Podocyrtis helenae,Podocyrtis mitra,Podocyrtis papalis,Podocyrtis phyxis,Podocyrtis sinuosa,Podocyrtis spp.,Podocyrtis trachodes,Pterocanium prismatium,Pterocodon (?) anteclinata,Pterocodon ampla,Pterocorys hertwigii,Rhopalocanium ornatum,Sethochytris triconiscus,Siphostichartus corona,Solenosphaera omnitubus,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Spongatractus balbis,Spongatractus pachystylus,Spongocore puella,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Theocorys anaclasta,Theocorythium trachelium trachelium,Theocorythium vetulum,Theocotyle ? spp.,Theocotyle conica,Theocotyle cryptocephala,Theocotyle ficus,Theocotyle nigrinae,Theocotyle nigriniae,Theocotyle venezuelensis,Theocotylisa alpha,Theocotylissa ficus,Theocotylissa spp.,Theocyrtis annosa,Theocyrtis tuberosa,Thyrsocyrtis bromia,Thyrsocyrtis hirsuta,Thyrsocyrtis lochites,Thyrsocyrtis rhizodon,Thyrsocyrtis robusta,Thyrsocyrtis tarsipes,Thyrsocyrtis tensa,Thyrsocyrtis tetracantha,Thyrsocyrtis triacantha,Trisolenia megalactis,Tristylospyris triceros,File Data,Shore File Links,eodp_id
351-U1438E-4R-CC-PAL-RADS,351,U1438,E,4,4-CC,R,CC,PAL,RADS,0,0,871.17,871.17,,,,,,,,P[P36],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a342554c58280ca8602e794054a366cd
351-U1438E-5R-CC-PAL-RADS,351,U1438,E,5,5-CC,R,CC,PAL,RADS,0,7,885.81,885.88,,,,,,,,P[P36],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11dfbb048c003ec2ee36d374a4963671
351-U1438E-6R-CC-PAL-RADS,351,U1438,E,6,6-CC,R,CC,PAL,RADS,0,5,893.77,893.82,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb8e1c269885811b9667ef6c065c9210
351-U1438E-7R-CC-PAL-RADS,351,U1438,E,7,7-CC,R,CC,PAL,RADS,0,5,905.54,905.59,,,,,,,,P[P36],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cad1e57402da634fa6222c4d540eaad
351-U1438E-8R-CC-PAL-RADS,351,U1438,E,8,8-CC,R,CC,PAL,RADS,0,6,913.0,913.06,,,,,,,,P[P36],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec853f4045c5dc9934efddc5afd1a33f
351-U1438E-9R-CC-PAL-RADS,351,U1438,E,9,9-CC,R,CC,PAL,RADS,0,5,921.0,921.05,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77cfb6a631ab3d43760355089717cd3a
351-U1438E-10R-CC-PAL-RADS4,351,U1438,E,10,10-CC,R,CC,PAL,RADS4,0,0,935.24,935.24,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ea5af07d13e2867d1f084af5cb272e7
351-U1438E-11R-7-PAL-RADS,351,U1438,E,11,11-7,R,7,PAL,RADS,0,0,943.84,943.84,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cee41e80017666e1aaebeb4e42904133
351-U1438E-12R-CC-PAL-RADS,351,U1438,E,12,12-CC,R,CC,PAL,RADS,0,0,954.55,954.55,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a17f5caac639851530f983afe1933b3
351-U1438E-13R-CC-PAL-RADS,351,U1438,E,13,13-CC,R,CC,PAL,RADS,0,0,962.59,962.59,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8aef3188f892bc963a0b5c950ec2c7a9
