Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amphistegina sp.,Bathysiphon sp.,Cibicidoides eocenicus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides laurisae,Cibicidoides pachyderma,Cibicidoides sp.,Cibicioides mundulus,Cribrostomoides subglobosus,Dorothia brevis,Eggerella bradyi,Fursenkoina complanata,Glandulina sp.,Globocassidulina moluccensis,Globocassidulina subglobosa,Gyroidina sp.,Haplophragmoides sp.,Karrerulina sp.,Lagena sulcata,Lepidocyclina sp.,Melonis barleeanum,Nodosaria longiscata,Nodosaria sp.,Nonionella sp.,Nuttalides sp.,Oridorsalis umbonatus,Planulina weullerstorfi,Pleurostomella cylindrica,Pullenia sp.,Pullennia simplex,Pyrgo sp.,Quinqueloculina sp.,Reophax sp.,Rhabdammina sp.,Rhizammina sp.,Saccammina sp.,Sigmavirgulina tortuosa,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella sp.,Trifarina sp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina sp.,General comment,File Data,Shore File Links,eodp_id
351-U1438B-1H-CC-PAL-FORAM,351,U1438,B,1,1-CC,H,CC,PAL,FORAM,0,7,7.19,7.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ea1a83ad3350bcef0c41271891505f9
351-U1438B-2H-1-W 68/71-FORAM,351,U1438,B,2,2-1,H,1,W,68/71-FORAM,0,3,7.88,7.91,G [P02],C,,,,,,,,R,,,,P,R,,,,,,,,,P,,,,,,,,,,P,R,,,,,,,,R,,R,F,,,,,fa613c538160cab1a4c51194c27830fe
351-U1438B-2H-CC-PAL-FORAM,351,U1438,B,2,2-CC,H,CC,PAL,FORAM,0,7,16.22,16.29,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9ecff08bc5bd1ca62eb90e6c4d554f12
351-U1438B-3H-CC-PAL-FORAM,351,U1438,B,3,3-CC,H,CC,PAL,FORAM,0,8,25.67,25.75,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecc02f7b0efa13563a928178ad515840
351-U1438B-4H-1-W 136/137-FORAM,351,U1438,B,4,4-1,H,1,W,136/137-FORAM,0,1,27.56,27.57,G [P02],C,,,,,,,,,P,,,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,,P,,R,,,,,,339a901c30b777dcbda2ec475f628f49
351-U1438B-4H-CC-PAL-FORAM,351,U1438,B,4,4-CC,H,CC,PAL,FORAM,0,8,35.73,35.81,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2425562c0b1fa125051c1d1ac8604ee
351-U1438B-5H-CC-PAL-FORAM,351,U1438,B,5,5-CC,H,CC,PAL,FORAM,0,0,44.89,44.89,G [P02],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,f59a0436e0c9c204d2f8f1a55cff965a
351-U1438B-6H-CC-PAL-FORAM,351,U1438,B,6,6-CC,H,CC,PAL,FORAM,0,7,54.96,55.03,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476812ad4b14af407f6565dede9f4dec
351-U1438B-7H-CC-PAL-FORAM,351,U1438,B,7,7-CC,H,CC,PAL,FORAM,0,10,64.09,64.19,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7145d1207d4948274d774c9455360234
351-U1438B-8H-3-PAL-FORAM,351,U1438,B,8,8-3,H,3,PAL,FORAM,0,10,68.58,68.68,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,023b236ff1f71e666ee5276a129360f0
