Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
356-U1464B-1H-CC-PAL-NANNO,0,5,2.21,2.26,NN21,"NN21 - Emiliania huxleyi (Gradstein et al., 2012)",G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,,R,,,F,,,,,,,356,U1464,B,1,H,CC,PAL,bca4ef4616d0aabb783bace16c4a9f5f
356-U1464B-2H-CC-PAL-NANNO,0,5,11.46,11.51,NN20,"NN20 - Gephyrocapsa oceanica (Gradstein et al., 2012)",G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,A,C,,R,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,356,U1464,B,2,H,CC,PAL,cef959bb2943b46a5dff395073136f02
356-U1464B-4H-CC-PAL-NANNO,0,5,30.77,30.82,NN19,"NN19 - Pseudoemiliania lacunosa (Gradstein et al., 2012)",G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,C,,R,R,R,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,356,U1464,B,4,H,CC,PAL,714b8e47a467ea2f261ed001ff79e43e
356-U1464B-5H-CC-PAL-NANNO,0,5,40.52,40.57,,,G [P33],A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,C,,R,F,,R,,,,,,,,R,,,,,,C,C,,,,,F,,,,,,,,R,,,,,,,,,R,,,,F,,,,,,,356,U1464,B,5,H,CC,PAL,c80cde4a0d841c76fbab79ea9ccac881
356-U1464B-6H-CC-PAL-NANNO,0,7,49.75,49.82,,,G [P33],C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,F,,P,,R,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,F,,,,R,,,,,,R,,,R,,,,,,,356,U1464,B,6,H,CC,PAL,413e15c46048a83e7fa631d8b603e1d6
356-U1464B-7H-CC-PAL-NANNO,0,5,59.41,59.46,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G [P33],C,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,P,,C,C,,,,P,R,,,,R,,,,F,,,,R,,,P,,P,F,,,,,,,,,,356,U1464,B,7,H,CC,PAL,75721679c60ef5d9cec9b34831e146a7
356-U1464B-8H-CC-PAL-NANNO,0,5,69.09,69.14,,,M [P33],C,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,coarse micrite grains,,,,356,U1464,B,8,H,CC,PAL,a661ba5373298a5bd5b1b58c71aaa145
356-U1464B-10H-CC-PAL-NANNO,0,5,88.12,88.17,NN17,"NN17 - Discoaster pentaradiatus (Gradstein et al., 2012)",G [P33],C,,,F,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,C,,,,,R,,,,,,,,R,,,,R,,,,,,R,,,,,,,,,,356,U1464,B,10,H,CC,PAL,59ea3f866c3799e5d257c8e8ecb188dc
356-U1464B-11H-CC-PAL-NANNO,0,5,97.37,97.42,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G [P33],C,,,R,,,,,,,,,,,,,,R,,,,,,,P,P,,,R,,,R,,,,,,,,,,,,,,,,,,,,,C,C,,P,,P,R,,,,R,,,,F,,,,R,,,,,P,R,,,,,,,,,,356,U1464,B,11,H,CC,PAL,13694a0763a29e9cd9e6fa01a135a7a4
356-U1464B-12H-CC-PAL-NANNO,0,5,106.87,106.92,,,M [P33],A,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,P,,VA,VA,,F,,,,,,,F,,,,C,,,,C,,,,,F,C,,,,,,,,,,356,U1464,B,12,H,CC,PAL,486c06d7f1bec97bc72d8783c70edcc8
356-U1464B-13H-CC-PAL-NANNO,0,5,116.63,116.68,,,G [P33],C,,,R,,,,,,,,,,P,,,,R,,,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,R,,,,,,,,R,,,,R,,,,,,R,,,,,,,,,,356,U1464,B,13,H,CC,PAL,e3c33ce9c742190d0434ecdb55dc8f39
356-U1464B-14H-CC-PAL-NANNO,0,5,126.25,126.3,,,G [P33],A,,,F,,,,,,,,,,,,,,R,,,,,,,R,P,P,,R,,,,,,,,,,,,,,,,,,R,,,,,,A,C,,,,,R,,,,,,,,F,,,,R,,,,,P,,,,,,,,,,,356,U1464,B,14,H,CC,PAL,7d5975efe10ede1d0723fc5556dfdcf1
356-U1464B-16H-CC-PAL-NANNO,0,5,145.0,145.05,,,M [P33],A,,,R,,,,,,,,,,R,,,,F,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,C,,,,,,VA,VA,,,,,,,,,,,,,R,,P,,F,,,,,R,,,,,,,,,,,356,U1464,B,16,H,CC,PAL,ee70b9a7b3489833771faf59b90adb96
356-U1464B-18H-6-PAL-NANNO,0,5,162.95,163.0,,,M [P33],A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,,C,,,P,,,VA,A,,A,,,R,,,,,,,,F,,,F,F,,,,,,F,,,,,,,,,,356,U1464,B,18,H,6,PAL,dc9f95993ba7807a0427eb53a023f121
356-U1464B-20H-CC-PAL-NANNO,0,7,180.13,180.2,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",M [P33],A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,VA,C,,A,,,R,,,,,,,,F,,,,F,,,,,R,,,R,R,,P,reworked R. bisecta,,,,356,U1464,B,20,H,CC,PAL,2831233bc9cbe97888ebf5d284b61d94
356-U1464B-22H-CC-PAL-NANNO,0,5,196.6,196.65,,,M [P33],A,,,R,,,,,,,,,,R,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,VA,A,,,,P,R,,,,,,,,F,,R,,R,,R,,,P,,,,,,P,reworked R. bisecta; presence Ceratolithus?,,,,356,U1464,B,22,H,CC,PAL,759d92aa2fd68061da697855e64e0473
356-U1464B-24H-CC-PAL-NANNO,0,6,215.64,215.7,,,M [P33],D,,,R,,,,,,,,,,,,,,F,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,C,C,,VA,C,,C,,,,,,,,,,,C,,R,,,,,,,F,,,,,,,,,,,356,U1464,B,24,H,CC,PAL,2b82d975c43e72ea3b53c6c18250fd32
356-U1464B-26H-CC-PAL-NANNO,0,5,235.2,235.25,,,M [P33],D,,,R,,,,,,,,,,,,,,C,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,C,,,A,C,,VA,C,,A,,P,,,,,R,,,,C,,,,F,,F,,,F,F,,F,F,,P,reworked R. bisecta,,,,356,U1464,B,26,H,CC,PAL,eb6d9bb75b4c51abee01142826449ba8
356-U1464B-28H-CC-PAL-NANNO,0,5,254.68,254.73,,,M [P33],D,,,R,,,,,,,,,,,,,,C,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,A,,,,,,A,,P,F,,F,,F,,,,F,,,R,F,,,,,F,R,,,F,,,,,,,356,U1464,B,28,H,CC,PAL,3dbd6829174bf6e310b6079ddccc9cca
356-U1464B-30H-5-PAL-NANNO,0,5,272.57,272.62,,,G [P33],D,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,A,,,VA,,,A,R,,,,R,,R,,,,R,,,,F,,,,,R,,,,,,,,,,,356,U1464,B,30,H,5,PAL,130cd0fcd1630e857806ed831536ced3
356-U1464B-32H-6-PAL-NANNO,0,5,293.1,293.15,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G [P33],D,P,,R,,,,,,,,,,,,,,F,,,,,,F,R,R,,R,C,,,,,,,,,,,,,,,,,R,,,,R,F,,VA,A,,A,,,,,,,F,,,,F,,,,,,,,,R,,,,,,,,,,,356,U1464,B,32,H,6,PAL,74330e19d51dfeba76b2bada89bf1bc7
356-U1464B-34H-CC-PAL-NANNO,0,5,312.7,312.75,,,G [P33],A,,,R,,,,,,,,,,,,P,,R,,,,,,F,R,R,,P,F,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,R,,,,F,,,,F,,,,,,,,,,,,,,,,few R. rotaria,,,,356,U1464,B,34,H,CC,PAL,622ca669ac7dbd015a1bf421883cced7
356-U1464B-35F-CC-PAL-NANNO,0,6,316.89,316.95,,,G [P33],C,,,,,,,,,,,,,,,,,R,,,,,,R,P,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,,R,,,,F,,,,R,,,,,,P,,,,,,,,,,rare R. rotaria,,,,356,U1464,B,35,F,CC,PAL,c800bc8982a28092803f456bd045675c
