Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation palynofacies,Dinocysts,Sporomorphs,Prasinophytes,Acritarchs,Foraminiferal linings,Black phytoclasts,Brown phytoclasts,Amorphous organic matter,Saccate pollen,Nothofagus pollen,Other pollen,Spores,Fungal spores,Dinocysts reworked,Pollen/spores reworked,Total in situ dinocysts,Achomosphaera spp.,Aiora fenestrata,Areosphaeridium diktyoplokus,Arcticacysta sp.,Batiacasphaera sp.,Batiacasphaera cooperi,Batiacasphaera minuta,Batiacasphaera sphaerica,Brigantedinium spp.,Brigantedinium pyinei,Cerebrocysta spp.,Chiropteridium galea,Corrudinium sp.,Cryodinium meridianum,Deflandrea antarctica,Deflandrea phosphoritica,Distatodinium sp.,Edwardsiella sexispinosa,Enneadocysta,Filisphaera filifera,Gelatia inflata,Hystrichokolpoma sp.,Hystrichokolpoma bullatum,Hystrichokolpoma truncatum,Hystrichosphaeridium,Impagidinium sp.,Impagidinium pallidum,Impagidinium patulum,Invertocysta tabulata,Islandinium round brown/spiny,Lejeunecysta sp.,Lejeunecysta acuminata,Lejeunecysta adeliensis,Lejeunecysta attenuata,Lejeunecysta cowiei,Lejeunecysta katatonos,Lejeunecysta fallax,Lejeunecysta rotunda,Malvinia escutiana,Nematosphaeropsis labyrinthea,Operculodinium sp.,Operculodinium? eirikianum,Operculodinium janduchenei,Operculodinium piaseckii,Palaeocystodinium sp.,Phelodinium sp.,Pyxidinopsis sp.,Protoperidinium sp.1,Protoperidinium sp. 2,Protoperidinium sp. 3,Selenopemphix antarctica,Selenopemphix brinkhuisii,Selenopemphix dionaeacysta,Selenopemphix kepion,Selenopemphix nephroides,Selenopemphix undulata,Selenopemphix sp. 1,Spinidinium macmurdoense,Spiniferites elongatus,Spiniferites mirabilis,Spiniferites ramosus,Unipontidinium aquaeductum,Vozzhennikovia apertura,Leiosphaeridia sp.,Cymatiosphaera transparent sp. 1,Cymatiosphaera brown sp. 3,Cymatiosphaera brown sp. 4,Cymatiosphaera sp.,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
374-U1521A-1R-CC-PAL-PALY,0,5,4.23,4.28,,G,R,R,B,R,B,R,R,R,R,B,B,B,B,R,R,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,374,U1521,A,1,R,CC,PAL,92ea215b7c50ef3f56a4b4c65964da9b
374-U1521A-3R-CC-PAL-PALY,0,5,19.36,19.41,,G,C,F,R,R,R,F,F,A,R,R,R,R,F,F,F,,,,,,,,,,XX,XX,,,,,,,,,,,,,,,,,X,,,,X,,,,X,,X,XX,,,,X,,,,,,,,,X,,,X,,,,,,,,,,XX,,X,,,,,,,374,U1521,A,3,R,CC,PAL,2c7181761681382c2acb513e417b153d
374-U1521A-5R-CC-PAL-PALY,0,5,40.15,40.2,,P,B,R,B,B,B,R,R,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,374,U1521,A,5,R,CC,PAL,700d1c09dd6e313686e5575bad4cb86f
374-U1521A-8R-CC-PAL-PALY,0,5,67.75,67.8,,P,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,8,R,CC,PAL,e335c3a468294569da0bcb31edb7b6ae
374-U1521A-10R-CC-PAL-PALY,0,5,85.67,85.72,,G,R,R,C,C,B,B,R,R,B,B,R,B,B,B,B,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,XX,,,,,,,,,,,,,,,,,,,,,,XX,,,,XX,,,,,374,U1521,A,10,R,CC,PAL,63d65806259923ae234544d53397c0a2
374-U1521A-12R-CC-PAL-PALY,0,5,111.94,111.99,,G,C,F,F,F,R,B,R,R,B,B,R,B,B,B,B,,,,,X,,,XX,XX,X,X,,,,,,,,,,,,,,,,,X,,,,X,,,,X,,,,,X,X,XX,X,,,,,,,,,,,,,,,,,,X,,,,,X,X,XX,,,,,374,U1521,A,12,R,CC,PAL,6dc9bcd69e735b747a101c644734ddc7
374-U1521A-14R-CC-PAL-PALY,0,7,122.86,122.93,,G,C,C,F,F,R,B,B,R,R,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1521,A,14,R,CC,PAL,ebe2c9bc317155699cab1bf23b181415
374-U1521A-16R-CC-PAL-PALY,0,5,147.02,147.07,,G,F,F,F,F,R,R,R,R,R,B,R,R,B,B,B,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,X,X,,,,X,,XX,XX,,X,,,,X,,,,,,X,,,X,,X,X,X,,,,,374,U1521,A,16,R,CC,PAL,dad0810113a93a4661750bacce7b3177
374-U1521A-18R-CC-PAL-PALY,0,5,167.83,167.88,,G,F,F,F,R,R,R,R,C,R,B,R,R,B,B,B,,X,,,,,,,,XX,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,XX,XX,,X,,,,X,,,,X,,X,,,X,,X,,X,,,,,374,U1521,A,18,R,CC,PAL,95b231e7ee421b0326504e05e25b9ff8
374-U1521A-20R-CC-PAL-PALY,0,7,189.42,189.49,,G,RF,R,R,R,B,B,R,C,B,B,B,B,B,B,B,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,X,,X,,,,,X,,,,,,X,,,,,,X,,,,,,XX,,,,X,,X,X,X,,,,,374,U1521,A,20,R,CC,PAL,8f409bd9f94f657067b1c2a3f6e9694b
