Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1465A-1H-1-W,15,15,0.15,0.15,,,G,A,C,,,C,,,,,,P,,,,,,,R,,,,,R,,,,,,,,,,F,,,,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1465,A,1,H,1,W,d95f2c282e4338209cbca4a8b22cc58d
359-U1465A-1H-2-W,50,50,1.89,1.89,,,G,A,A,F,,C,,,,,,,,,,,,,C,,,,,A,,,,,,,,,,A,,,,,,,R,,,,F,F,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,A,,,,R,,,,,,359,U1465,A,1,H,2,W,47afb14ea29cc3109bd916dd72bf7415
359-U1465A-1H-3-W,66,66,3.22,3.22,,,G,A,C,,,C,,,,,,C,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,359,U1465,A,1,H,3,W,29e68e6aed118bff4187d5801db79ee9
359-U1465A-1H-4-W,75,75,4.72,4.72,,,G,A,C,,,C,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,359,U1465,A,1,H,4,W,55ab48c72cb752dc2ad3b5f1fe7c62b9
359-U1465A-1H-5-W,65,65,6.04,6.04,,,G,A,,F,,C,,,,,,,,,,,,,R,,,,,F,,,,,R,,,,,,,,,,,,R,,,,F,R,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1465,A,1,H,5,W,b769c5d7ad20c68334c45d116f81dc9b
359-U1465A-1H-6-W,50,50,6.8,6.8,,,G,A,,,,C,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,359,U1465,A,1,H,6,W,2deab3eb4e920af835cabba3ad300597
359-U1465A-1H-CC-W,16,21,7.08,7.13,,,G,A,C,F,,C,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,359,U1465,A,1,H,CC,W,9fda68465b186502a3a94deb06dc556c
359-U1465A-2H-2-W,29,29,8.89,8.89,,,G,A,,,,P,,,,,,R,R,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,359,U1465,A,2,H,2,W,496f229c774cc75e382db3bcfdbaaed7
359-U1465A-2H-4-W,60,60,12.2,12.2,,,G,A,,,,C,,R,,,,C,A,,,,,,R,,,,,C,,,,,F,,,,,F,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,R,,,F,,,,,,359,U1465,A,2,H,4,W,fda1ae9c2589c656eb61ea9b4d81ed73
359-U1465A-2H-5-W,60,60,13.7,13.7,,,M,C,,,,C,C,C,,,R,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,R,,,,F,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,359,U1465,A,2,H,5,W,e145a9f7fabf0f2c46551e21b0e9c48a
