Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
367-U1499B-2R-1-W 128/128-NANNO,0,0,656.28,656.28,,G,A,,,,,,,,,C,,C,,F,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,F,C,,,R,,,,,C,,,,,,,C,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,W,170f10f30c2651f9830a4c25ae875444
367-U1499B-2R-3-W 60/60-NANNO,0,0,658.31,658.31,,M,A,,,,,,,,,A,,C,,F,F,,,,,,,C,,,,,,,,,,C,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,R,,,A,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,3,W,3d1d90f175c3e855502cf963294bf605
367-U1499B-2R-CC-PAL-NANNO,0,5,659.76,659.81,,M,A,,,,,,,,,A,,F,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,F,,,,,,R,,F,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,CC,PAL,34e58a1734ba6a8b52d994760404dce3
367-U1499B-3R-1-W 49/49-NANNO,0,0,665.19,665.19,,M,C,,,,,,,,,C,,F,,C,F,,,,,,,F,,,,,,,,,,C,,,,,,,,,,R,C,,,,,,,,C,,,,,,,F,,,,,,,,,R,,C,,,,,,,,,,,R,,,,,,,,,367,U1499,B,3,R,1,W,588c7f75fc50e0559d0554310529705e
367-U1499B-3R-2-W 71/71-NANNO,0,0,666.74,666.74,,M,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,3,R,2,W,a300d14d1af65a61c3a840f51a6655d4
367-U1499B-3R-3-W 25/25-NANNO,0,0,667.74,667.74,,M,C,,,,,,,,,C,,C,F,,F,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,F,,,,R,,,,F,,,,,,,F,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,B,3,R,3,W,8ff35f9b8b811adae6e1b214d433332f
367-U1499B-3R-CC-PAL-NANNO,0,5,668.81,668.86,,M,C,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,367,U1499,B,3,R,CC,PAL,2a483f3f692f4752ef9abe26cb67a727
367-U1499B-4R-CC-PAL-NANNO,0,5,674.5,674.55,,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,4,R,CC,PAL,5fe1e3543ad734336cf10b8b91074e6b
367-U1499B-4R-CC-W 2/2-NANNO,0,0,674.42,674.42,,M,F,,,,,,,,,C,,C,F,R,R,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,R,,,,,,,F,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,367,U1499,B,4,R,CC,W,2acd2f041567f79b1dca65c054d8d751
367-U1499B-5R-CC-PAL-NANNO,0,5,684.1,684.15,,M,C,,,,,,,,,C,,C,R,F,,,,,,,,F,,,,,,,,,R,C,,,,,,,,,,,R,,C,,,,,,F,,,,,,F,R,,,,,,,,,,,F,,,,F,,,,,,,R,,,,,,,,,367,U1499,B,5,R,CC,PAL,29a8865e03f6fffc4270c04dd66fd41b
367-U1499B-6R-CC-PAL-NANNO,0,2,693.8,693.82,,P,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost Barren,,,,367,U1499,B,6,R,CC,PAL,02b28d02a6373886a4e08a0f48a7aa6e
367-U1499B-7R-CC-PAL-NANNO,0,2,703.5,703.52,,P,R,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost Barren,,,,367,U1499,B,7,R,CC,PAL,99e184c559fc4c23436218380462cc9a
367-U1499B-8R-CC-PAL-NANNO,0,5,713.2,713.25,,P,R,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost Barren,,,,367,U1499,B,8,R,CC,PAL,9a4e6bcf795c6ccf98fc728ac8d5211d
367-U1499B-9R-1-W 97/97-NANNO,0,0,723.87,723.87,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,9,R,1,W,94dd9a6a2bd7c25c7f66afb9048da647
367-U1499B-9R-2-NANNO,0,0,724.42,724.42,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,9,R,2,NANNO,a00705b9bf3c90f58073793b999b1215
367-U1499B-9R-4-W 29/29-NANNO,0,0,726.84,726.84,,P,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,9,R,4,W,b684e6b49e768b363c80fa41703aff61
367-U1499B-9R-CC-PAL-NANNO,0,5,727.61,727.66,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,9,R,CC,PAL,029645ee55d028cc1501b4bcb7ddc069
367-U1499B-10R-1-NANNO,0,0,733.02,733.02,,M,A,,,,,,,,,C,,C,R,,F,,,,,,,F,,,,,,,R,,F,F,,,,,,,,,,,R,,,,R,,,,R,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,R,,,,Catinaster calyculus,,,,367,U1499,B,10,R,1,NANNO,9d3f7fe089ee7a5f5394786ea815fa12
367-U1499B-10R-3-W 42/42-NANNO,0,0,735.09,735.09,,M,C,,,,,,,,,C,,F,,C,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,,367,U1499,B,10,R,3,W,2622357834e72ab59aa4c42179913187
367-U1499B-10R-CC-PAL-NANNO,0,5,735.62,735.67,,M,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,C,,C,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,10,R,CC,PAL,8bcb8f90cf860e1d95adab0cbf37d7a9
367-U1499B-11R-CC-PAL-NANNO,0,5,742.3,742.35,,M,C,,,,,,,,,C,,C,F,,,,F,,,,,F,,,,,,,C,,C,F,,,,,,F,,,,R,F,,,,F,,,,F,,,,,,F,F,,,,,,,,F,,,F,,,,,,,,,,,,,,F,F,Catinaster calyculus,,,,367,U1499,B,11,R,CC,PAL,ad5fc9283464df4b39f9d0581678aabd
367-U1499B-12R-1-W 64/64-NANNO,0,0,752.64,752.64,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,12,R,1,W,0d2d4307b2f12b05e0a5005db907438a
367-U1499B-12R-CC-PAL-NANNO,0,5,753.9,753.95,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,12,R,CC,PAL,cf7dfe1a026f971c2a85d9ee481abad4
367-U1499B-13R-1-W 19/19-NANNO,0,0,761.89,761.89,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,13,R,1,W,b6f77e577fefe3bf063e89ea3996c035
367-U1499B-13R-3-W 44/44-NANNO,0,0,764.52,764.52,,M,F,,,,,,,,,R,,R,,,,,F,,,,,,,,,,,,F,,F,F,R,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catinaster calyculus,,,,367,U1499,B,13,R,3,W,d1814ea517974f8e4edf613780629826
