Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Sample preparation comment,General comment,Group Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus octonarius,Actinocyclus octonarius var. tenellus,Actinocyclus spp.,Actinoptychus senarius,Actinoptychus splendens,Alveus marinus,Amphora spp.,Asterolampra spp.,Asteromphalus elegans,Asteromphalus flabellatus,Aulacoseira spp.,Azpeitia africana,Azpeitia barronii,Azpeitia nodulifera,Azpeitia tabularis,Bacteriastrum spp.,Chaetoceros spp. (resting spores),Coscinodiscus asteromphalus,Coscinodiscus oculus-iridis,Diploneis bombus,Ethmodiscus sp. fragments,Fragilariopsis doliolus,Fragilariopsis fossilis,Fragilariopsis reinholdii,Grammatophora spp.,Hemidiscus cuneiformis,Navicula spp.,Odontella spp.,Paralia sulcata,Pinnularia spp.,Planktoniella sol,Pseudotriceratium cinnamomeum,Rhizosolenia matuyamai,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia spp.,Rhizosolenia styliformis,Roperia tesselata,Shionodiscus oestrupii,Stephanopyxis spp.,Thalassionema bacillaris,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassionema nitzschioides var. parvum,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira convexa var. convexa,Thalassiosira eccentrica,Thalassiosira leptopus s. ampl.,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira spp.,Thalassiothrix longissima,Triceratium favus,Triceratium spp.,other Centric,other Pennate,other Centric or Pennate comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
355-U1457B-1H-1-W 0/1-DIAT,0,1,0,0.01,processed,,F,P-M,,R,,,X,,X,,,,,,X,,R,,X,R,X,,X,,,,,,,,,F-R,,,,,,,X,X,,,,X,,,X,,,,,,,,,X,R,,X,X,X,,,,,355,U1457,B,1,H,1,W,1dd8692c82e975521ee6139fa8057faf
355-U1457B-1H-1-W 10/11-DIAT,0,1,0.1,0.11,processed,,F,P-M,,,,,,,,,,,,,,,R,,,X,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,355,U1457,B,1,H,1,W,6e61c75e064a1babfee828f15c3613f9
355-U1457B-1H-1-W 20/21-DIAT,0,1,0.2,0.21,processed,,R,M,,,,,,,X,,,,,,,,X,,,X,,,X,,,,,X,,,,R,,,,,,,,X,,,,,,,X,,,,,,,,,X,,,X,X,X,,,,,355,U1457,B,1,H,1,W,c5b23d94c0d89a8818b8a1a662982a89
355-U1457B-1H-1-W 33/34-DIAT,0,1,0.33,0.34,processed,,X,P,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,1,W,1055e8904efc2eb7736150772e272726
355-U1457B-1H-1-W 40/41-DIAT,0,1,0.4,0.41,processed,,R,P,,X,,,,,,,,,,,,,X,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,X,,,,,355,U1457,B,1,H,1,W,a17511f3126203ba3d7fd4734b494a5e
355-U1457B-1H-1-W 50/51-DIAT,0,1,0.5,0.51,processed,,X,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,355,U1457,B,1,H,1,W,3377c771422972c4fede7928e03c899b
355-U1457B-1H-1-W 70/71-DIAT,0,1,0.7,0.71,processed,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,1,W,e17427a237c50d80f5361cefc10c1223
355-U1457B-1H-1-W 95/96-DIAT,0,1,0.95,0.96,processed,,R,P-M,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,355,U1457,B,1,H,1,W,776ad74433a48de886d74824a7539aad
355-U1457B-1H-2-W 75/76-DIAT,0,1,2.27,2.28,processed,,X,P,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,2,W,844ccdd9bc5b3625ab469d6a31375c44
355-U1457B-1H-CC-PAL-DIAT,0,5,3.17,3.22,processed,,X,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,B,1,H,CC,PAL,21d9144f7b828f64f80c4c8394ba08dc
