Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Archaeoglobigerina sp.,Globigerinelloides blowi (cf.),Globotruncana aegyptiaca,Globotruncana bulloides,Guembelitria cenomana,Helvetoglobotruncana helvetica,Heterohelix globulosa (cf.),Heterohelix sp.,Microhedbergella pseudodelrioensis,Microhedbergella pseudoplanispira,Microhedbergella renilaevis,Microhedbergella rischi,Microhedbergella sp.,Muircohedbergella delrioensis,Muricohedbergella hoelzli,Muricohedbergella planispira,Planoheterohelix globulosa,Pseudoguembelina costulata (cf.),Rugoglobigerina rugosa,Whiteinella aprica,Whiteinella baltica,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520C-2R-CC-PAL-FORAM,0,5,647.7,647.75,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,2,R,CC,PAL,5d73673b6494772b1d4d783d8b56724f
375-U1520C-3R-CC-PAL-FORAM,0,5,657.79,657.84,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,3,R,CC,PAL,433cc2abb256e76892f39da6bccef62d
375-U1520C-4R-CC-PAL-FORAM,0,5,667.94,667.99,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,4,R,CC,PAL,ae0dd27b65e68b2992fc5cfe42be28f9
375-U1520C-5R-CC-PAL-FORAM,0,5,676.32,676.37,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,5,R,CC,PAL,99108b37ea15ebf4bdfa4cd81f1f5707
375-U1520C-6R-CC-PAL-FORAM,0,5,685.85,685.9,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,6,R,CC,PAL,ff9da9b77c9c6761b0a91b9fd0702635
375-U1520C-7R-CC-PAL-FORAM,0,5,693.05,693.1,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,7,R,CC,PAL,2e1a3b18edc49086239a0aa89efd2a4c
375-U1520C-8R-CC-PAL-FORAM,0,5,706.02,706.07,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,8,R,CC,PAL,0d7e623ca2b465ec290ebf64c0f343c9
375-U1520C-9R-CC-PAL-FORAM,0,5,713.69,713.74,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,9,R,CC,PAL,9fe976ed88458fd0db787a1ae0069b4b
375-U1520C-10R-CC-PAL-FORAM,0,5,726.98,727.03,G-M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,10,R,CC,PAL,eac47a920855e804cd9d779a6008198c
375-U1520C-11R-CC-PAL-FORAM,0,5,737.38,737.43,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,11,R,CC,PAL,121a5716e658e14272d7fd9083d9f580
375-U1520C-12R-CC-PAL-FORAM,0,7,746.82,746.89,G-M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,12,R,CC,PAL,22053dc5dc4c6006e0ab9b8492b3d75c
375-U1520C-13R-CC-PAL-FORAM,0,5,756.62,756.67,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,13,R,CC,PAL,881919b48048b4a78e0b9c85aa389311
375-U1520C-14R-CC-PAL-FORAM,0,5,766.15,766.2,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,14,R,CC,PAL,9779baffd2858a2603e35c7d7d063acf
375-U1520C-15R-7-PAL-FORAM,0,4,775.17,775.21,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,15,R,7,PAL,6a48e38515dc81b95ca9a54a5c13bbaf
375-U1520C-16R-4-PAL-FORAM,0,4,781.36,781.4,G-M,F,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,16,R,4,PAL,0c6aae104043ba32d29aa5d1e30a3b34
375-U1520C-17R-CC-PAL-FORAM,0,5,786.64,786.69,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,17,R,CC,PAL,fb1c5d23f5d5ad9eb1d68bfb176f43f5
375-U1520C-18R-CC-PAL-FORAM,0,5,803.21,803.26,G-M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,18,R,CC,PAL,b09bef8312f432655f9a5c5e37a37dd9
375-U1520C-19R-CC-PAL-FORAM,0,5,809.23,809.28,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,19,R,CC,PAL,57e0e402033f5e3fa097d97070b89497
375-U1520C-20R-3-W 62/67-PAL-FORAM,0,5,817.92,817.97,G-P,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,20,R,3,W,e074bc83b43320a02f576e87e98a6fc6
375-U1520C-20R-CC-PAL-FORAM,0,5,819.17,819.22,G-M,A,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,20,R,CC,PAL,dcbb31a6e813ca31c0c18b51216e2902
375-U1520C-21R-2-W 6/12-PAL-FORAM,0,6,825.47,825.53,G-M,A,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,21,R,2,W,9e64119cd65688731027eb0238529807
375-U1520C-21R-CC-PAL-FORAM,0,5,827.04,827.09,G-M,A,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,21,R,CC,PAL,9c606161b13496ea51cf51eafbbd6802
375-U1520C-22R-2-W 106/112-PAL-FORAM,0,6,835.97,836.03,G-M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,2,W,ec55118913a8a83568e9637a109e99c3
375-U1520C-22R-CC-PAL-FORAM,0,6,841,841.06,G-M,D,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,CC,PAL,0188b4e1a13c8d33c7cd2e8fb75e0d2a
375-U1520C-23R-4-PAL-FORAM,0,5,848.01,848.06,M,D,,,X,,,,,X,X,,,,,,,,,,X,X,,,,,,375,U1520,C,23,R,4,PAL,d1f9b42379277d95ec9800a4afbe378e
375-U1520C-34R-2-PAL-FORAM,0,5,950.22,950.27,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,2,PAL,b0ead5b5ea87c08a09d2046a70a79c78
375-U1520C-34R-3-W 26/28-CRUN-FORAM,0,2,950.53,950.55,M,F,,,,,,,,,,,,,,,X,,X,,,,,,,,,375,U1520,C,34,R,3,W,80cf33a015dabdde026482ca6e1ef832
375-U1520C-34R-CC-PAL-FORAM,0,5,953.45,953.5,M-P,F,,,,,,,X,,,X,X,X,X,X,,,X,,,,X,,,,,375,U1520,C,34,R,CC,PAL,f007fe4cfd3c741c32038f1e72a59875
375-U1520C-41R-1-W 99/104-WOOD-FORAM,0,5,1016.69,1016.74,P,R,,,,,,X,,,,,,,,,,,X,,,,,,,,,375,U1520,C,41,R,1,W,05362159d1164ca8686b0a44133a60ec
375-U1520C-41R-2-W 61/63-PAL-FORAM-FORAM,0,2,1017.8,1017.82,M-P,R,,X,,,,X,,,,,,,,,X,X,X,,,,,,,,,375,U1520,C,41,R,2,W,810ff170d60712b9aede8abc8cf5346e
375-U1520C-43R-2-W 80/84-PAL-FORAM,0,4,1037.17,1037.21,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,43,R,2,W,492cdd10544080a8f98cadd51f61f704
