Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Group abundance,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample
361,U1477,A,1,1-CC,H,CC,PAL,FORAM,0,5,7.51,7.56,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,R,R,R,,F,R,,,,,R,D,,,,R,,,,,,,F,,,,,,,,,,,,,,,,R,,,F,,R,,F,F,,,,,,,,,,361-U1477A-1H-CC-PAL-FORAM
361,U1477,A,2,2-CC,H,CC,PAL,FORAM,0,5,17.25,17.3,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,R,R,R,,F,R,,,,,R,D,,,,R,,,,R,,,F,,,,,,,R,,,,R,,,,,,,,F,,R,,F,F,,,,,,,,,,361-U1477A-2H-CC-PAL-FORAM
361,U1477,A,3,3-CC,H,CC,PAL,FORAM,0,5,26.83,26.88,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,R,R,,,F,R,,,,,D,F,,,,R,,,,F,,,F,,,,,,,R,,,R,R,,,,,,,,F,,R,,F,F,,,,,,,,,,361-U1477A-3H-CC-PAL-FORAM
361,U1477,A,4,4-CC,H,CC,PAL,FORAM,0,5,36.63,36.68,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,R,R,R,R,R,R,,,,,A,A,,,,F,,,,,,,R,,,,,,,,,,R,,,,,,,,,F,,R,,R,R,,,,,,,,,,361-U1477A-4H-CC-PAL-FORAM
361,U1477,A,5,5-CC,H,CC,FORAM,,0,5,45.95,46.0,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,R,R,R,R,R,,,,,,A,F,,,,F,,,,F,,,R,,,,,,,R,,,R,R,,,,,R,,,F,,R,,R,R,,,,,,,,,,361-U1477A-5H-CC-FORAM
361,U1477,A,6,6-CC,H,CC,PAL,FORAM,0,5,55.63,55.68,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,R,R,R,R,R,,,,,,D,F,,,,F,,,,R,,,R,,,,,,,R,,,R,R,,,,,R,,,F,,F,,R,R,,,,,,,,,,361-U1477A-6H-CC-PAL-FORAM
361,U1477,A,7,7-CC,H,CC,PAL,FORAM,0,5,65.23,65.28,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,R,R,R,,F,R,,,,,F,F,,,,F,,,,,,,R,,,,,,,R,,,R,,,,,,,,,R,,R,,R,R,,,,,,,,,,361-U1477A-7H-CC-PAL-FORAM
361,U1477,A,8,8-CC,H,CC,PAL,FORAM,0,5,74.42,74.47,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,F,F,R,R,,F,F,,,,,A,A,,,,R,,,,,,,R,,,,,,,,,,R,R,R,,,,,,,R,,R,,R,R,,,,,,,,,,361-U1477A-8H-CC-PAL-FORAM
361,U1477,A,10,10-CC,H,CC,PAL,FORAM,0,5,93.02,93.07,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,R,,R,R,R,F,R,,,,,A,F,,,,F,,,,R,,,R,,,,,,,R,,,R,R,R,,,,,,,F,,,,R,R,,,,,,,,,,361-U1477A-10H-CC-PAL-FORAM
361,U1477,A,11,11-CC,H,CC,PAL,FORAM,0,5,101.83,101.88,,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",R [A103],,,F,,F,,R,R,,,,,,F,R,,,,F,,,,R,,,P,,,,,,,,,,R,P,,,,,,,,F,,R,,R,R,,P,,,,,,,,361-U1477A-11H-CC-PAL-FORAM
