Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum (6-sided),Distephanus speculum pentagonus,Bachmannocena diodon,Bachmannocena circulus,Distephanus speculum speculum f. varians,Distephanus speculum speculum (7-sided),Distephanus speculum speculum (6-sided; multiwindowed),Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,D. speculum speculum,              ,120, 748,A,  1,H, 4,  47.00,      4.9700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,284                                    ,2                              ,                    ,                      ,1                                       ,4                                      ,9                                                     ,Number of aberrants = 6; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. speculum speculum,              ,120, 748,A,  2,H, 4,  47.00,     14.4700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,22                                     ,5                              ,4                   ,2                     ,                                        ,                                       ,                                                      ,Number of aberrants = 2; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,
