Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tylostyle taxa,Acanthostyle taxa,Sigmas taxa,Oxea taxa,Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,A,  1,H, 2,  47.00,      1.9700,McCartney,Sponge Spicules                              ,               ,                  ,3             ,1                ,6          ,9        ,from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,A,  1,H, 6,  47.00,      7.9700,McCartney,Sponge Spicules                              ,               ,                  ,              ,                 ,           ,2        ,from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,A,  2,H, 2,  47.00,     11.4700,McCartney,Sponge Spicules                              ,               ,                  ,              ,                 ,           ,3        ,from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,A,  2,H, 4,  47.00,     14.4700,McCartney,Sponge Spicules                              ,               ,                  ,              ,                 ,1          ,3        ,from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,A,  2,H, 6,  47.00,     17.4700,McCartney,Sponge Spicules                              ,               ,                  ,1             ,1                ,           ,         ,from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835
,,,,,,,,,,,,,,,,,,,,,
