Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Acritarchs (undifferentiated),Prasinophyceen (unspecified taxon or taxa),Shublikodinium spp.,Dinoflagellate cysts indet.,Suessia swabiana,Suessia sp.,Suessia listeri,Rhaetogonyaulax sp.,Heibergella balmei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 759,B,  6,R, 1,  58.00,     41.0800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,R                  ,C                          ,F               ,F          ,F              ,F                  ,R                 ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 11,R, 2,  54.00,     90.0200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,+                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 13,R, 2,  79.00,    109.2900,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,R                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 14,R, 1,  54.00,    117.0400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,F                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 16,R, 1,  18.00,    135.6800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                            ,                                          ,+                  ,+                          ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 17,R, 1,  75.00,    145.7500,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,                                          ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Carnian          ,Norian           ,M. cren./S. specios.,              ,122, 759,B, 18,R, 1,  64.00,    155.1400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                            ,R                                         ,                   ,                           ,                ,           ,               ,                   ,                  ,from ODP Leg 122 SR Chapter 23 Table 3 p 416-417
