Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Orbulina universa,Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia tosaensis (dex.),Globorotalia scitula,Globorotalia menardii,Globorotalia inflata (4 chambered),Globorotalia inflata (3 chambered),Globorotalia crassaformis,Globorotalia cf. tosaensis (dex.),Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber (white),Globigerinoides conglobatus,Globorotalia truncatulinoides (dex.),Globorotalia anfracta,Globigerinoides gomitulus,Globigerinita iota,Globigerinita glutinata,Globigerina falconensis,Pulleniatina obliquiloculata,Globorotalia tosaensis (sin.),Globorotalia flexuosa,Globorotalia cf. tosaensis (sin.),Globigerinella aequilateralis (symmetrical),Globigerina bulloides,Globigerinella aequilateralis (asymmetrical),Neogloboquadrina pachyderma (sin.),Globigerina cryophila (dex.),Globigerinoides tenellus,Globigerinita uvula,Globigerinita humilis          ,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 13,X, 3, 104.00,    197.9400,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,                         ,+                                ,                        ,                          ,+                            ,+                          ,+                                   ,                     ,+                        ,                  ,+                      ,+                      ,+                           ,                             ,+                    ,                                 ,                                           ,+                    ,                                            ,                                  ,+                           ,+                       ,+                  ,+                              ,+                      ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 14,X,CC,  19.00,    207.2900,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                ,                                  ,                          ,+                  ,                             ,                    ,                     ,+                                 ,+                                 ,                         ,                                 ,+                       ,                          ,                             ,+                          ,+                                   ,                     ,                         ,                  ,                       ,                       ,+                           ,                             ,                     ,                                 ,                                           ,+                    ,                                            ,                                  ,                            ,                        ,                   ,                               ,                       ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 15,X,CC,  16.00,    213.5300,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,                 ,+                                 ,+                         ,+                  ,                             ,                    ,                     ,+                                 ,+                                 ,                         ,                                 ,                        ,                          ,+                            ,                           ,+                                   ,                     ,                         ,                  ,+                      ,+                      ,+                           ,                             ,                     ,                                 ,                                           ,+                    ,                                            ,+                                 ,+                           ,                        ,                   ,                               ,                       ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 17,X,CC,  34.00,    242.1400,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                ,                                  ,+                         ,                   ,                             ,                    ,                     ,+                                 ,+                                 ,                         ,                                 ,                        ,                          ,                             ,                           ,+                                   ,                     ,                         ,                  ,                       ,                       ,+                           ,                             ,                     ,                                 ,                                           ,                     ,+                                           ,                                  ,                            ,                        ,                   ,                               ,                       ,from ODP Leg 126 SR Chapter 18 Table 2 p 274-275
