Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Stephanopyxis spp.	Stephanopyxis dimorpha	Proboscia barboi	Neodenticula seminae	Proboscia alata	Fragilariopsis doliolus	Thalassiosira lineata	Coscinodiscus marginatus	Actinocyclus ochotensis	Actinocyclus curvatulus	Thalassiosira oestrupii	Thalassiosira leptopus	Thalassiosira jouseae	Neodenticula kamtschatica	Hemidiscus cuneiformis	Actinocyclus oculatus	Thalassiosira antiqua	Rhizosolenia hebetata	Actinoptychus senarius	Aulacoseira spp.	Thalassiosira eccentrica	Delphineis angustata	Thalassiosira convexa	Rhizosolenia styliformis	Fragilariopsis reinholdii	Nitzschia marina	Delphineis surirella	Coscinodiscus radiatus	Comment



  IR	                 	                 	                  	              	204	1247	B	  1	H	CC	  41.00	      3.5500	Watanabe 	Diatoms                                      	F              	P                 	F                          	R                 	F                     	                	T                   	               	                       	                     	R                       	                       	T                      	                       	                      	                     	                         	                      	                     	T                    	                     	                      	T               	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	  2	H	CC	  24.00	     13.7100	Watanabe 	Diatoms                                      	R              	P                 	R                          	R                 	R                     	                	T                   	               	                       	                     	T                       	                       	                       	                       	                      	                     	                         	                      	                     	                     	                     	T                     	                	                        	                    	                     	                        	                         	                	                    	                      	       

  IR	                 	                 	                  	              	204	1247	B	  3	H	CC	  22.00	     22.9300	Watanabe 	Diatoms                                      	F              	P                 	F                          	F                 	F                     	                	T                   	T              	T                      	T                    	T                       	                       	T                      	                       	                      	                     	                         	                      	                     	T                    	                     	                      	T               	                        	T                   	                     	T                       	                         	                	T                   	                      	       

  IR	                 	                 	                  	              	204	1247	B	  5	H	CC	  54.00	     35.0200	Watanabe 	Diatoms                                      	C              	M                 	C                          	R                 	R                     	                	R                   	               	                       	T                    	+                       	                       	                       	                       	T                     	+                    	                         	                      	                     	                     	T                    	                      	R               	                        	                    	                     	                        	                         	                	R                   	                      	       

  IR	                 	                 	                  	              	204	1247	B	  6	H	CC	  39.00	     44.3700	Watanabe 	Diatoms                                      	C              	M                 	F                          	R                 	F                     	T               	C                   	T              	T                      	                     	R                       	                       	T                      	                       	T                     	+                    	                         	                      	                     	                     	T                    	R                     	                	                        	T                   	                     	                        	                         	                	R                   	R                     	       

  IR	                 	                 	                  	              	204	1247	B	  7	H	CC	  53.00	     53.0800	Watanabe 	Diatoms                                      	C              	M                 	F                          	R                 	F                     	R               	F                   	T              	R                      	                     	R                       	                       	R                      	F                      	T                     	+                    	                         	                      	                     	                     	T                    	R                     	R               	                        	                    	                     	                        	                         	T               	R                   	R                     	       

  IR	                 	                 	                  	              	204	1247	B	  8	H	CC	  38.00	     63.0800	Watanabe 	Diatoms                                      	F              	M                 	F                          	R                 	F                     	T               	F                   	T              	                       	T                    	R                       	T                      	                       	R                      	                      	                     	                         	T                     	                     	                     	                     	                      	T               	R                       	T                   	+                    	+                       	T                        	                	                    	                      	       

