Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira oliverana (coarse),Simonseniella barboi,Denticulopsis praedimorpha,Denticulopsis hustedtii,Denticulopsis dimorpha,Coscinodiscus marginatus,Actinocyclus ingens,Actinocyclus curvatulus,Thalassiothrix longissima,Thalassionema nitzschioides,Rhizosolenia hebetata,Nitzschia miocenica,Hemidiscus cuneiformis,Thalassiosira torokina,Thalassiosira nativa,Rhizosolenia styliformis,Katahiraia aspera,Hemidiscus karstenii f.1,Hemidiscus karstenii,Denticulopsis hustedtii var. ovata,Asteromphalus kennettii,Lithodesmium minisculum/reynoldsii,Stellarima spp.,Thalassiosira oestrupii,Thalassiosira oliverana (umbonatus),Thalassiosira oliverana,Thalassiosira miocenica,Thalassiosira eccentrica,Thalassionema nitzschioides  var. parva,Nitzschia reinholdii,Nitzschia donahuensis,Neobrunia mirabilis,Dactyliosolen antarcticus,Actinocyclus ingens var. A,Rouxia isopolica,Nitzschia praeinterfrigidaria,Eucampia antarctica,Actinocyclus octonarius,Thalassiosira inura,Nitzschia barronii,Thalassiosira lentiginosa var. ovalis,Thalassiosira kolbei,Thalassiosira insigna,Paralia sulcata,Nitzschia weaveri,Nitzschia ritscherii,Nitzschia interfrigidaria,Chaetoceros lorenzianus,Thalassiosira lentiginosa,Thalassiosira elliptipora,Nitzschia kerguelenis,Actinocyclus actinochilus,Thalassiosira gracilis,Thalassiosira tumida,Asteromphalus parvulus,Asteromphalus hookeri,Nitzschia separanda,Azpeitia tabularis/endoi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T. lentiginosa    ,              ,120, 747,B,  1,H, 1,  85.00,      0.8500,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,                   ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,+                      ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,+                   ,                         ,                       ,+                        ,                         ,+                    ,                         ,                      ,                    ,+                     ,+                    ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T. lentiginosa    ,              ,120, 747,B,  1,H, 2,  92.00,      2.4200,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,                   ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,                       ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,+                  ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,+                   ,                         ,                       ,+                        ,                         ,+                    ,+                        ,                      ,                    ,+                     ,                     ,                   ,                        ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,T. lentiginosa    ,              ,120, 747,B,  1,H, 2, 104.00,      2.5400,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,                   ,                       ,                         ,                           ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,+                      ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,                   ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,+                        ,                         ,+                    ,                         ,                      ,                    ,                      ,                     ,                   ,+                       ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. ingens         ,              ,120, 747,B,  1,H, 2, 129.00,      2.7900,Maruyama ,Diatoms                                      ,               ,                  ,                                ,                    ,                          ,                       ,                      ,                        ,R                  ,                       ,C                        ,F                          ,                     ,                   ,                      ,                      ,                    ,                        ,                 ,                        ,                    ,                                  ,                       ,                                  ,               ,                       ,                                   ,F                      ,                       ,                        ,                                       ,                    ,                     ,                   ,                         ,                          ,                ,                             ,R                  ,                       ,                   ,                  ,                                     ,                    ,                     ,               ,                 ,                    ,                         ,                       ,C                        ,                         ,A                    ,                         ,F                     ,                    ,                      ,+                    ,C                  ,R                       ,from ODP Leg 120 Vol 2 Chapter 38 Table 5 back pocket
