Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia truncatulinoides,Globorotalia inflata,Globorotalia hirsuta,Globorotalia crassaformis,Globigerinoides ruber,Globigerina bulloides,Orbulina universa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia menardii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,B,  1,H,CC,  13.00,      4.1000,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,                                       ,R                            ,R                   ,                    ,                         ,                     ,C                    ,R                ,A                                    ,C                         ,R                    ,from IR.Ch 4.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,B,  2,H,CC,  19.00,     14.1000,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,C                                      ,R                            ,A                   ,R                   ,R                        ,R                    ,C                    ,                 ,                                     ,                          ,                     ,from IR.Ch 4.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
