Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prunopyle titan	Prunopyle hayesi	Lychnocanium grande	Eucyrtidium cienkowskii	Cycladophora spongothorax	Amphistylus angelinus	Acrosphaera murrayana	Acrosphaera australis	Stylatractus universus	Cycladophora humerus	Actinomma golownini	Stichopilium bicorne	Desmospyris spongiosa	Desmospyris rhodospyroides	Dendrospyris megalocephalis	Antarctissa strelkovi	Antarctissa denticulata	Antarctissa deflandrei	Eucyrtidium pseudoinflatum	Siphonosphaera vesuvius	Eucyrtidium calvertense	Cycladophora pliocenica	Acrosphaera labrata	Helotholus haysi	Lithelius nautiloides	Helotholus vema	Spongotrochus glacialis	Cycladophora davisiana	Antarctissa cylindrica	Comment
  IR	                 	                 	                  	              	188	1165	B	 11	H	CC	  36.00	    100.3200	paleo    	Radiolarians                                 	F              	M                 	               	1               	1                  	                       	1                        	                     	                     	                     	1                     	                    	                   	                    	                     	                          	                           	1                    	                       	1                     	                          	                       	                       	                       	                   	                	                     	               	                       	                      	                      	       

  IR	                 	                 	                  	              	188	1165	B	 12	H	CC	   0.00	    101.8000	paleo    	Radiolarians                                 	C              	G                 	               	                	                   	                       	                         	                     	                     	1                    	                      	                    	                   	                    	1                    	1                         	                           	1                    	                       	                      	1                         	1                      	                       	1                      	1                  	                	                     	               	                       	                      	                      	A.? labrata Zone

  IR	                 	                 	                  	              	188	1165	B	 13	H	CC	  15.00	    116.0200	paleo    	Radiolarians                                 	C              	G                 	1              	                	1                  	                       	1                        	                     	                     	                     	1                     	                    	                   	                    	1                    	1                         	                           	1                    	1                      	                      	1                         	1                      	1                      	1                      	                   	                	                     	               	                       	                      	                      	Acrosphaera australis Zone

  IR	                 	                 	                  	              	188	1165	B	 14	H	CC	  34.00	    124.5100	paleo    	Radiolarians                                 	F              	G                 	               	1               	1                  	                       	1                        	                     	                     	1                    	1                     	                    	                   	                    	1                    	1                         	                           	1                    	+                      	1                     	1                         	1                      	                       	                       	                   	                	                     	               	                       	                      	                      	Acrosphaera australis Zone

  IR	                 	                 	                  	              	188	1165	B	 15	H	CC	  14.00	    128.5800	paleo    	Radiolarians                                 	F              	M                 	1              	1               	                   	1                      	1                        	                     	                     	                     	1                     	                    	                   	                    	1                    	1                         	                           	                     	                       	1                     	1                         	1                      	                       	                       	                   	                	                     	               	                       	                      	                      	Acrosphaera  australis Zone

  IR	                 	                 	                  	              	188	1165	B	 16	H	CC	   0.00	    135.0300	paleo    	Radiolarians                                 	C              	G                 	1              	1               	                   	                       	1                        	                     	                     	1                    	1                     	                    	                   	                    	                     	1                         	                           	1                    	                       	1                     	1                         	1                      	                       	                       	                   	                	                     	               	                       	                      	                      	Acrosphaera australis Zone

  IR	                 	                 	                  	              	188	1165	B	 17	H	CC	   0.00	    147.5100	paleo    	Radiolarians                                 	F              	M                 	               	                	                   	                       	1                        	                     	                     	1                    	1                     	                    	                   	                    	+                    	1                         	                           	                     	                       	                      	1                         	                       	                       	                       	                   	                	                     	               	                       	                      	                      	Acrosphaera australis Zone

