Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Sphaeroidinellopsis subdehiscens	Sphaeroidinella dehiscens s.l.	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina humerosa	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia menardii	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides quadrilobatus	Globigerinoides extremus	Globigerinoides conglobatus	Dentoglobigerina altispira	Globorotalia crassaformis	Globigerinoides ruber	Sphaeroidinellopsis seminulina	Globigerinella siphonifera	Sphaeroidinella dehiscens	Pulleniatina praecursor	Neogloboquadrina acostaensis	Globigerinoides obliquus	Dentoglobigerina globosa	Globigerina bulloides	Globorotalia tosaensis	Globigerinoides fistulosus	Globorotalia scitula	Globigerinita glutinata	Candeina nitida	Globorotalia truncatulinoides	Globorotalia multicamerata	Orbulina suturalis	Hastigerina pelagica	Neogloboquadrina dutertrei	Comment
																																																			
																																																			
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	1	R	CC	0.00	205.0000	Perembo	Planktonic Foraminifers	A	G			A	A			A	A		F	A	F	A		A			F	A						A	A				F				A	
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	2	R	CC	3.00	214.4300	Perembo	Planktonic Foraminifers	A	G			A	F	F		A	A	A	A	A	A	A		A	A			A						A	F				F				A	
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	3	R	CC	19.00	224.2900	Perembo	Planktonic Foraminifers	A	G			A	F	A		A	A	A	A	A	F	F		A	A		A	A						A	A								F	
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	4	R	CC	25.00	233.9500	Perembo	Planktonic Foraminifers	A	G			A	F	A		A	A	A	F	A	F	A		F	A		F	A		R				A	F									
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	5	R	CC	12.00	243.4200	Perembo	Planktonic Foraminifers	A	G			A	F	A		A	A	A	R	A	F	F			A			A						A	R									
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	6	R	CC	10.00	261.9900	Perembo	Planktonic Foraminifers	A	G			A	A	A		A	A	A	F	A	F	F		A	A			F						A	A				F					
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	7	R	CC	15.00	266.0700	Perembo	Planktonic Foraminifers	A	G			A	F	A		A	A	A	A	A	A	A		A	A			A						A	A									
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	8	R	CC	19.00	280.4300	Perembo	Planktonic Foraminifers	A	G			A	F	A		A	A	A	A	A	A	A		A	A			A		F				F	A								F	
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	9	R	CC	16.00	288.5800	Perembo	Planktonic Foraminifers	A	G			A	A	A		A	A	A		A	A	A		A	A			A						A	A									
																																																			
IR	Late Pliocene	Pleistocene		N21	180	1118	A	10	R	CC	13.00	297.4000	Resig	Planktonic Foraminifers	A	G			F	F	A		F	F	A	A	A	F	F		F	A			F							R									
																																																			
