Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Sphenolithus abies	Helicosphaera carteri	Calcidiscus leptoporus	Reticulofenestra pseudoumbilicus	Pseudoemiliania lacunosa	Discoaster pentaradiatus	Discoaster brouweri	Coccolithus pelagicus	Calcidiscus macintyrei	Cyclicargolithus floridanus	Ceratolithus rugosus	Reticulofenestra minutula	Discoaster asymmetricus	Discoaster blackstockae	Thoracosphaera saxea	Syracosphaera histrica	Scyphosphaera apsteinii	Discoaster tamalis	Discoaster berggrenii	Discoaster variabilis	Discoaster quinqueramus	Helicosphaera sellii	Thoracosphaera heimii	Gephyrocapsa omega	Discoaster decorus	Discoaster surculus	Rhabdosphaera clavigera	Comment
																																												
																																												
																																												
IR				NN18	180	1118	A	1	R	CC	0.00	205.0000	Siesser	Nannofossils	C	M		F	F		C	rR	R	R	R			C					R					R				r1		
																																												
IR				NN18	180	1118	A	2	R	CC	3.00	214.4300	Siesser	Nannofossils	A	M		F	F		C	rR	R	F				C					R						R				R	
																																												
IR				NN18	180	1118	A	3	R	CC	19.00	224.2900	Siesser	Nannofossils	C	M		F	R		F		R	R			R	C					R											
																																												
IR			NN17	NN18	180	1118	A	4	R	CC	25.00	233.9500	Siesser	Nannofossils	A	M		F	F		R	rR	R	F				C										R						
																																												
IR				NN18	180	1118	A	5	R	CC	12.00	243.4200	Siesser	Nannofossils	C	M		R	R		R		R					C										R						
																																												
IR				NN18	180	1118	A	6	R	CC	10.00	261.9900	Siesser	Nannofossils	A	M		F	R		R	rR	R	F				C																
																																												
IR					180	1118	A	7	R	CC	15.00	266.0700	Siesser	Nannofossils	F	M		F	F		R				R			F																
																																												
IR					180	1118	A	8	R	CC	19.00	280.4300	Siesser	Nannofossils	C	M		F	F		F			F				C										R						
																																												
IR					180	1118	A	9	R	CC	16.00	288.5800	Siesser	Nannofossils	C	M	r	F	R		F		R	F				C			R		R					R						
																																												
IR					180	1118	A	10	R	CC	13.00	297.4000	Takahashi	Nannofossils	C	M		F	F		F		F	R	R																			
																																												
IR					180	1118	A	11	R	CC	17.00	309.7000	Takahashi	Nannofossils	C	M		R	R		F		F	R														R						
																																												
IR					180	1118	A	12	R	CC	19.00	319.7800	Takahashi	Nannofossils	C	M		F	R		F		F	R	R																			
																																												
IR					180	1118	A	13	R	7	57.00	329.8400	Takahashi	Nannofossils	C	M		F	R		F		F	F	R																			
																																												
IR					180	1118	A	14	R	CC	24.00	339.8700	Takahashi	Nannofossils				F	R		F	R1	F	R	rR																			
																																												
IR					180	1118	A	15	R	CC	19.00	348.8700	Takahashi	Nannofossils	C	M		F	R			+	F	R																				
																																												
IR					180	1118	A	16	R	CC	10.00	358.0100	Takahashi	Nannofossils	C	M	R	C	F		F	R7	F	R	F																			B. bigelowii
																																												
IR					180	1118	A	17	R	6	132.00	367.2400	Takahashi	Nannofossils	C	M		F	F		R	13	F	R	F																			
																																												
IR					180	1118	A	18	R	CC	18.00	374.4700	Takahashi	Nannofossils	F	M		R	F		R	R	R	R																				
																																												
