Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys semipolita,Theocorys robusta,Lychnocanoma conica,Eucyrtidium cheni,Lychnocanoma bellum,Stylosphaera radiosa,Eucyrtidium antiquum,Cycladophora cosma cosma,Theocorys saginata,Spongoplegma variabile,Prunopyle hayesi,Lamprocyclas matakohe,Eucyrtidium spinosum,Cenosphaera coronataformis,Cyrtocapsella tetrapera,Cenosphaera coronata,Eucyrtidium cienkowskii,Cycladophora golli regipileus,Sphaeropyle robusta,Cyrtocapsella japonica,Saturnalis circularis,Lychnocanoma nipponica nipponica,Anthocyrtidium ehrenbergi,Stichocorys peregrina,Stichocorys delmontensis,Ommatartus sp D,Druppatractus irregularis,Stylosphaera minor,Ommatartus sp C,Lithopera renzae,Cannartus sp. C,Cannartus sp. A,Thecosphaera japonica,Didymocyrtis antepenultima,Cycladophora sakaii,Lychnocanoma nipponica magnacornuta,Dictyophimus splendens,Botryostrobus auritus/australis,Axoprunum angelinum,Acrosphaera murrayana,Cycladophora spongothorax,Cycladophora humerus,Stylacontarium acquilonium,Phormostichoartus fistula,Haliommetta miocenica,Eucyrtidium biconicum,Amphymenium challengerae,Theocorythium vetulum,Stylatractus neptunus,Lychnocanoma grande,Lithelius nautiloides,Eucyrtidium teuscheri group,Carpocanistrum ob,Botryostrobus bramlettei pretumidulus,Sphaeropyle langii,Lamprocyrtis neoheteroporos,Cycladophora pliocenica,Botryostrobus bramlettei seriatus,Lipmanella deflandrei,Spongotrochus glacialis,Eucyrtidium teuscheri orthoporus,Desmospyris spongiosa,Cycladophora antiqua,Spongoplegma antarcticum,Saccospyris antarctica,Antarctissa sp. G,Actinomma popofskii,Spongoplegma haeckeli,Pterocanium charybdeum trilobum,Phormostichoartus multiseriatus,Lamprocyrtis heteroporos,Antarctissa strelkovi,Triceraspyris antarctica,Theocorythium trachelium trachelium,Cycladophora davisiana,Botryostrobus bramlettei tumidulus,Antarctissa denticulata,Spongoplegma churchii,Stylatractus universus,Lampromitra coronata,Sphaeropyle antarctica,Pseudocubus vema,Ceratospyris borealis,Eucyrtidium calvertense,Sphaeropyle boreale,Anthocyrtidium jenghisi,Spongoplegma medianum,Botryostrobus aquilonaris,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,Quaternary       ,A. denticulata Zone,A. denticulata Zone,189,1170,A,  1,H,CC,  18.00,      1.6400,rads     ,Radiolarians                                 ,C              ,VG                ,                    ,                 ,                   ,                 ,                   ,                    ,                    ,                        ,                  ,                      ,                ,                     ,                    ,                          ,                       ,                    ,R                      ,                             ,                   ,                      ,                     ,                                ,                         ,R                    ,                        ,               ,                         ,                  ,               ,                ,               ,               ,                     ,                          ,                   ,                                   ,                      ,F                              ,                   ,                     ,                         ,                    ,                          ,                         ,                     ,                     ,                        ,                     ,                     ,                   ,                     ,                           ,                 ,R                                    ,                  ,F                          ,R                      ,                                 ,                     ,R                      ,                                ,                     ,                    ,T                       ,T                     ,                 ,R                  ,                     ,                               ,                               ,                        ,F                    ,                        ,                                   ,                      ,                                  ,F                      ,                     ,                      ,                    ,                      ,                ,                     ,                       ,F                  ,                       ,T                    ,T                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,Psi               ,Psi           ,189,1170,A,  2,H,CC,  11.00,     11.6700,rads     ,Radiolarians                                 ,C              ,VG                ,                    ,                 ,                   ,                 ,                   ,                    ,                    ,                        ,                  ,                      ,                ,                     ,                    ,                          ,                       ,                    ,                       ,                             ,                   ,                      ,                     ,                                ,                         ,                     ,                        ,               ,                         ,                  ,               ,                ,               ,               ,                     ,                          ,                   ,                                   ,                      ,F                              ,                   ,                     ,                         ,                    ,F                         ,                         ,                     ,                     ,                        ,F                    ,                     ,                   ,C                    ,                           ,                 ,R                                    ,                  ,F                          ,T                      ,                                 ,                     ,T                      ,                                ,                     ,                    ,F                       ,T                     ,                 ,R                  ,                     ,                               ,                               ,                        ,R                    ,                        ,                                   ,R                     ,                                  ,                       ,                     ,F                     ,                    ,T                     ,                ,                     ,                       ,F                  ,F                      ,                     ,                         ,1/2 LO S. universus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  3,H,CC,  12.00,     20.7500,rads     ,Radiolarians                                 ,C              ,VG                ,                    ,                 ,                   ,                 ,                   ,                    ,                    ,                        ,                  ,                      ,                ,                     ,                    ,                          ,                       ,                    ,                       ,                             ,                   ,                      ,                     ,                                ,                         ,                     ,                        ,               ,                         ,                  ,               ,                ,               ,               ,                     ,                          ,                   ,                                   ,                      ,                               ,                   ,                     ,                         ,                    ,                          ,                         ,                     ,                     ,                        ,                     ,                     ,                   ,                     ,                           ,                 ,                                     ,                  ,                           ,                       ,                                 ,                     ,                       ,                                ,                     ,                    ,                        ,                      ,                 ,R                  ,                     ,                               ,                               ,                        ,                     ,                        ,                                   ,                      ,                                  ,                       ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                   ,                       ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  4,H,CC,  18.00,     29.0700,rads     ,Radiolarians                                 ,C              ,VG                ,                    ,                 ,                   ,                 ,                   ,                    ,                    ,                        ,                  ,T                     ,                ,                     ,                    ,                          ,                       ,                    ,R                      ,                             ,                   ,                      ,T                    ,                                ,                         ,R                    ,                        ,               ,                         ,                  ,               ,                ,               ,               ,                     ,                          ,                   ,                                   ,                      ,R                              ,                   ,                     ,                         ,                    ,R                         ,                         ,                     ,                     ,                        ,F                    ,T                    ,T                  ,T                    ,                           ,R                ,C                                    ,R                 ,                           ,T                      ,                                 ,                     ,                       ,                                ,                     ,                    ,R                       ,T                     ,R                ,                   ,                     ,T                              ,                               ,                        ,T                    ,                        ,                                   ,T                     ,                                  ,T                      ,                     ,R                     ,                    ,R                     ,                ,T                    ,C                      ,T                  ,                       ,                     ,                         ,3/4 LO L. coronata ? warmer
