Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Laticarinina pauperata,Astrononion spp.,Vulvulina spp.,Uvigerina peregrina,Stilostomella spp.,Pullenia quinqueloba,Pullenia bulloides,Pleurostomella spp.,Oridorsalis umbonatus,Gyroidinoides spp.,Globocassidulina subglobosa,Eggerella bradyi,Cibicidoides spp.,Cibicidoides mundulus,Bolivina spp.,Unilocular species,Ostracoda spp.,Melonis pompilioides,Melonis barleeanus,Karreriella bradyi,Dentalina spp.,Cassidulina spp.,Pullenia spp.,Lenticulina spp.,Parrelloides bradyi,Osangularia culter,Nuttallides umbonifera,Gyroidina zealandica,Uvigerina hispida,Sigmoilina tenuis,Orthomorphina spp.,Dorothia spp.,Cribrostomoides spp.,Bulimina alazanensis,Astacolus spp.,Epistominella exigua,Heronallenia lingulata,Rectuvigerina spp.,Textularia spp.,Hanzawaia mantaensis,Anomalinoides spp.,Sphaeroidina bulloides,Bolivina huneri,Plectofrondicularia spp.,Spiroloculina spp.,Fontbotia wuellerstorfi,Siphotextularia catenata,Ehrenbergina spp.,Pyrulina spp.,Bolboforma aculeata,Triloculina spp.,Pyrgo spp.,Bolboforma spp.,Quinqueloculina spp.,Hopkinsina mioindex,Martinottiella communis,Eggerelloides spp.,Sigmoilopsis schlumbergeri,Anomalinoides globulosus,Gyroidina orbicularis,Nonionella spp.,Hoeglundina elegans,Chilostomella oolina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  1,H,CC,  18.00,      1.6400,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,                      ,                ,              ,                   ,                  ,                    ,                  ,                   ,F                    ,                  ,                           ,R               ,T                ,                     ,R            ,T                 ,R             ,R                   ,F                 ,                  ,              ,                ,R            ,                ,                   ,                  ,                      ,                    ,T                ,T                ,                  ,             ,                    ,                    ,              ,                    ,                      ,                  ,               ,                    ,                  ,T                     ,               ,                        ,                  ,T                      ,                        ,                 ,             ,                   ,T               ,F         ,               ,                    ,                   ,                       ,                  ,R                         ,                        ,                     ,               ,                   ,R                   ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  2,H,CC,  11.00,     11.6700,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                          ,                      ,                ,              ,                   ,                  ,T                   ,                  ,                   ,T                    ,T                 ,T                          ,T               ,F                ,                     ,             ,T                 ,R             ,R                   ,R                 ,                  ,              ,F               ,             ,                ,T                  ,                  ,                      ,                    ,R                ,                 ,                  ,             ,                    ,                    ,              ,R                   ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,T                 ,T                      ,                        ,                 ,             ,                   ,                ,          ,               ,T                   ,                   ,                       ,                  ,R                         ,                        ,                     ,               ,                   ,                    ,B/P: 1/100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  3,H,CC,  12.00,     20.7500,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                          ,                      ,T               ,              ,T                  ,                  ,                    ,R                 ,                   ,R                    ,T                 ,R                          ,                ,R                ,                     ,             ,R                 ,T             ,F                   ,F                 ,                  ,              ,                ,             ,                ,                   ,                  ,                      ,                    ,F                ,                 ,                  ,             ,                    ,                    ,              ,R                   ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,                  ,                       ,                        ,                 ,             ,                   ,                ,          ,               ,                    ,                   ,T                      ,                  ,T                         ,                        ,                     ,               ,T                  ,                    ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,A,  4,H,CC,  18.00,     29.0700,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                           ,                      ,T               ,              ,T                  ,T                 ,                    ,R                 ,T                  ,F                    ,T                 ,F                          ,                ,                 ,                     ,             ,R                 ,T             ,F                   ,R                 ,T                 ,T             ,                ,T            ,                ,T                  ,                  ,                      ,                    ,R                ,                 ,                  ,             ,                    ,T                   ,              ,T                   ,                      ,                  ,               ,                    ,                  ,                      ,               ,                        ,T                 ,T                      ,                        ,                 ,T            ,                   ,                ,R         ,               ,T                   ,                   ,                       ,                  ,R                         ,                        ,                     ,T              ,                   ,                    ,B/P: 1/100
