Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Syracosphaera pulchra	Rhabdosphaera clavigera	Reticulofenestra minutula	Gephyrocapsa aperta	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Dictyococcites antarcticus	Umbilicosphaera sibogae	Calcidiscus macintyrei	Discosphaera tubifera	Helicosphaera kamptneri	Rhabdosphaera stylifera	Coccolithus pelagicus	Gephyrocapsa caribbeanica	Small Gephyrocapsa spp.	Helicosphaera carteri	Dictyococcites productus	Pontosphaera pachymorpha	Reticulofenestra minuta	Braarudosphaera bigelowii	Gephyrocapsa oceanica	Umbellosphaera irregularis	Oolithotus fragilis	Scapholithus fossilis	Comment
  IR	                 	                 	                  	NN19          	182	1129	C	 19	H	CC	   0.00	    178.3100	Shafik   	Nannofossils                                 	C              	P                 	                     	                       	                         	C                  	                      	R                       	                          	                       	                      	                     	                       	                       	                     	                         	D                      	R                    	C                       	                        	F                      	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 20	H	CC	   5.00	    188.0300	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	                         	C                  	C                     	C                       	                          	                       	                      	                     	                       	                       	                     	                         	A                      	C                    	                        	                        	C                      	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 21	H	CC	   0.00	    194.1600	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	                         	                   	F                     	C                       	                          	                       	                      	                     	                       	                       	                     	C                        	                       	F                    	                        	                        	C                      	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 22	H	CC	   0.00	    204.7300	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	                         	                   	F                     	C                       	                          	                       	                      	                     	                       	                       	                     	C                        	F                      	R                    	                        	R                       	C                      	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 23	H	CC	   0.00	    214.4800	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	                         	                   	C                     	F                       	                          	                       	                      	                     	                       	                       	                     	F                        	C                      	R                    	                        	                        	C                      	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 24	X	CC	  16.00	    216.4600	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	F                        	A                  	C                     	C                       	                          	                       	                      	                     	                       	                       	                     	C                        	A                      	R                    	                        	                        	C                      	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 25	X	CC	  25.00	    231.6200	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	F                        	A                  	F                     	                        	                          	                       	                      	                     	                       	                       	                     	                         	A                      	R                    	C                       	                        	F                      	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 26	X	CC	  19.00	    240.5000	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	                         	A                  	C                     	                        	                          	                       	R                     	                     	                       	                       	                     	                         	A                      	C                    	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 27	X	CC	  24.00	    252.3400	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	                         	                   	C                     	R                       	                          	                       	R                     	                     	                       	                       	                     	F                        	A                      	C                    	                        	R                       	                       	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 28	X	CC	  14.00	    262.1800	Shafik   	Nannofossils                                 	C              	M                 	                     	                       	                         	A                  	                      	                        	                          	                       	C                     	                     	                       	                       	                     	                         	                       	F                    	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	                 	                  	              	182	1129	C	 29	X	CC	  15.00	    271.6400	Shafik   	Nannofossils                                 	C              	P                 	                     	                       	                         	                   	                      	F                       	                          	                       	                      	                     	                       	                       	                     	F                        	A                      	F                    	F                       	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 30	X	CC	  30.00	    281.1400	Ladner   	Nannofossils                                 	A              	M                 	F                    	                       	C                        	A                  	F                     	C                       	                          	                       	                      	                     	F                      	                       	                     	C                        	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 31	X	CC	  13.00	    282.9300	Ladner   	Nannofossils                                 	A              	M                 	                     	                       	                         	A                  	                      	                        	A                         	                       	                      	                     	                       	                       	                     	F                        	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 33	X	CC	  29.00	    307.9000	Ladner   	Nannofossils                                 	A              	M                 	F                    	R                      	                         	A                  	R                     	F                       	                          	                       	                      	                     	                       	                       	R                    	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 34	X	CC	  20.00	    317.3300	Ladner   	Nannofossils                                 	A              	M                 	R                    	                       	A                        	A                  	F                     	R                       	                          	F                      	                      	                     	                       	R                      	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 35	X	CC	  25.00	    328.4700	Ladner   	Nannofossils                                 	A              	M                 	                     	                       	A                        	A                  	F                     	                        	C                         	                       	                      	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 36	X	CC	  27.00	    335.8300	Ladner   	Nannofossils                                 	A              	M                 	                     	                       	A                        	A                  	F                     	F                       	                          	                       	                      	                     	R                      	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 37	X	CC	  24.00	    347.4700	Ladner   	Nannofossils                                 	A              	M                 	F                    	R                      	                         	A                  	                      	                        	C                         	                       	R                     	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 38	X	CC	  33.00	    352.3600	Ladner   	Nannofossils                                 	A              	M                 	                     	                       	                         	A                  	F                     	R                       	C                         	R                      	                      	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 39	X	CC	  18.00	    359.8600	Ladner   	Nannofossils                                 	A              	M                 	                     	                       	C                        	C                  	F                     	F                       	F                         	R                      	                      	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 40	X	CC	  11.00	    371.2800	Ladner   	Nannofossils                                 	A              	P                 	                     	                       	C                        	C                  	F                     	                        	C                         	                       	                      	R                    	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 41	X	CC	   4.00	    374.5400	Ladner   	Nannofossils                                 	A              	P                 	                     	                       	C                        	A                  	F                     	F                       	C                         	R                      	                      	R                    	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 43	X	CC	  30.00	    395.7600	Ladner   	Nannofossils                                 	C              	P                 	                     	                       	F                        	C                  	F                     	R                       	C                         	                       	                      	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 44	X	CC	  13.00	    403.7300	Ladner   	Nannofossils                                 	C              	P                 	                     	                       	                         	C                  	R                     	R                       	                          	                       	                      	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	Abundant Calcite

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 45	X	CC	   6.00	    413.8600	Ladner   	Nannofossils                                 	C              	P                 	                     	                       	                         	C                  	R                     	R                       	F                         	R                      	R                     	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 46	X	CC	  53.00	    432.9300	Ladner   	Nannofossils                                 	C              	P                 	                     	R                      	F                        	A                  	F                     	                        	F                         	                       	                      	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	Rhabdosphaerids recognized by spines and fragments only

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 47	X	CC	  39.00	    433.4500	Ladner   	Nannofossils                                 	C              	P                 	                     	R                      	                         	C                  	R                     	R                       	                          	                       	                      	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

  IR	                 	Pleistocene      	                  	NN19          	182	1129	C	 48	X	CC	  32.00	    444.8800	Ladner   	Nannofossils                                 	R              	P                 	R                    	R                      	F                        	F                  	R                     	                        	                          	                       	                      	                     	                       	                       	                     	                         	                       	                     	                        	                        	                       	                         	                     	                          	                   	                     	       

