Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Morozovella subbotinae,Morozovella aequa,Morozovella crassata,Subbotina frontosa,Truncorotaloides topilensis,Globigerina ouachitaensis,Subbotina angiporoides,Hantkenina alabamensis,Globigerinatheka index,Globigerina ampliapertura,Globigerina gortanii,Chiloguembelina cubensis,Globigerina corpulenta,Clavatorella sp. aff. C. nicobarensis,Globigerina angulisuturalis,Cassigerinella chipolensis,Tenuitella munda,Globoquadrina praedehiscens,Jenkinsella continuosa,Globigerinella obesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 11,H, 2, 110.00,     93.8000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,                  ,                           ,                         ,                      ,                      ,                      ,                         ,                    ,                        ,                      ,                                     ,                           ,                          ,                ,                           ,2.9%                  ,.3%                 ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 11,H,CC,  12.00,    100.6400,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,                  ,                           ,                         ,                      ,                      ,                      ,                         ,                    ,                        ,                      ,.5%                                  ,                           ,                          ,.9%             ,5.4%                       ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 12,H, 2, 110.00,    103.4000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,                  ,                           ,                         ,                      ,                      ,                      ,                         ,                    ,                        ,                      ,                                     ,.4%                        ,.4%                       ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 12,H,CC,  12.00,    110.1100,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,                  ,                           ,                         ,                      ,                      ,                      ,                         ,                    ,                        ,3.8%                  ,.8%                                  ,                           ,                          ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 757,B, 13,H, 2, 110.00,    113.1000,van Eijden,Planktonic Foraminifers                      ,               ,                  ,                      ,                 ,                    ,                  ,                           ,                         ,.7%                   ,                      ,                      ,                         ,.6%                 ,                        ,                      ,                                     ,                           ,                          ,                ,                           ,                      ,                    ,additional species from ODP Leg 121 SR Chapter 3 Table 6 p 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
