Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra reticulata	Reticulofenestra daviesii	Reticulofenestra bisecta	Markalius inversus	Discoaster saipanensis	Coccolithus pelagicus	Chiasmolithus oamaruensis	Chiasmolithus altus	Blackites spinosus	Sphenolithus moriformis	Cyclicargolithus floridanus	Isthmolithus recurvus	Reticulofenestra onusta	Thoracosphaera spp.	Reticulofenestra oamaruensis	Coccolithus formosus	Discoaster spp.	Clausicoccus fenestratus	Reticulofenestra bisecta filewiczii	Neococcolithes dubius	Chiasmolithus expansus	Cyclicargolithus abisectus	Bicolumnus ovatus	Calcidiscus leptoporus	Reticulofenestra hesslandii	Reticulofenestra gelida	Sphenolithus abies	Calcidiscus macintyrei	Reticulofenestra producta	Reticulofenestra perplexa	Pseudoemiliania lacunosa	Comment



  SR	Late Pliocene    	Pleistocene      	                  	              	119	 744	A	  1	H	CC	  13.00	      4.0600	Wei      	Nannofossils                                 	R              	G                 	                       	                         	                            	                           	                         	                        	                  	                      	F                    	                         	                   	                  	                       	                           	                     	                       	                   	                            	                    	               	                        	                                   	                     	                      	                          	                 	                      	                           	                       	                  	                      	                         	                         	R                       	from 119 SR Chapter 26 Table 6 fold-out back pocket.

  SR	Early Pliocene   	                 	                  	              	119	 744	A	  2	H	CC	  12.00	     10.1100	Wei      	Nannofossils                                 	F              	M                 	                       	                         	                            	                           	                         	                        	                  	                      	C                    	                         	                   	                  	                       	                           	                     	                       	                   	                            	                    	               	                        	                                   	                     	                      	                          	                 	                      	                           	R                      	                  	                      	                         	                         	                        	from 119 SR Chapter 26 Table 6 fold-out back pocket.

  SR	Late Miocene     	                 	CN5b              	CN10          	119	 744	A	  3	H	CC	  15.00	     19.9700	Wei      	Nannofossils                                 	A              	M                 	                       	                         	                            	                           	                         	                        	                  	                      	R                    	                         	                   	                  	                       	                           	                     	                       	                   	                            	                    	               	                        	                                   	                     	                      	                          	                 	                      	                           	F                      	                  	                      	A                        	A                        	                        	from 119 SR Chapter 26 Table 6 fold-out back pocket.

  SR	Late Miocene     	                 	CN5b              	CN10          	119	 744	A	  4	H	 1	  97.00	     24.1700	Wei      	Nannofossils                                 	A              	G                 	                       	                         	                            	                           	                         	                        	                  	                      	A                    	                         	                   	                  	                       	                           	                     	                       	                   	                            	                    	               	                        	                                   	                     	                      	                          	                 	                      	                           	C                      	                  	                      	A                        	V                        	                        	from 119 SR Chapter 26 Table 6 fold-out back pocket.

  SR	Late Miocene     	                 	CN5b              	CN10          	119	 744	A	  4	H	 2	  97.00	     25.6700	Wei      	Nannofossils                                 	A              	G                 	                       	                         	                            	                           	                         	                        	                  	                      	A                    	                         	                   	                  	                       	                           	                     	                       	                   	                            	                    	               	                        	                                   	                     	                      	                          	                 	                      	                           	C                      	                  	                      	V                        	C                        	                        	from 119 SR Chapter 26 Table 6 fold-out back pocket.

