Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina utilisindex	Subbotina pseudovenezuelana	Subbotina linaperta s.l.	Subbotina gortanii	Subbotina angiporoides	Praetenuitella sp. 3	Praetenuitella sp. 2	Praetenuitella sp. 1	Paragloborotalia pseudocontinuosa	Paragloborotalia nana	Globorotaloides suteri	Globigerinatheka index	Globigerina leroyi	Chiloguembelina cubensis	Catapsydrax unicavus	Subbotina yeguaensis	Subbotina eocaena	Praetenuitella insolita	Globigerina cf. G. praebulloides	Catapsydrax echinatus	Pseudohastigerina micra	Globigerina tapuriensis	Tenuitella gemma	Tenuitella munda	Globorotaloides aff. testarugosa	Catapsydrax dissimilis	Globigerina praebulloides	Globigerina euapertura	Tenuitella angustiumbilicata	Globoturborotalita labiacrassata	Globigerinita juvenilis	Tenuitella clemenciae	Globoturborotalita connecta	Globoturborotalita brazieri	Turborotalia quinqueloba	Globoturborotalita woodi	Globoturborotalita cf. G. labiacrassata	Sphaeroidinellopsis disjuncta	Paragloborotalita incognita	Globorotalia zealandica	Globorotalia praescitula	Globigerina bulloides	Globorotalia scitula	Neogloboquadrina pachyderma	Globigerina falconensis	Globorotalia puncticulata	Comment



  SR	Pliocene         	Holocene         	                  	              	119	 744	A	  1	H	CC	  13.00	      4.0600	Huber    	Planktonic Foraminifers                      	A              	E                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	R                    	R                   	A                          	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Pliocene         	Holocene         	                  	              	119	 744	A	  2	H	CC	  12.00	     10.1100	Huber    	Planktonic Foraminifers                      	A              	E                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	F                    	R                   	A                          	                       	                         	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Pliocene         	Holocene         	                  	              	119	 744	A	  3	H	CC	  15.00	     19.9700	Huber    	Planktonic Foraminifers                      	A              	E                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	F                    	                    	A                          	                       	R                        	from 119 SR.Chapter 24.Table 3.page 431.

  SR	Late Miocene     	                 	                  	              	119	 744	A	  4	H	CC	  20.00	     28.6400	Huber    	Planktonic Foraminifers                      	C              	E                 	                     	                           	                        	                  	                      	                    	                    	                    	                                 	                     	                      	                      	                  	                        	                    	                    	                 	                       	                                	                     	                       	                       	                	                	                                	                      	                         	                      	                            	                                	                       	                     	                           	                           	                        	                        	                                       	                             	                           	                       	                        	F                    	                    	A                          	R                      	                         	from 119 SR.Chapter 24.Table 3.page 431.
