Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Heterohelix moremani,Hedbergella angolae,Hedbergella delrioensis,Globigerinelloides caseyi,Hedbergella sp.,Praeglobotruncana delrioensis,Hedbergella cf. simplex,Schackoina cf. cenomana,Biticinella sp.,Hedbergella cf. gorbachikae,Ticinella madecassiana,Globigerinelloides bentonensis,Costellagerina libyca,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  6,R, 1,  39.00,    123.7900,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  6,R,CC,   1.00,    123.8300,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,cf                     ,                         ,               ,                             ,                       ,                       ,               ,+                          ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  7,R,CC,   0.00,    133.4700,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,cf                       ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  8,R,CC,   0.00,    142.7000,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,+                      ,+                        ,               ,                             ,                       ,                       ,               ,                           ,+                     ,                              ,+                    ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  9,R, 1,  26.00,    152.6600,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,cf                  ,                   ,cf                     ,                         ,               ,cf                           ,                       ,                       ,               ,                           ,+                     ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  9,R, 2,  57.00,    154.4700,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,+                  ,                       ,                         ,+              ,                             ,                       ,                       ,               ,                           ,                      ,                              ,                     ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,D,  9,R, 4, 131.00,    158.2100,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                    ,                   ,                       ,                         ,               ,                             ,                       ,                       ,               ,                           ,                      ,                              ,+                    ,from Leg 159 Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
