Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculatosporites sp.	Tricolporopollenites sp. A	Stoverisporites lunaris	Schizosporis reticulatus	Perotrilites majus	Nevesisporites dailyi	Neoraistrickia truncata	Neoraistrickia equalis	Microfoveolatosporis canaliculatus	Microcachyridites parvus	Leptolepidites major	Laevigatosporites ovatus	Interulobites ovatus	Fungus (scutate fruit-bodies)	Foveogleicheniidites confossus	Ephedripites sp.	Distaltriangulisporites sp.	Cyathidites minor	Cyatheacidites sp. A	Cyatheacidites botuliformis	Cyatheacidites annulatus	Corollina  (unspecified taxon or taxa)	Cicatricosisporites pseudotripartitus	Cicatricosisporites australiensis	Ceratosporties distalgranulanus	Calamospora sp.	Appendicisporites sp. cf. A. jansonii	Alisporites similis	Triletes tuberculiformis	Stereisporites antiquasporites	Cupressacites sp.	Tricolporopollenites sp. B	Contignisporities fornicatus	Retimonocolpites peroreticulatus	Megaspore (unspecified taxon or taxa)	Dictyophyllidites equiexnus	Cyathidites australis	Clavatipollenites sp. B	Dictyotosporites complex	Retitriletes austroclavatidites	Stoverisporites microverrucatus	Nyssapollenites lanosus	Cyatheacidites sp. B	Cicatricosisporites hughesii	Clavatipollenites hughesii	Podocarpidites sp. A	Stereisporites pocockii	Polycingulatisporites clavus	Vitreisporites pallidus	Reticulisporites sp. B	Reticulisporites sp. A	Clavaifera triplex	Podocarpidites sp. B	Microcachyridites sp.	Leptolepidites (unspecified taxon or taxa)	Podocarpidites sp. C	Liliacidites sp.	Baculaisporites comaumensis	Comment



  SR	                 	                 	                  	              	120	 748	C	 62	R	 1	  52.00	    733.0200	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	+                                 	                        	                    	+                       	                    	                             	                              	                	                           	                 	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 62	R	 4	 115.00	    738.1500	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	+                       	                    	+                       	                    	                             	                              	                	                           	                 	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	+                  	                        	+                             	+                	                          	                            	                                	                                     	                           	                     	                       	                        	                               	+                              	                       	                    	                            	+                         	                    	+                      	                            	+                      	+                     	                      	+                 	+                   	                     	+                                         	+                   	+               	+                          	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 62	R	 6	  52.00	    740.5200	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	+                       	                    	+                       	                    	+                            	                              	                	                           	+                	                    	                           	+                       	+                                     	                                     	+                                	                               	+              	                                     	+                  	+                       	                              	                 	                          	+                           	                                	                                     	                           	+                    	+                      	                        	                               	+                              	                       	                    	                            	+                         	                    	                       	                            	+                      	+                     	                      	+                 	+                   	+                    	+                                         	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291

  SR	                 	                 	                  	              	120	 748	C	 62	R	CC	   0.00	    741.8500	Mohr     	Pollen/Spores                                	               	                  	                       	                          	                       	                        	                  	                     	                       	                      	                                  	                        	                    	                        	                    	                             	                              	                	                           	+                	                    	                           	                        	                                      	                                     	                                 	                               	               	                                     	                   	                        	                              	                 	                          	                            	                                	                                     	                           	                     	                       	                        	                               	                               	                       	                    	                            	                          	                    	                       	                            	                       	                      	                      	                  	                    	                     	                                          	                    	                	                           	from ODP Leg 120 Vol 1 Chapter 19 Table 3 p 290-291
