Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus distentus,Sphenolithus ciperoensis,Reticulofenestra lockerii,Helicosphaera euphratis,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Chiasmolithus altus,Braarudosphaera bigelowii,Triquetrorhabdulus carinatus,Triquetrorhabdulus auritus,Helicosphaera recta,Dictyococcites scrippsae,Coccolithus miopelagicus,Sphenolithus moriformis,Micrantholithus entaster,Helicosphaera perch-nielseniae,Pontosphaera multipora,Micrantholithus altus,Coccolithus pelagicus,Triquetrorhabdulus milowii,Syracosphaera pulchra,Sphenolithus dissimilis,Micrantholithus australiensis,Coronocyclus nitescens,Discoaster druggii,Sphenolithus heteromorphus,Pontosphaera multipunctata,Discoaster variabilis,Calcidiscus macintyrei,Reticulofenestra pseudoumbilicus,Pontosphaera pachymorpha,Micrantholithus pinguis,Helicosphaera obliqua,Helicosphaera carteri,Geminilithella rotula,Calcidiscus leptoporus,Calcidiscus premacintyrei,Triquetrorhabdulus rugosus,Reticulofenestra minuta,Reticulofenestra haqii,Scyphosphaera spp.,Pontosphaera japonica,Helicosphaera cf. rhomba,Dictyococcites antarcticus,Sphenolithus neoabies,Sphenolithus abies,Scapholithus fossilis,Reticulofenestra minutula,Reticulofenestra gelida,Discoaster brouweri,Minylitha convallis,Discoaster surculus,Discoaster prepentaradiatus,Triquetrorhabdulus challengeri,Helicosphaera intermedia,Discoaster pentaradiatus,Dictyococcites productus,Amaurolithus primus,Umbilicosphaera sibogae,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Helicosphaera kamptneri,Discoaster triradiatus,Scapholithus rhombiformis,Helicosphaera sellii,Hayaster perplexus,Reticulofenestra asanoi,Helicosphaera wallichii,Rhabdosphaera stylifera,Gephyrocapsa aperta,Oolithotus fragilis,Gephyrocapsa oceanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN20          ,182,1126,B,  1,H,CC,  11.00,      6.5100,Ladner   ,Nannofossils                                 ,A              ,G                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,F                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,C                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,F                    ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,                        ,                   ,                       ,C                      ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,C                      ,                       ,                   ,F                  ,C                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,NN19          ,182,1126,B,  2,H,CC,  17.00,     15.6300,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,C                    ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,C                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,F                    ,                         ,                       ,1                  ,                   ,                   ,                           ,                              ,                        ,                        ,C                       ,                   ,                       ,F                      ,                        ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,                       ,A                  ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,NN19          ,182,1126,B,  3,H,CC,  12.00,     25.8700,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,                     ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,F                     ,                                ,                        ,                       ,                     ,                     ,                     ,C                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,                     ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,C                       ,                   ,                       ,F                      ,R                       ,                       ,                      ,                         ,R                   ,                  ,                       ,                       ,                       ,                   ,F                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,NN19          ,182,1126,B,  4,H,CC,   5.00,     35.0300,Ladner   ,Nannofossils                                 ,A              ,G                 ,                       ,                      ,                        ,                         ,                       ,                     ,                       ,                           ,                          ,                   ,F                        ,                            ,                          ,                   ,                        ,                        ,                       ,                        ,                              ,                      ,                     ,                     ,                          ,F                    ,                       ,                             ,                      ,                  ,                          ,                          ,                     ,                      ,                                ,                        ,                       ,                     ,                     ,                     ,C                     ,                         ,                          ,                       ,                      ,                  ,                     ,                        ,                          ,                     ,                  ,F                    ,                         ,                       ,                   ,                   ,                   ,                           ,                              ,                        ,                        ,C                       ,                   ,                       ,C                      ,F                       ,                       ,                      ,                         ,                    ,                  ,                       ,                       ,F                      ,C                  ,                   ,                     ,       
