Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira lentiginosa	Rhaphoneis surirelloides	Nitzschia panduriformis	Nitzschia kerguelenis	Hemidiscus karstenii	Cyclotella striata	Thalassionema nitzschioides	Rhizosolenia hebetata f. hiemalis	Nitzschia ritscherii	Eucampia antarctica	Diploneis sp.	Azpeitia tabularis	Xanthiopyxis ovalis	Thalassiosira oestrupii	Nitzschia separanda	Actinocyclus ingens	Actinocyclus actinochilus	Rocella praenitida	Hyalodiscus sp.	Cymbella sp.	Coscinodiscus radiatus	Chaetoceros spp. (resting spores)	Chaetoceros sp.	Thalassiosira fasciculata	Stephanopyxis turris turris	Paralia sulcata	Hemiaulus sp.	Actinoptychus senarius	Thalassiosira gracilis	Pseudoeunotia doliolus	Navicula directa	Denticulopsis sp.	Cocconeis sp.	Aulacosira granulata	Actinocyclus oculatus	Nitzschia weaveri	Nitzschia reinholdii	Tabularia sp.	Pyxilla reticulata	Actinoptychus splendens	Rouxia sp.	Grammatophora sp.	Comment



  IR	                 	                 	                  	              	181	1122	A	  1	H	CC	   8.00	      9.2200	diatoms  	Diatoms                                      	               	                  	R                        	C                        	R                       	R                      	C                    	R                   	                  	                           	                                 	R                   	F                  	             	R                 	                   	                       	R                  	                   	                         	                  	R              	R           	                      	R                                	               	                         	T                          	R              	             	                      	                      	                      	                	                 	             	R                   	                     	                 	                    	             	T                 	                       	T         	R                	       

  IR	                 	                 	                  	              	181	1122	A	  2	H	CC	   8.00	     18.8600	diatoms  	Diatoms                                      	               	                  	F                        	F                        	C                       	R                      	C                    	                    	                  	                           	                                 	                    	R                  	             	R                 	R                  	                       	R                  	                   	                         	                  	               	            	                      	                                 	               	                         	                           	R              	             	R                     	                      	                      	                	                 	             	                    	                     	                 	                    	R            	T                 	T                      	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	  3	H	CC	   9.00	     28.5200	diatoms  	Diatoms                                      	               	                  	                         	T                        	F                       	F                      	R                    	                    	                  	                           	                                 	R                   	                   	             	R                 	F                  	                       	                   	                   	                         	                  	R              	T           	                      	C                                	               	                         	                           	R              	             	R                     	                      	                      	                	                 	F            	                    	                     	                 	                    	R            	R                 	                       	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	  4	H	CC	   5.00	     38.1200	diatoms  	Diatoms                                      	               	                  	                         	F                        	                        	                       	F                    	                    	                  	                           	                                 	                    	                   	             	F                 	F                  	                       	                   	T                  	                         	                  	               	            	                      	R                                	               	                         	                           	R              	             	T                     	                      	                      	                	                 	             	                    	                     	                 	                    	             	                  	                       	          	                 	       

  IR	                 	                 	                  	              	181	1122	A	  5	H	CC	  10.00	     46.5700	diatoms  	Diatoms                                      	               	                  	F                        	F                        	                        	R                      	F                    	T                   	                  	                           	                                 	R                   	                   	             	R                 	F                  	                       	T                  	                   	                         	                  	T              	R           	                      	                                 	T              	                         	T                          	R              	             	                      	                      	                      	                	                 	             	                    	                     	T                	T                   	             	                  	                       	          	                 	       

