Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus sp.	Spongodiscus sp.	Larcopyle sp.	Cycladophora davisiana davisiana	Antarctissa strelkovi	Stylodictya sp.	Spongodiscus osculosus	Euchitonia sp.	Dictyophimus hirundo	Antarctissa denticulata	Prunopyle antarctica	Hexacontium sp.	Antarctissa longa	Spongotrochus glacialis	Saccospyris antarctica	Eucyrtidium calvertense	Triceraspyris antarctica	Phorticium clevei	Botryostrobus aquilonaris	Peripyramis sp.	Lithelius nautiloides	Eucyrtidium sp.	Cycladophora pliocenica	Botryostrobus auritus/australis	Actinomma leptodermum	Spongoplegma antarcticum	Cyrtocapsella tetrapera	Cycladophora davisiana cornutoides	Stylatractus universus	Cyrtocapsella japonica	Cycladophora bicornis bicornis	Cyrtopera languncula	Theocorythium trachelium trachelium	Larcospira sp.	Gondwanaria dogieli	Comment



  IR	                 	                 	                  	              	181	1122	A	  1	H	CC	   8.00	      9.2200	rads     	Radiolarians                                 	C              	VG                	                	F               	R            	A                               	F                    	R              	                      	              	R                   	R                      	                    	R              	T                	R                      	R                     	T                      	T                       	R                	                         	               	T                    	               	                       	                               	                     	                        	T                      	                                  	                      	R                     	R                             	                    	T                                  	R             	T                  	reworking present

  IR	                 	                 	                  	              	181	1122	A	  2	H	CC	   8.00	     18.8600	rads     	Radiolarians                                 	T              	P                 	                	R               	             	                                	                     	               	                      	              	T                   	T                      	                    	T              	                 	                       	T                     	                       	                        	                 	                         	               	                     	               	                       	                               	                     	                        	                       	                                  	                      	                      	                              	T                   	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	  3	H	CC	   9.00	     28.5200	rads     	Radiolarians                                 	T              	G                 	                	R               	             	                                	R                    	               	                      	              	                    	                       	                    	               	                 	                       	                      	                       	                        	                 	                         	               	                     	               	                       	                               	                     	                        	                       	                                  	                      	                      	R                             	                    	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	  4	H	CC	   5.00	     38.1200	rads     	Radiolarians                                 	T              	G                 	                	F               	             	R                               	R                    	               	                      	              	                    	R                      	                    	               	T                	                       	T                     	                       	                        	                 	                         	               	                     	               	                       	T                              	                     	                        	                       	                                  	T                     	T                     	                              	                    	                                   	              	                   	reworkin present

  IR	                 	                 	                  	              	181	1122	A	  5	H	CC	  10.00	     46.5700	rads     	Radiolarians                                 	C              	VG                	                	A               	             	F                               	R                    	R              	R                     	T             	                    	F                      	T                   	               	R                	                       	T                     	                       	R                       	R                	                         	               	                     	               	T                      	                               	R                    	T                       	T                      	R                                 	                      	                      	                              	                    	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	  6	H	CC	  10.00	     56.3400	rads     	Radiolarians                                 	C              	VG                	                	A               	             	A                               	A                    	R              	T                     	              	R                   	A                      	F                   	               	R                	R                      	R                     	                       	R                       	F                	                         	T              	R                    	T              	T                      	R                              	F                    	                        	                       	                                  	                      	                      	                              	                    	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	  7	H	CC	   0.00	     65.8000	rads     	Radiolarians                                 	F              	G                 	R               	C               	R            	R                               	C                    	R              	                      	              	                    	R                      	                    	R              	                 	                       	                      	                       	R                       	R                	R                        	               	                     	               	                       	                               	                     	                        	                       	                                  	                      	                      	                              	                    	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	  8	H	CC	   0.00	     73.8400	rads     	Radiolarians                                 	T              	G                 	                	F               	R            	                                	R                    	R              	                      	              	                    	R                      	                    	R              	                 	                       	                      	T                      	                        	                 	                         	               	                     	               	                       	                               	                     	                        	                       	                                  	                      	                      	                              	                    	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	  9	X	CC	   0.00	     76.4600	rads     	Radiolarians                                 	T              	G                 	                	R               	R            	                                	R                    	               	                      	              	                    	                       	                    	               	R                	R                      	R                     	                       	                        	                 	                         	               	                     	               	                       	                               	                     	                        	                       	                                  	                      	                      	                              	                    	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	 10	X	CC	  10.00	     85.7900	rads     	Radiolarians                                 	R              	G                 	R               	C               	R            	                                	F                    	F              	                      	              	                    	F                      	R                   	R              	R                	                       	                      	                       	                        	                 	                         	               	                     	               	                       	                               	                     	                        	                       	                                  	                      	                      	                              	                    	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	 12	X	CC	  10.00	    109.6400	rads     	Radiolarians                                 	T              	M                 	                	A               	             	R                               	                     	R              	R                     	R             	T                   	R                      	                    	               	                 	                       	                      	                       	                        	                 	                         	               	                     	               	                       	                               	                     	                        	                       	                                  	                      	                      	                              	                    	                                   	              	                   	       

  IR	                 	                 	                  	              	181	1122	A	 13	X	CC	   5.00	    119.9700	rads     	Radiolarians                                 	R              	G                 	R               	F               	R            	R                               	R                    	               	                      	              	                    	                       	                    	               	                 	                       	                      	                       	                        	                 	                         	               	                     	               	                       	                               	                     	                        	                       	                                  	                      	                      	                              	                    	                                   	              	                   	       

