Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Paragloborotalia mayeri	Orbulina universa	Menardella menardii (sinistral)	Hirsutella scitula	Globoturborotalita woodi	Globoturborotalita decoraperta	Globorotaloides variabilis	Globorotaloides hexagona	Globorotalia nepenthes	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides trilobus	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinita glutinata	Dentoglobigerina altispira	Streptochilus spp.	Globigerinoides sacculifer	Globigerinella aequilateralis	Menardella limbata (sinistral)	Globorotalia paralenguaensis	Globorotalia lenguaensis	Globigerinoides ruber	Neogloboquadrina continuosa	Neogloboquadrina acostaensis	Hirsutella juanai	Hirsutella cibaoensis	Globoturborotalita apertura	Globorotalia merotumida	Neogloboquadrina humerosa	Globorotalia plesiotumida	Globigerina falconensis	Candeina nitida	Neogloboquadrina dutertrei	Menardella exilis	Globigerinoides extremus	Globigerina bulloides	Menardella menardii (dextral)	Menardella limbata (dextral)	Globigerinoides conglobatus	Beella praedigitata	Sphaeroidinellopsis paenedehiscens	Hirsutella margaritae	Turborotalita humilis	Pulleniatina primalis (sin.)	Menardella multicamerata	Truncorotalia crassula	Truncorotalia crassaformis	Sphaeroidinella dehiscens	Menardella miocenica	Menardella pertenuis	Globoturborotalita rubescens	Globoconella puncticulata	Globigerinoides fistulosus	Truncorotalia tosaensis	Pulleniatina primalis (dex.)	Pulleniatina obliquiloculata	Globigerinella calida	Globorotalia ungulata	Globorotalia tumida	Globoconella triangula/inflata	Pulleniatina finalis	Globoturborotalita tenella	Beella digitata	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Neogloboquadrina pachyderma	Globorotalia cavernula	Comment



  SR	Late Pleistocene 	                 	N23               	              	154	 925	B	  1	H	 3	  65.00	      3.6500	Chaisson 	Planktonic Foraminifers                      	               	                  	                              	                         	                       	R                	R                              	R                 	                        	                              	                          	R                       	                      	                         	                       	                            	R                       	F                            	                        	R                      	                          	                  	F                         	R                            	                              	                            	                        	C                    	                           	                            	                 	                     	                           	                       	                         	                         	R                      	R              	R                         	                 	                        	                     	R                            	                            	R                          	                   	                                  	                     	                     	                            	                        	                      	R                         	                         	                    	                    	R                           	                         	                          	                       	                            	R                           	R                    	R                    	R                  	                              	                    	R                         	R              	R                                    	R                                    	                           	R                     	from Leg 154SR Ch 1 Appendix

  SR	Late Pleistocene 	                 	N23               	              	154	 925	B	  2	H	 6	  65.00	     12.6500	Chaisson 	Planktonic Foraminifers                      	               	                  	                              	                         	                       	R                	R                              	R                 	                        	                              	                          	                        	                      	                         	                       	                            	R                       	F                            	                        	F                      	                          	                  	F                         	R                            	                              	                            	                        	C                    	                           	                            	                 	                     	                           	                       	                         	                         	                       	               	F                         	                 	                        	                     	                             	                            	R                          	                   	                                  	                     	R                    	                            	                        	                      	R                         	                         	                    	                    	R                           	                         	                          	                       	                            	R                           	                     	R                    	R                  	                              	                    	R                         	R              	F                                    	                                     	                           	                      	from Leg 154SR Ch 1 Appendix

  SR	Early Pleistocene	                 	N23               	              	154	 925	B	  3	H	 5	  65.00	     20.6500	Chaisson 	Planktonic Foraminifers                      	               	                  	                              	                         	                       	                 	                               	R                 	                        	                              	                          	                        	                      	                         	                       	                            	R                       	F                            	                        	R                      	                          	R                 	F                         	R                            	                              	                            	                        	F                    	                           	                            	                 	                     	                           	                       	                         	                         	R                      	               	R                         	                 	                        	                     	                             	                            	R                          	R                  	                                  	                     	R                    	                            	                        	                      	R                         	                         	                    	                    	R                           	                         	                          	R                      	                            	R                           	R                    	                     	                   	R                             	R                   	                          	R              	                                     	F                                    	R                          	                      	from Leg 154SR Ch 1 Appendix

  SR	Early Pleistocene	                 	N23               	              	154	 925	B	  4	H	 6	  65.00	     31.6500	Chaisson 	Planktonic Foraminifers                      	               	                  	                              	                         	                       	R                	R                              	R                 	                        	                              	                          	R                       	                      	                         	                       	                            	R                       	F                            	T                       	R                      	                          	                  	F                         	R                            	                              	                            	                        	C                    	                           	                            	                 	                     	                           	                       	                         	                         	R                      	R              	R                         	                 	                        	                     	R                            	                            	R                          	R                  	                                  	                     	R                    	                            	                        	                      	R                         	R                        	                    	                    	R                           	                         	                          	                       	                            	R                           	                     	R                    	                   	                              	R                   	                          	R              	R                                    	                                     	R                          	                      	from Leg 154SR Ch 1 Appendix
