Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitella sp.,Neogloboquadrina continuosa,Globorotaloides variabilis,Globorotalia praescitula,Globorotalia mayeri,Globigerinoides subquadratus,Globigerinoides parawoodi,Globigerinoides bisphericus,Globigerinella praesiphonifera,Fohsella peripheroronda,Fohsella birnageae,Clavatorella bermudezi,Globigerinoides sacculifer,Globoturborotalita woodi,Globorotaloides hexagona,Globorotalia continuosa,Globoquadrina dehiscens,Dentoglobigerina altispira,Globorotalia limbata,Globorotalia archeomenardii,Globigerinoides mitra,Globigerinoides altiapertura,Globigerinita uvula,Globoquadrina venezuelana,Globigerinatella insueta,Praeorbulina sicana,Globigerinita glutinata,Praeorbulina glomerosa,Globigerina bulloides,Globorotalia praemenardii,Fohsella peripheroacuta,Orbulina suturalis,Fohsella praefohsi,Globoturborotalita decoraperta,Globorotalia miozea,Sphaeroidinellopsis kochi,Sphaeroidinellopsis disjuncta,Globigerinoides obliquus,Fohsella fohsi,Orbulina universa,Globigerinoides bollii,Fohsella lenguaensis,Orbulina bilobata,Globoturborotalita druryi,Globigerinella obesa,Globoturborotalita apertura,Beella praedigitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 18,H, 1,  57.00,    161.6700,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                           ,F                         ,                        ,F                  ,C                           ,                         ,                           ,R                             ,                       ,                  ,                      ,F                         ,F                       ,R                       ,R                      ,                       ,R                         ,                    ,                           ,R                    ,                            ,R                  ,R                        ,                        ,                   ,F                      ,                      ,R                    ,R                        ,                       ,R                 ,                  ,R                             ,                   ,                         ,R                            ,F                       ,R             ,                 ,F                     ,R                   ,                 ,                         ,                    ,R                          ,R                  ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 18,H, 2,  55.00,    163.1500,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,              ,                           ,R                         ,R                       ,C                  ,                            ,                         ,                           ,R                             ,                       ,                  ,                      ,F                         ,                        ,R                       ,R                      ,                       ,F                         ,                    ,                           ,R                    ,                            ,R                  ,R                        ,cf                      ,                   ,R                      ,                      ,F                    ,                         ,                       ,R                 ,                  ,                              ,                   ,                         ,R                            ,F                       ,R             ,R                ,F                     ,R                   ,                 ,                         ,R                   ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 18,H, 3,  55.00,    164.6500,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,              ,                           ,F                         ,R                       ,F                  ,                            ,                         ,                           ,R                             ,                       ,                  ,                      ,F                         ,                        ,                        ,R                      ,R                      ,F                         ,                    ,                           ,                     ,                            ,R                  ,R                        ,cf                      ,                   ,R                      ,                      ,                     ,                         ,                       ,R                 ,                  ,                              ,                   ,                         ,                             ,R                       ,R             ,                 ,R                     ,F                   ,R                ,R                        ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,159, 959,A, 18,H, 4,  45.00,    166.0500,Norris   ,Planktonic Foraminifers                      ,C              ,M                 ,              ,                           ,                          ,R                       ,C                  ,R                           ,                         ,                           ,                              ,                       ,                  ,                      ,C                         ,R                       ,R                       ,                       ,                       ,                          ,                    ,                           ,R                    ,                            ,                   ,R                        ,                        ,                   ,R                      ,                      ,                     ,R                        ,                       ,R                 ,                  ,                              ,                   ,R                        ,                             ,F                       ,R             ,R                ,R                     ,R                   ,                 ,                         ,                    ,                           ,                   ,From Leg 159SR Ch 34 Table 2
