Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina angiporoides	Paragloborotalia pseudocontinuosa	Globorotaloides testarugosa	Globorotaloides suteri	Globigerina praebulloides	Catapsydrax unicavus	Zeaglobigerina labiacrassata	Paragloborotalia opima nana	Globoquadrina venezuelana	Globigerina euapertura	Tenuitella munda	Globigerinita parkerae	Globigerinita juvenilis	Globigerina officinalis	Globigerina ciperoensis	Neogloboquadrina continuosa	Globoquadrina tripartita	Globoquadrina dehiscens	Zeaglobigerina druryi	Globoconella miozea	Globigerinoides trilobus	Globigerinoides sicanus	Globoconella praescitula	Fohsella peripheroronda	Fohsella birnageae	Zeaglobigerina woodi	Praeorbulina glomerosa	Globoconella conoidea	Globigerina bulloides	Orbulina suturalis	Globigerina falconensis	Orbulina universa	Globigerinoides ruber	Globigerinella obesa	Tenuitellinata juvenilis	Jenkinsella mayeri	Globorotalia praemenardii	Globigerinella siphonifera	Dentoglobigerina altispira	Neogloboquadrina pachyderma (dextral)	Globorotalia puncticulata	Globorotalia crassaformis	Globigerina quinqueloba	Globorotalia truncatulinoides	Globorotalia inflata	Comment
  IR	                 	Miocene          	                  	              	182	1132	C	 12	R	CC	   5.00	    339.3500	Li       	Planktonic Foraminifers                      	T              	P                 	                      	                                 	                           	                      	                         	                    	                            	                           	                         	                      	                	                      	                       	                       	                       	                           	                        	                       	                     	                   	                        	                       	                        	                       	                  	P                   	                      	                     	                     	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	strongly recrystallized

  IR	                 	Middle Miocene   	                  	              	182	1132	C	 13	R	CC	   0.00	    348.1000	Li       	Planktonic Foraminifers                      	F              	P                 	                      	                                 	                           	                      	                         	                    	                            	                           	                         	                      	                	                      	                       	                       	                       	P                          	                        	P                      	                     	                   	P                       	                       	                        	                       	                  	P                   	                      	                     	                     	P                 	P                      	P                	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

  IR	                 	Middle Miocene   	                  	              	182	1132	C	 14	R	CC	  10.00	    357.6000	Li       	Planktonic Foraminifers                      	F              	P                 	                      	                                 	                           	                      	                         	                    	                            	                           	                         	                      	                	                      	                       	                       	                       	                           	                        	F                      	                     	                   	P                       	                       	                        	                       	                  	P                   	                      	                     	P                    	F                 	P                      	P                	P                    	P                   	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

  IR	                 	Middle Miocene   	                  	Mt6           	182	1132	C	 15	R	CC	   0.00	    367.0000	Li       	Planktonic Foraminifers                      	T              	P                 	                      	                                 	                           	                      	                         	                    	                            	                           	                         	                      	                	                      	                       	                       	                       	                           	                        	P                      	                     	                   	                        	                       	P                       	                       	                  	P                   	                      	                     	                     	P                 	P                      	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	strongly recrystallized

  IR	                 	Middle Miocene   	                  	Mt5           	182	1132	C	 20	R	CC	  22.00	    413.8200	Li       	Planktonic Foraminifers                      	R              	P                 	                      	                                 	                           	                      	                         	                    	                            	                           	P                        	                      	                	                      	                       	                       	                       	                           	                        	                       	                     	P                  	P                       	P                      	                        	                       	                  	P                   	P                     	P                    	P                    	                  	                       	                 	                     	                    	                        	                  	                         	                          	                          	                                     	                         	                         	                       	                             	                    	       

