Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
161, 976,C,Initial Reports          ,      19.805,    0.085000,Base E. huxleyi acme
,,,,,,
161, 976,C,Initial Reports          ,      65.180,    0.260000,FO E. huxleyi
,,,,,,
161, 976,C,Initial Reports          ,     113.645,    0.460000,LO P. lacunosa
,,,,,,
161, 976,C,Initial Reports          ,     213.125,    0.930000,LO R. asanoi
,,,,,,
161, 976,C,Initial Reports          ,     247.405,    1.020000,FO G. omega > 4.0 microns
,,,,,,
161, 976,C,Initial Reports          ,     270.930,    1.100000,FO R. asanoi
,,,,,,
161, 976,C,Initial Reports          ,     288.090,    1.240000,LO Gephyrocapsa spp. > 5.5 microns
,,,,,,
161, 976,C,Initial Reports          ,     332.685,    1.440000,FO Gephyrocapsa spp. > 5.5 microns
,,,,,,
161, 976,C,Initial Reports          ,     347.835,    1.580000,LO C. macintyrei > 11 microns
,,,,,,
161, 976,C,Initial Reports          ,     361.305,    1.750000,FO G. oceanica > 4.0 microns
,,,,,,
