Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina sp.,Uvigerina mantaensis,Unilocular species,Siphonodosaria paucistriata,Pullenia bulloides,Planulina renzi,Oridorsalis umbonatus,Nodosaria longiscata,Melonis pompilioides,Melonis affinis,Martinottiella cyclostomata,Hansenisca zealandica,Hansenisca soldanii,Guttulina irregularis,Cibicidoides kullenbergi,Bulimina striata,Anomalinoides pompiloides,Amphimorphina stainforthi,Alabamina polita,Uvigerina gallowayi,Sphaeroidina bulloides,Plectofrondicularia morreyae,Parrelloides bradyi,Osangularia culter,Nuttallides sp. cf. P. decorata,Hoeglundina elegans,Hansenisca altiformis,Gyroidina turgida,Cibicidoides trinitatensis,Bulimina alazanensis,Brizalina sp. cf. B. gladius,Plectofrondicularia sp.,Nodogenerina spp.,Nodogenerina spinea,Laticarinina pauperata,Uvigerina rustica,Uvigerina auberiana,Spirolocammina tenuis,Sigmoilopsis schlumbergeri,Pleurostomella alternans,Hofkeruva smithi,Bulimina alligata,Bolivina sp. ex. gr. B. vaughani,Astrononion schwageri,Pseudoparrella sp.,Nodosaria sp. cf. D.consobrina Orbigny,Globocassidulina subglobosa horizontalis,Uvigerina sp. cf. U.postica,Lagenoglandulina sp.,Spirosigmoilinella compressa,Pseudoparrella  exigua,Ehrenbergina sp.,Buliminella curta,Quinqueloculina venusta,Pyrgo murrhyna,Fontbotia wuellerstorfi,Bulimina translucens,Bulimina pupoides auct.,Bolivina decussata,Uvigerina senticosa,Uvigerina bradyana,Pseudoparrella sandiegoensis,Plectofrondicularia californica,Plectofrondicularia advena,Nodosaria catesbyi,Globocassidulina subglobosa,Globocassidulina depressa,Globobulimina pacifica,Epistominella smithi,Eilohedra levicula,Cassidulina cushmani,Bulimina subacuminata,Bulimina exilis tenuata,Brizalina spissa,Bolivinita minuta,Bolivina costata,Angulogerina carinata,Angulogerina angulosa,Alexanderina viejoensis,Gyroidina lamarckiana,Uvigerina peregrina,Nonionella auris,Globobulimina affinis,Cassidulinoides bradyi,Bolivinellina pacifica,Amphimorphina sp.,Pyrgo serrata,Cassidelina complanata,Bulimina pyrula spinescens,Valvulineria rugosa minuta,Triloculina sp.,Martinottiella communis,Gyroidina neosoldanii,Bulimina barbata,Valvulineria glabra,Eggerella bradyi,Cassidulinoides sp.,Pseudoparrella subperuviana,Nonionella miocenica,Gyroidina sp.,Chilostomella oolina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 683,A,  1,H,CC,   0.00,      2.0800,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,1                 ,                           ,T                 ,               ,2                    ,                    ,                    ,               ,                           ,                     ,                   ,                     ,                        ,                ,                         ,                         ,                ,                   ,                      ,                            ,                   ,                  ,                               ,                   ,                     ,                 ,                          ,                    ,                            ,                       ,                 ,                   ,                      ,                 ,1                  ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,T                     ,                ,                 ,                       ,T             ,T                      ,                    ,                       ,                  ,6                  ,                  ,                            ,                               ,                          ,                  ,                           ,14                       ,                      ,                    ,15                ,                    ,                     ,1                      ,                ,T                ,53              ,                     ,                     ,1                      ,                     ,T                  ,T               ,1                    ,                      ,                      ,                 ,             ,1                     ,                          ,T                         ,               ,                       ,                     ,                ,                   ,                ,T                  ,1                          ,T                   ,T            ,1                   ,count=324 from ODP Leg 112 SR Chapter 16 Table 7 p 284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 683,A,  3,H,CC,  15.00,     19.3400,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,2                 ,                           ,T                 ,               ,1                    ,                    ,T                   ,T              ,                           ,                     ,                   ,                     ,                        ,                ,                         ,                         ,                ,                   ,T                     ,                            ,T                  ,                  ,                               ,T                  ,                     ,                 ,                          ,                    ,                            ,                       ,                 ,                   ,T                     ,                 ,2                  ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,T                     ,                ,                 ,                       ,              ,                       ,                    ,                       ,                  ,10                 ,1                 ,                            ,                               ,                          ,                  ,T                          ,6                        ,T                     ,                    ,7                 ,                    ,                     ,                       ,                ,1                ,64              ,                     ,                     ,                       ,1                    ,                   ,                ,T                    ,                      ,T                     ,                 ,             ,T                     ,                          ,T                         ,1              ,T                      ,T                    ,                ,T                  ,T               ,1                  ,                           ,                    ,             ,                    ,count=306 from ODP Leg 112 SR Chapter 16 Table 7 p 284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 683,A,  5,H,CC,  25.00,     35.5700,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,T                 ,                           ,T                 ,               ,1                    ,                    ,                    ,T              ,                           ,                     ,                   ,                     ,                        ,                ,                         ,                         ,                ,                   ,                      ,                            ,                   ,                  ,                               ,1                  ,                     ,                 ,                          ,                    ,                            ,                       ,                 ,                   ,                      ,                 ,T                  ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,T                     ,                ,                 ,                       ,              ,1                      ,                    ,                       ,                  ,2                  ,T                 ,                            ,                               ,                          ,                  ,T                          ,T                        ,T                     ,                    ,3                 ,                    ,                     ,1                      ,                ,                 ,85              ,                     ,                     ,                       ,2                    ,                   ,1               ,T                    ,                      ,T                     ,                 ,             ,1                     ,                          ,T                         ,T              ,T                      ,T                    ,T               ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=325 from ODP Leg 112 SR Chapter 16 Table 7 p 284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 683,A, 11,X, 1, 113.00,     88.8300,Resig    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,1                 ,                           ,                  ,               ,                     ,                    ,                    ,               ,                           ,                     ,                   ,                     ,                        ,                ,                         ,                         ,                ,                   ,                      ,                            ,                   ,                  ,                               ,                   ,                     ,                 ,                          ,                    ,                            ,                       ,7                ,                   ,                      ,                 ,2                  ,                     ,                          ,                        ,                ,                 ,                                ,                     ,                  ,                                      ,                                        ,                           ,                    ,                            ,1                     ,                ,                 ,                       ,              ,1                      ,                    ,                       ,                  ,7                  ,2                 ,                            ,                               ,T                         ,                  ,                           ,2                        ,T                     ,17                  ,2                 ,15                  ,T                    ,4                      ,3               ,1                ,23              ,1                    ,                     ,                       ,                     ,                   ,                ,                     ,2                     ,7                     ,                 ,T            ,2                     ,T                         ,                          ,               ,                       ,                     ,                ,                   ,                ,                   ,                           ,                    ,             ,                    ,count=213 from ODP Leg 112 SR Chapter 16 Table 7 p 284
