Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia peripheroronda,Globorotalia obesa,Globorotalia siakensis,Globorotalia minutissima,Globigerinoides immaturus,Globigerinita uvula,Cassigerinella chipolensis,Globorotaloides hexagona,Neogloboquadrina continuosa,Globorotalia praescitula,Globorotalia challengeri,Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerina foliata,Globorotalia scitula scitula,Globorotalia birnageae,Globoquadrina dehiscens dehiscens,Globoquadrina baroemoenensis,Globoquadrina altispira globosa,Globigerinoides parawoodi,Globigerinita glutinata,Globigerina woodi,Globigerina praebulloides,Globigerina falconensis,Globigerina eamesi,Globoquadrina venezuelana,Orbulina universa,Neogloboquadrina incompta,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Globorotalia bermudezi,Globigerinella aequilateralis,Globigerina bulloides,Neogloboquadrina pachyderma,Globorotalia inflata,Globigerina quinqueloba,Globorotalia pumilio,Hastigerinopsis riedeli,Neogloboquadrina acostaensis,Globorotalia tumida,Beella praedigitata,Globorotalia hirsuta,Globigerina bulbosa,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina blowi,Globorotalia cultrata menardii,Globoquadrina conglomerata,Globigerinita iota,Globigerina calida calida,Orbulina suturalis,Globorotalia truncatulinoides,Globigerinoides trilobus,Globigerina umbilicata,Globigerinoides ruber,Globorotalia praepumilio,Beella digitata,Globigerina decoraperta,Turborotalita humilis,Globigerina megastoma,Globorotalia cultrata cultrata,Globigerinoides cyclostomus,Globigerina rubescens,Neogloboquadrina eggeri,Globorotalia theyeri,Globorotalia crassula,Globorotalia crassaformis crassaformis,Globigerina calida praecalida,Globigerinita parkerae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  1,H, 2,  18.00,      1.6800,Ibaraki  ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,T                       ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,F                      ,                 ,                         ,A                      ,                  ,                         ,                 ,C                        ,                         ,A                         ,                      ,T                            ,A                    ,A                          ,T                   ,F                      ,                    ,                       ,                            ,T                  ,T                  ,                    ,                   ,                         ,                            ,F                     ,                              ,                          ,C                 ,T                        ,                  ,                             ,                        ,F                     ,                     ,                        ,               ,                       ,                     ,                     ,R                             ,T                          ,                     ,                       ,                    ,                     ,T                                     ,                             ,T                     ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  1,H,CC,   0.00,      2.0800,Ibaraki  ,Planktonic Foraminifers                      ,A              ,                  ,                           ,F                 ,                      ,                        ,                         ,                   ,                          ,R                       ,                           ,                        ,                        ,                          ,                             ,                   ,T                           ,                      ,                                 ,                            ,                               ,                         ,F                      ,                 ,                         ,A                      ,                  ,                         ,R                ,C                        ,F                        ,A                         ,                      ,T                            ,A                    ,A                          ,C                   ,F                      ,                    ,T                      ,                            ,                   ,                   ,                    ,                   ,                         ,                            ,F                     ,T                             ,                          ,C                 ,                         ,R                 ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,                              ,                           ,                     ,T                      ,T                   ,T                    ,F                                     ,F                            ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  2,H, 4,  64.00,      7.3400,Ibaraki  ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,                        ,                           ,                        ,                        ,                          ,                             ,                   ,T                           ,                      ,                                 ,                            ,                               ,                         ,C                      ,                 ,                         ,A                      ,                  ,                         ,                 ,C                        ,                         ,A                         ,                      ,                             ,A                    ,A                          ,                    ,C                      ,                    ,                       ,                            ,F                  ,                   ,                    ,                   ,                         ,                            ,                      ,                              ,                          ,                  ,T                        ,                  ,                             ,                        ,F                     ,                     ,                        ,               ,                       ,                     ,                     ,                              ,T                          ,T                    ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 683,A,  2,H,CC,  10.00,      9.1500,Ibaraki  ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                  ,                      ,                        ,                         ,                   ,                          ,R                       ,                           ,                        ,                        ,                          ,                             ,                   ,                            ,                      ,                                 ,                            ,                               ,                         ,F                      ,                 ,                         ,A                      ,                  ,                         ,F                ,F                        ,F                        ,A                         ,                      ,                             ,A                    ,A                          ,                    ,                       ,                    ,                       ,                            ,F                  ,                   ,                    ,                   ,                         ,F                           ,                      ,                              ,                          ,                  ,                         ,T                 ,                             ,                        ,                      ,                     ,                        ,               ,                       ,                     ,                     ,T                             ,                           ,                     ,                       ,                    ,                     ,                                      ,                             ,                      ,from ODP Leg 112 SR Chapter 15 Table 4 p 246
