Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis disjuncta	Globorotalia mayeri	Globoquadrina venezuelana	Praeorbulina sicana	Globorotaloides suteri	Globorotalia peripheroronda	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides ruber s.l.	Globigerinoides quadrilobatus s.l.	Globigerinatella insueta	Dentoglobigerina altispira altispira	Globigerinoides diminutus	Globorotalia praescitula	Globigerinoides obliquus s.l.	Praeorbulina glomerosa curva	Globorotaloides variabilis	Globorotalia archeomenardii	Globorotaloides hexagona	Praeorbulina glomerosa glomerosa	Clavatorella bermudezi	Praeorbulina glomerosa circularis	Orbulina suturalis	Globorotalia peripheroacuta	Sphaeroidinellopsis kochi	Globorotalia praefohsi	Dentoglobigerina altispira globosa	Globorotalia scitula	Globorotalia praemenardii	Globorotalia fohsi fohsi	Orbulina universa	Globorotalia tumida	Globorotalia fohsi lobata	Sphaeroidinellopsis seminulina	Globorotalia fohsi robusta	Globigerinella siphonifera	Globorotalia menardii	Globorotalia plesiotumida	Globorotalia limbata	Comment



  SR	Pliocene         	                 	N18               	              	138	 845	A	  9	H	CC	  21.00	     84.0400	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	                   	                         	                   	                      	                           	                       	                            	                          	+                                 	                        	                                    	                         	                        	+                            	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	                         	                        	                 	+                  	                         	                              	                          	                          	T                    	                         	T                   	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Late Miocene     	                 	N17               	              	138	 845	A	 10	H	 3	  80.00	     87.4000	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	                   	                         	                   	                      	                           	                       	                            	                          	                                  	                        	                                    	                         	                        	                             	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	                         	                        	T                	                   	                         	                              	                          	                          	                     	T                        	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Late Miocene     	                 	N17               	              	138	 845	A	 11	H	CC	  28.00	    103.1800	Vincent  	Planktonic Foraminifers                      	R              	P                 	                             	                   	+                        	                   	                      	                           	                       	                            	                          	+                                 	                        	+                                   	                         	                        	+                            	                            	                          	                           	                        	                                	                      	                                 	                  	                           	                         	                      	                                  	                    	                         	                        	                 	                   	                         	T                             	                          	                          	                     	T                        	                    	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

  SR	Late Miocene     	                 	N17               	              	138	 845	A	 12	H	 4	  78.00	    107.8800	Vincent  	Planktonic Foraminifers                      	F              	P                 	                             	                   	+                        	                   	                      	                           	T                      	T                           	                          	+                                 	                        	                                    	                         	                        	+                            	                            	                          	                           	+                       	                                	                      	                                 	                  	                           	                         	                      	T                                 	                    	                         	                        	+                	                   	                         	                              	                          	+                         	+                    	                         	+                   	from ODP Leg 138 SR Chapter 46 Table 3 pp 898-899

