Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Styliola subula,Limacina trochiformis,Limacina lesueuri,Limacina inflata,Limacina bulimoides,Diacria trispinosa,Diacria quadridentata,Cavolinia inflexa,Cavolinia globulosa,Clio pyramidata,Clio convexa,Clio cuspidata,Cavolinia longirostris,Hyalocylis striata,Creseis acicula,Cavolinia gibbosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  1,H, 1,  81.00,      0.8100,Glacon   ,Pteropods                                    ,               ,                  ,2              ,                     ,2                ,13              ,                   ,                  ,                     ,2                ,                   ,               ,            ,              ,                      ,                  ,1              ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  2,H, 1,  87.00,      5.2700,Glacon   ,Pteropods                                    ,               ,                  ,35             ,2                    ,3                ,64              ,3                  ,                  ,5                    ,                 ,                   ,1              ,2           ,              ,                      ,                  ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  2,H, 1, 134.00,      5.7400,Glacon   ,Pteropods                                    ,               ,                  ,4              ,                     ,4                ,75              ,4                  ,1                 ,                     ,                 ,                   ,               ,1           ,              ,                      ,                  ,               ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  2,H, 2,  73.00,      6.6300,Glacon   ,Pteropods                                    ,               ,                  ,117            ,                     ,2                ,152             ,6                  ,1                 ,1                    ,                 ,                   ,               ,            ,              ,                      ,                  ,2              ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  2,H, 3,  73.00,      8.1300,Glacon   ,Pteropods                                    ,               ,                  ,103            ,                     ,1                ,173             ,8                  ,1                 ,1                    ,1                ,                   ,               ,            ,              ,                      ,1                 ,2              ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 831,A,  2,H, 4,  18.00,      9.0800,Glacon   ,Pteropods                                    ,               ,                  ,167            ,                     ,10               ,417             ,9                  ,                  ,4                    ,7                ,                   ,6              ,            ,              ,                      ,                  ,4              ,                 ,from ODP Leg 134 SR Chapter 15 Table 4 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
