Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
114, 704,A,Post Moratorium          ,       1.140,    0.192000,LAO Hemidiscus karstenii (D)
,,,,,,
114, 704,A,Post Moratorium          ,       1.470,    0.285000,LO Globorotalia  crassaformis (F)
,,,,,,
114, 704,A,Post Moratorium          ,       6.850,    0.410000,LO Stylatractus universus (R)
,,,,,,
114, 704,A,Post Moratorium          ,       8.650,    0.437000,LO Pseudoemiliania lacunosa (N)
,,,,,,
114, 704,A,Post Moratorium          ,      15.150,    0.620000,LO Actinocyclus ingens (D)
,,,,,,
114, 704,A,Post Moratorium          ,      32.000,    0.730000,LO Globorotalia puncticulata puncticulata (F)
,,,,,,
114, 704,A,Post Moratorium          ,      93.650,    1.660000,LO Clathrocyclas bicornis (R)
,,,,,,
114, 704,A,Post Moratorium          ,     100.260,    1.890000,LO Coscinodiscus kolbei (D)
,,,,,,
114, 704,A,Post Moratorium          ,     122.250,    1.900000,LO Eucyrtidium calvertence (R)
,,,,,,
114, 704,A,Post Moratorium          ,     127.260,    2.200000,LO Thalassiosira convexa (D)
,,,,,,
114, 704,A,Post Moratorium          ,     130.540,    2.700000,FCO Cycladophora davisiana (R)
,,,,,,
114, 704,A,Post Moratorium          ,     179.760,    2.810000,LO Nitzschia interfrigidaria (D)
,,,,,,
114, 704,A,Post Moratorium          ,     188.560,    3.400000,LO Globorotalia margaritae (F)
,,,,,,
114, 704,A,Post Moratorium          ,     195.370,    3.600000,FO Thalassiosira convexa v. aspinosa (D)
,,,,,,
114, 704,A,Post Moratorium          ,     199.860,    4.100000,FO Globorotalia crassaformis (F)
,,,,,,
114, 704,A,Post Moratorium          ,     208.260,    4.220000,FO Nitzschia angulata (D)
,,,,,,
114, 704,A,Post Moratorium          ,     218.960,    4.480000,LO Denticulopsis hustedtii (D)
,,,,,,
114, 704,A,Post Moratorium          ,     235.740,    4.500000,LO Stichocorys peregrina (R)
,,,,,,
114, 704,A,Post Moratorium          ,     239.980,    5.900000,Top Cosmiodiscus insignis v. triangula acme
,,,,,,
114, 704,A,Post Moratorium          ,     268.640,    6.370000,Base Cosmiodiscus insignis v. triangula acme (D)
,,,,,,
