Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spp.,Reticulofenestra umbilica,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Ceratolithus cristatus,Coccolithus pelagicus,Calcidiscus macintyrei,Discoaster triradiatus,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,B, 16,H,CC,  17.00,    147.7800,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,                        ,                    ,                     ,                  ,                   ,4                       ,C                  ,                       ,                      ,                     ,                      ,F                     ,                      ,>1.95   < 2.15 - acme of triradiatus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,B, 17,H,CC,   0.00,    156.5000,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,                        ,                    ,                     ,                  ,                   ,1                       ,A                  ,                       ,                      ,                     ,                      ,2                     ,                      ,> 2.15   < 2.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,B, 18,X,CC,   0.00,    161.1200,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,                        ,                    ,                     ,                  ,                   ,1                       ,C                  ,                       ,                      ,                     ,                      ,                      ,                      ,> 2.15   < 2.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,B, 19,X,CC,  25.00,    171.9100,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,                        ,                    ,                     ,                  ,R                  ,C                       ,C                  ,                       ,                      ,                     ,                      ,3                     ,                      ,> 2.52    < 2.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,B, 20,X,CC,  25.00,    181.2400,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,                        ,                    ,                     ,F                 ,F                  ,F                       ,R                  ,F                      ,                      ,                     ,                      ,                      ,                      ,> 2.83    < 3.66 - quite dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,B, 21,X,CC,  24.00,    191.0500,Raffi    ,Nannofossils                                 ,               ,                  ,-                ,-                        ,                        ,R                   ,R                    ,F                 ,C                  ,C                       ,F                  ,                       ,F                     ,F                    ,R                     ,                      ,C                     ,> 2.83   < 3.66  -  dissolved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1062,B, 22,X,CC,  33.00,    200.4300,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                ,-                        ,A                       ,F                   ,C                    ,F                 ,R                  ,C                       ,F                  ,A                      ,F                     ,F                    ,F                     ,R                     ,C                     ,slight etching - age:>2.83 <8.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,172,1062,B, 23,X,CC,  29.00,    210.3700,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                ,R                        ,A                       ,+                   ,+                    ,A                 ,F                  ,C                       ,C                  ,C                      ,                      ,C                    ,A                     ,                      ,                      ,reworking ( Paleogene and Miocene)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,172,1062,B, 24,X,CC,  36.00,    219.4400,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                ,A                        ,F                       ,                    ,                     ,F                 ,A                  ,C                       ,A                  ,C                      ,C                     ,                     ,                      ,                      ,                      ,age: >3.83 <5.05 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,172,1062,B, 25,X,CC,  17.00,    228.9700,Raffi    ,Nannofossils                                 ,A              ,M                 ,F                ,A                        ,R                       ,+                   ,+                    ,-                 ,A                  ,C                       ,C                  ,R                      ,R                     ,                     ,                      ,                      ,                      ,age: >3.83 <5.05 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,172,1062,B, 26,X,CC,  24.00,    238.9800,Raffi    ,Nannofossils                                 ,A              ,M                 ,F                ,A                        ,-                       ,+                   ,+                    ,-                 ,C                  ,A                       ,A                  ,-                      ,F                     ,                     ,                      ,                      ,                      ,age: >3.83 <5.05 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
