Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Thoracosphaera saxea	Syracosphaera spp.	Scapholithus fossilis	Rhabdosphaera stylifera	Rhabdosphaera clavigera	Pseudoemiliania lacunosa	Oolithotus fragilis	Helicosphaera sellii	Helicosphaera pavimentum	Helicosphaera kamptneri	Helicosphaera hyalina	Gephyrocapsa spp. (small)	Emiliania ovata	Discoaster triradiatus	Discoaster spp. (fragments)	Discoaster brouweri	Coccolithus pataecus	Calcidiscus macintyrei	Calcidiscus leptoporus	Thoracosphaera spp.	Scyphosphaera sp. (fragment)	Pontosphaera spp.	Hayaster perplexus	Discoaster blackstockae	Cyclolithus annulus	Ceratolithus rugosus	Scyphosphaera apsteinii	Pontosphaera japonica	Holodiscolithus spp.	Discoaster tamalis (grainy)	Discoaster spp. (5 rays)	Ceratolithus cristatus	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Thoracosphaera heimii	Reticulofenestra spp. (small - medium)	Discoaster variabilis	Discoaster pentaradiatus (grainy)	Discoaster pentaradiatus	Ceratolithus telesmus	Sphenolithus spp.	Scyphosphaera pulcherrima	Scyphosphaera galeana	Coccolithus pelagicus	Discoaster quadramus	Discoaster asymmetricus	Scyphosphaera recurvata	Discoaster brouweri (grainy)	Discoaster asymmetricus (grainy)	Triquetrorhabdulus rugosus (questionable fragments)	Pontosphaera indooceanica	Helicosphaera inversa	Comment



  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  1	H	 2	 104.00	      2.5400	Styzen   	Nannofossils                                 	               	                  	X                   	C                   	V                 	L                    	V                      	C                      	L                       	A                  	                    	S                       	A                      	F                    	X                        	C              	                      	                           	                   	R                   	                      	C                     	F                  	S                           	F                	M                 	                       	C                  	                    	                       	R                    	S                   	                           	                        	F                     	M                        	X                    	                     	R                                     	                     	                                 	                        	R                    	                 	                         	                     	                     	                    	                       	                       	                            	                                	                                                   	R                        	R                    	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  1	H	CC	  15.00	      7.9200	Styzen   	Nannofossils                                 	               	                  	A                   	F                   	V                 	F                    	W                      	C                      	R                       	C                  	R                   	S                       	A                      	F                    	X                        	R              	                      	                           	R                  	                    	                      	L                     	M                  	                            	S                	M                 	                       	C                  	                    	                       	                     	S                   	                           	                        	F                     	C                        	X                    	R                    	                                      	                     	                                 	                        	                     	                 	                         	                     	                     	                    	                       	                       	                            	                                	S                                                  	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  2	H	 5	 132.00	     15.3200	Styzen   	Nannofossils                                 	               	                  	W                   	M                   	V                 	C                    	W                      	M                      	X                       	A                  	                    	                        	L                      	M                    	X                        	X              	R                     	                           	                   	R                   	                      	L                     	F                  	F                           	C                	L                 	                       	F                  	S                   	                       	                     	R                   	                           	                        	R                     	                         	F                    	                     	                                      	                     	                                 	                        	                     	                 	                         	                     	                     	                    	                       	                       	                            	R                               	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 837	A	  3	H	 5	 133.00	     24.8300	Styzen   	Nannofossils                                 	               	                  	V                   	S                   	V                 	F                    	W                      	C                      	X                       	A                  	                    	S                       	A                      	M                    	X                        	X              	                      	                           	                   	F                   	                      	L                     	F                  	F                           	M                	F                 	                       	F                  	                    	                       	                     	R                   	                           	                        	R                     	                         	R                    	                     	                                      	                     	                                 	                        	                     	                 	                         	                     	                     	                    	                       	R                      	R                           	                                	                                                   	                         	                     	from ODP Leg 135 Chapter 13 Table 6 p. 200
