Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vaughanina cubensis	Sulcoperculina sp.	Sulcoperculina dickersoni	Pseudorbitoides trechmanni	Miliolids species	Asterorbis rooki	Rotaliid taxa	Nubecularia sp.	Marssonella sp.	Sulcoperculina globosa	Foraminifers (encrusting)	Foraminifers (agglutinated taxa)	Textulariid taxa	Sulcoperculina vermunti	Antalyna sp.	Sulcoperculina obesa	Foraminifers (planispiral taxa)	Vidalina sp. cf. V. hispanica	Aeolisaccus (?) sp.	Planorbulina sp.	Discorbid taxa	Montsechiana sp.	Nummoloculina sp.	Istriloculina sp.	Pseudocyclammina sp.	Comment



  SR	Maestrichtian    	                 	                  	              	144	 874	B	  1	R	 1	  18.00	      0.1800	Premoli Silva	Benthic Foraminifers                         	               	                  	                   	C                 	F                        	                          	                 	F               	             	F              	               	F                     	F                        	                                	                	C                      	            	                    	                               	                             	                   	                	              	                	                 	                 	R                   	from ODP Leg 144 SR; Ch 9; Table 3; p 176

  SR	Maestrichtian    	                 	                  	              	144	 874	B	  1	R	 1	  40.00	      0.4000	Premoli Silva	Benthic Foraminifers                         	               	                  	                   	C                 	F                        	                          	F                	F               	F            	?              	               	C                     	A                        	                                	                	F                      	            	                    	                               	                             	                   	                	              	?               	                 	                 	F                   	from ODP Leg 144 SR; Ch 9; Table 3; p 176

  SR	Maestrichtian    	                 	                  	              	144	 874	B	  1	R	 1	  47.00	      0.4700	Premoli Silva	Benthic Foraminifers                         	               	                  	                   	3                 	                         	                          	                 	                	             	               	               	                      	                         	                                	                	                       	            	                    	                               	                             	                   	                	              	                	                 	                 	                    	from ODP Leg 144 SR; Ch 9; Table 3; p 176

  SR	Maestrichtian    	                 	                  	              	144	 874	B	  2	R	 1	   2.00	      9.7200	Premoli Silva	Benthic Foraminifers                         	               	                  	                   	F                 	                         	                          	                 	R               	F            	               	               	                      	                         	                                	                	                       	            	                    	                               	                             	                   	                	F             	                	                 	                 	                    	from ODP Leg 144 SR; Ch 9; Table 3; p 176

  SR	Maestrichtian    	                 	                  	              	144	 874	B	  2	R	 1	  19.00	      9.8900	Premoli Silva	Benthic Foraminifers                         	               	                  	                   	F                 	                         	                          	R                	1               	             	               	               	                      	                         	                                	                	                       	            	                    	                               	                             	                   	                	              	                	                 	                 	                    	from ODP Leg 144 SR; Ch 9; Table 3; p 176

  SR	Maestrichtian    	                 	                  	              	144	 874	B	  2	R	 1	  35.00	     10.0500	Premoli Silva	Benthic Foraminifers                         	               	                  	                   	C                 	F                        	                          	C                	C               	C            	               	               	F                     	                         	                                	                	C                      	            	                    	1                              	A                            	                   	                	R             	                	                 	                 	                    	from ODP Leg 144 SR; Ch 9; Table 3; p 176

