Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Neogloboquadrina pachyderma,Hirsutella hirsuta,Globoconella inflata,Globigerina falconensis,Truncorotalia truncatulinoides (dex.),Turborotalita humilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1064,A,  1,H, 3,  70.00,      3.7000,Chaisson ,Planktonic Foraminifers                      ,T              ,P                 ,                                     ,                           ,                  ,+                   ,                       ,+                                    ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1064,A,  1,H,CC,   8.00,      9.5100,Chaisson ,Planktonic Foraminifers                      ,R              ,P                 ,+                                    ,                           ,                  ,+                   ,+                      ,                                     ,+                    ,preserved better than expected
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1064,A,  2,H, 1,  70.00,     10.2000,Chaisson ,Planktonic Foraminifers                      ,T              ,P                 ,+                                    ,+                          ,                  ,+                   ,                       ,+                                    ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1064,A,  2,H, 3,  70.00,     13.2000,Chaisson ,Planktonic Foraminifers                      ,T              ,P                 ,+                                    ,                           ,                  ,+                   ,+                      ,                                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1064,A,  2,H, 4,  70.00,     14.7000,Chaisson ,Planktonic Foraminifers                      ,T              ,P                 ,                                     ,                           ,1                 ,                    ,                       ,                                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1064,A,  2,H,CC,   9.00,     18.9600,Chaisson ,Planktonic Foraminifers                      ,T              ,P                 ,                                     ,                           ,                  ,+                   ,                       ,+                                    ,                     ,~4 forams
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1064,A,  3,H,CC,   0.00,     28.5100,Chaisson ,Planktonic Foraminifers                      ,R              ,P                 ,+                                    ,+                          ,+                 ,+                   ,+                      ,                                     ,                     ,much pyritized mud
,,,,,,,,,,,,,,,,,,,,,,,,
