Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa spp. (small),Emiliania huxleyi,Pseudoemiliania lacunosa,Gephyrocapsa spp. medium,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1064,A,  1,H,CC,   8.00,      9.5100,Raffi    ,Nannofossils                                 ,R              ,G                 ,                         ,+                ,                        ,R                       ,                     ,                      ,R                ,Nannofossils are very rare but well preserved. Abundant clay minerals.
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1064,A,  2,H, 1, 122.00,     10.7200,Raffi    ,Nannofossils                                 ,C              ,M                 ,+                        ,+                ,                        ,+                       ,+                    ,                      ,                 ,Dilution by abundant clay minerals. Some dissolution. Age:<0.26
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1064,A,  2,H,CC,   9.00,     18.9600,Raffi    ,Nannofossils                                 ,C              ,G                 ,C                        ,-                ,R                       ,C                       ,C                    ,F                     ,                 ,Sample from a turbidite layer. Common reworked Cretaceous forms.
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1064,A,  3,H,CC,   0.00,     28.5100,Raffi    ,Nannofossils                                 ,R              ,                  ,R                        ,+                ,                        ,                        ,                     ,                      ,                 ,Assemblage dominated by reworked forms (mainly from Cretaceous). Age: <0.26 Ma
,,,,,,,,,,,,,,,,,,,,,,,,
