Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina continuosa (dextral)	Globoquadrina venezuelana	Praeorbulina glomerosa curva	Globorotalia peripheroronda	Globoquadrina dehiscens	Globoquadrina altispira	Globorotalia sp. cf. G. praescitula	Globigerinoides trilobus	Globigerinoides subquadratus	Globigerinoides sicanus	Globigerinoides sacculifer	Globigerinita glutinata	Globigerina druryi	Catapsydrax stainforthi	Catapsydrax dissimilis	Sphaeroidinellopsis multiloba 	Globigerina nepenthes	Sphaeroidinellopsis seminulina	Orbulina universa	Globorotaloides hexagona	Globorotalia limbata	Globigerinoides obliquus obliquus	Globorotalia plesiotumida	Globorotalia menardii	Globigerina bulloides	Globigerina apertura	Globorotalia scitula	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Globorotalia margaritae	Globorotalia cibaoensis	Globigerinoides obliquus extremus	Globigerinella obesa	Candeina nitida	Sphaeroidinellopsis kochi	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina continuosa (sinistral)	Neogloboquadrina acostaensis (sinistral)	Globigerinella aequilateralis	Globorotalia exilis	Globigerinoides conglobatus	Pulleniatina praecursor	Globorotalia crassaformis crassaformis	Globigerina falconensis	Neogloboquadrina dutertrei	Globorotalia puncticulata	Globorotalia pertenuis	Globorotalia miocenica	Globorotalia crassula	Sphaeroidinella dehiscens	Globigerinoides ruber (white)	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globigerinoides tenellus	Globigerinoides fistulosus	Globigerina quinqueloba	Beella digitata	Pulleniatina obliquiloculata	Globorotalia inflata	Globorotalia truncatulinoides	Globigerinoides ruber (pink)	Globigerinella calida	Comment



  SR	                 	                 	G. truncatulinoides	              	108	 659	A	  1	H	CC	  21.00	      7.7800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	                              	R                	                        	                    	                                 	                         	                     	                     	C                   	R                   	C                                    	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	R                            	                   	R                          	                       	R                                     	                       	R                         	                         	                      	                      	                     	                         	F                            	                               	                               	R                       	                          	R                      	               	                            	C                   	R                            	R                           	R                    	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	G. truncatulinoides	              	108	 659	A	  2	H	CC	   2.00	     14.6400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	R                      	                  	                       	                      	                              	                     	                              	F                	                        	                    	                                 	                         	R                    	                     	C                   	R                   	A                                    	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	R                            	                   	                           	                       	                                      	                       	F                         	                         	                      	                      	R                    	                         	F                            	                               	R                              	                        	                          	R                      	               	                            	C                   	F                            	R                           	R                    	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	G. truncatulinoides	              	108	 659	A	  3	H	CC	   4.00	     26.3300	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	F                      	                  	                       	                      	                              	                     	                              	F                	                        	                    	                                 	                         	R                    	                     	C                   	R                   	C                                    	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	R                            	                   	                           	                       	                                      	R                      	F                         	                         	                      	                      	                     	                         	F                            	                               	                               	R                       	                          	R                      	               	                            	C                   	R                            	R                           	                     	from ODP Leg 108 SR Chapter 5 Table 5 p 79

  SR	                 	                 	                  	              	108	 659	A	  4	H	CC	  16.00	     32.3000	Weaver   	Planktonic Foraminifers                      	A              	G                 	                                     	                         	                            	                           	                       	                       	                                   	R                       	                            	                       	R                         	F                      	                  	                       	                      	                              	                     	                              	F                	R                       	                    	                                 	                         	                     	                     	C                   	R                   	C                                    	                         	                                      	                       	                       	                                 	                    	               	                         	                                       	                                       	                                        	R                            	                   	R                          	                       	                                      	                       	F                         	                         	                      	                      	                     	R                        	C                            	                               	R                              	                        	                          	R                      	               	R                           	F                   	R                            	R                           	                     	zonal assignment is uncertain from ODP Leg 108 SR Chapter 5 Table 5 p 79
