Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius pertusus	Sphenolithus radians	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra reticulata	Reticulofenestra hillae	Neococcolithes dubius	Ericsonia formosa	Discoaster lodoensis	Discoaster kuepperi	Coccolithus pelagicus	Chiasmolithus solitus	Chiasmolithus oamaruensis	Chiasmolithus expansus	Toweius magnicrassus	Toweius callosus	Sphenolithus moriformis	Pontosphaera fimbriata	Markalius inversus	Discoaster bifax	Chiasmolithus eograndis	Reticulofenestra dictyoda	Discoaster praebifax	Discoaster diastypus	Discoaster cruciformis	Reticulofenestra bisecta	Isthmolithus recurvus	Chiasmolithus grandis	Discoaster distinctus	Ellipsolithus lajollaensis	Reticulofenestra hampdenensis	Comment



  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  3	R	CC	   8.00	    121.0800	Aubry    	Nannofossils                                 	R              	P                 	F                      	                         	F               	                    	                         	                            	                           	                       	F                    	F                	                    	                   	F                    	F                    	                         	F                     	                    	                	                       	                      	                  	                	                       	F                        	                    	                    	                      	                        	                     	                     	                     	                          	F                            	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  4	R	CC	   0.00	    130.5000	Aubry    	Nannofossils                                 	R              	P                 	F                      	                         	                	                    	                         	                            	                           	                       	F                    	F                	                    	                   	                     	F                    	                         	F                     	R                   	                	                       	                      	                  	                	                       	C                        	                    	                    	                      	                        	                     	                     	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  6	R	CC	  23.00	    150.2600	Aubry    	Nannofossils                                 	A              	M                 	C                      	                         	C               	F                   	                         	                            	                           	                       	C                    	C                	F                   	F                  	C                    	C                    	                         	R                     	                    	                	                       	R                     	                  	                	                       	                         	                    	                    	                      	                        	                     	                     	                     	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  7	R	 1	  70.00	    159.7000	Aubry    	Nannofossils                                 	A              	M                 	C                      	                         	C               	F                   	                         	                            	                           	                       	F                    	F                	F                   	F                  	C                    	C                    	                         	R                     	                    	                	                       	F                     	                  	                	                       	                         	R                   	                    	                      	                        	                     	                     	                     	F                         	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Early Eocene     	                 	NP13              	              	120	 749	C	  7	R	 2	  70.00	    161.2000	Aubry    	Nannofossils                                 	A              	P                 	C                      	                         	C               	C                   	                         	                            	                           	                       	C                    	C                	F                   	F                  	C                    	C                    	                         	R                     	F                   	                	                       	F                     	                  	                	                       	                         	R                   	                    	F                     	                        	                     	                     	cf                   	                          	                             	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

