Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera wallichii,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Florisphaera profunda,Coccolithus pelagicus,Ceratolithus telesmus,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Gephyrocapsa spp. (large),Gephyrocapsa sp. medium,Helicosphaera inversa,Reticulofenestra asanoi,Gephyrocapsa sp.3 medium,Gephyrocapsa omega,Pontosphaera spp.,Discoaster pentaradiatus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  1,H,CC,  10.00,      3.6100,Raffi    ,Nannofossils                                 ,C              ,G                 ,                        ,                       ,                    ,                     ,C                        ,                     ,                     ,                     ,                      ,                      ,                      ,                         ,A                      ,                     ,                       ,F                       ,F                 ,                 ,                        ,A                ,"< 0.085- frags of rads, some silceous stuff"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  2,H,CC,  15.00,     13.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,+                      ,                    ,                     ,A                        ,                     ,                     ,                     ,+                     ,                      ,+                     ,                         ,A                      ,                     ,                       ,                        ,C                 ,                 ,                        ,C                ,"> 0.085< 0.26- traces of siliceous stuff, many frags"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  3,H,CC,  16.00,     23.0200,Raffi    ,Nannofossils                                 ,C              ,G                 ,                        ,                       ,                    ,                     ,A                        ,                     ,                     ,                     ,                      ,                      ,                      ,                         ,A                      ,                     ,                       ,                        ,                  ,                 ,                        ,                 ,> ?< 0.46- C nitescens reworked - - E huxleyi not evident - few Gephs > 5.5 um
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1056,B,  4,H, 6, 115.00,     31.2500,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,+                      ,                    ,                     ,A                        ,                     ,+                    ,+                    ,+                     ,                      ,+                     ,                         ,A                      ,+                    ,                       ,                        ,                  ,                 ,                        ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1056,B,  4,H, 7,  40.00,     32.0000,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,+                      ,                    ,                     ,A                        ,                     ,                     ,+                    ,+                     ,                      ,+                     ,                         ,A                      ,+                    ,                       ,                        ,                  ,+                ,                        ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
