Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa oceanica s.l.,Gephyrocapsa (small),Emiliania huxleyi,Coccolithus pelagicus,Helicosphaera carteri,Comment
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1018,B,  1,H,CC,  11.00,      9.6400,Fornaciari,Nannofossils                                 ,C              ,M                 ,F                         ,C                   ,+                ,R                    ,R                    ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1018,B,  2,H,CC,  20.00,     19.4300,Fornaciari,Nannofossils                                 ,F              ,M                 ,F                         ,C                   ,+                ,R                    ,                     ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,
