Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prinsius martinii	Placozygus sigmoides	Ericsonia subpertusa	Ericsonia cava	Ellipsolithus bollii	Cruciplacolithus tenuis	Cruciplacolithus primus	Chiasmolithus danicus	Prinsius tenuiculum	Neochiastozygus modestus	Chiasmolithus edentulus	Praeprinsius tenuiculus	Ellipsolithus macellus	Chiastozygus ultimus	Neocrepidolithus neocrassus	Neochiastozygus imbriei	Lanternithus duocavus	Prinsius bisulcus	Neochiastozygus saepes	Chiasmolithus edwardsii	Chiasmolithus bidens	Sphenolithus primus	Bomolithus elegans	Ericsonia robusta	Cruciplacolithus edwardsii	Chiastozygus tenuis	Braarudosphaera bigelowii	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus pileatus	Chiasmolithus consuetus	Fasciculithus stonehengei	Toweius pertusus	Thoracosphaera spp.	Heliolithus cantabriae	Sphenolithus anarrhopus	Heliolithus kleinpellii	Toweius eminens	Discoaster bramlettei	Heliolithus riedelii	Discoaster nobilis	Discoaster mohleri	Markalius inversus	Fasciculithus involutus	Ellipsolithus distichus	Toweius tovae	Discoaster multiradiatus	Heliolithus floris	Fasciculithus aubertae	Campylosphaera eodela	Tribrachiatus bramlettei	Rhomboaster cuspis	Discoaster diastypus	Discoaster salisburgensis	Rhomboaster bramlettei	Lophodolithus nascens	Tribrachiatus contortus	Tribrachiatus digitalis	Tribrachiatus orthostylus	Sphenolithus editus	Sphenolithus radians	Sphenolithus orphanknollensis	Discoaster lodoensis	Chiasmolithus solitus	Discoaster lenticularis	Discoaster kuepperi	Transversopontis pulcher	Toweius magnicrassus	Toweius gammation	Lophodolithus mochlophorus	Ericsonia formosa	Toweius crassus	Zygrhablithus bijugatus	Helicosphaera seminulum	Helicosphaera lophota	Discoaster sublodoensis	Coccolithus pelagicus	Campylosphaera dela	Reticulofenestra dictyoda	Chiasmolithus expansus	Rhabdosphaera inflata	Discoaster barbadiensis	Coccolithus eopelagicus	Pseudotriquetrorhabdulus inversus	Discoaster strictus	Neococcolithes dubius	Nannotetrina fulgens	Chiasmolithus grandis	Discoaster saipanensis	Chiasmolithus gigas	Sphenolithus furcatolithoides	Neococcolithes minutus	Lanternithus minutus	Nannotetrina quadrata	Nannotetrina pappii	Sphenolithus spiniger	Reticulofenestra umbilica	Discoaster bifax	Pemma papillatum	Cribrocentrum reticulatum	Ericsonia obruta	Helicosphaera compacta	Sphenolithus predistentus	Discoaster tanii	Dictyococcites bisectus	Bramletteius serraculoides	Discoaster nodifer	Comment

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	  7	H	 3	 145.00	     57.7500	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	+                    	                      	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	+                        	                	+                      	+                         	                  	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	  8	H	CC	  17.00	     72.5900	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	+                    	+                     	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	+               	+                     	                         	+               	+                      	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	  9	H	CC	   0.00	     81.0900	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	+                      	                       	                                 	                   	                     	                    	+                    	+                     	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	 10	H	 1	  66.00	     82.4600	Watkins  	Nannofossils                                 	A              	VG                	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	+                    	                      	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	 10	H	 3	  67.00	     85.4700	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	+                    	                      	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	 10	H	 3	 145.00	     86.2500	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	+                      	                       	                                 	                   	                     	                    	+                    	+                     	                   	                             	+                     	                    	                     	                   	                     	+                        	                	                	+                        	+               	                      	+                        	                	                       	                          	                  	no D. bisecta

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	 10	H	CC	   0.00	     91.0200	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	+                     	                     	+                      	                       	                                 	                   	                     	                    	+                    	                      	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	                         	+               	+                     	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	 12	H	 1	  67.00	    101.4700	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	+                        	                      	                     	+                      	                       	                                 	                   	                     	                    	+                    	+                     	                   	+                            	                      	                    	                     	                   	                     	+                        	                	                	+                        	+               	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14b         	171	1051	A	 12	H	 2	  67.00	    102.9700	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	                     	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	+                        	                      	                     	+                      	                       	                                 	                   	                     	                    	                     	+                     	                   	+                            	                      	+                   	                     	                   	                     	+                        	                	                	+                        	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 12	H	 3	  67.00	    104.4700	Watkins  	Nannofossils                                 	A              	M                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	+                        	                      	                     	+                      	                       	                                 	                   	                     	                    	+                    	+                     	                   	+                            	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 12	H	CC	   0.00	    110.3500	Watkins  	Nannofossils                                 	A              	G                 	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	+                      	                       	                                 	                   	                     	                    	+                    	+                     	                   	                             	                      	                    	                     	                   	                     	+                        	                	                	+                        	+               	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 13	H	CC	  12.00	    119.9300	Watkins  	Nannofossils                                 	               	                  	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	+                    	                      	                   	+                            	                      	                    	                     	                   	                     	+                        	                	                	+                        	                	                      	                         	                	                       	                          	                  	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1051	A	 14	H	CC	  29.00	    129.8100	Watkins  	Nannofossils                                 	               	                  	                 	                    	                    	              	                    	                       	                       	                     	                   	                        	                       	                       	                      	                    	                           	                       	                     	                 	                      	                       	                    	                   	                  	                 	                          	                   	                         	                  	                           	                      	                       	                         	                	                   	                      	                       	                       	               	                     	                    	                  	                  	                  	                       	                       	             	                        	                  	                      	                     	                        	                  	                    	                         	                      	                     	                       	                       	                         	                   	                    	                             	                    	+                    	                       	                   	                        	                    	                 	                          	                 	               	                       	                       	                     	                       	                     	                   	                         	                      	                     	                       	                       	                                 	                   	                     	                    	+                    	                      	                   	+                            	+                     	                    	                     	                   	                     	+                        	                	                	+                        	+               	                      	                         	                	                       	                          	                  	       
