Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Zeugrhabdotus cooperi,Watznaueria manivitae,Watznaueria britannica,Watznaueria barnesae,Rhagodiscus dekaenelii,Rhagodiscus asper,Lithraphidites carniolensis carniolensis,Helenea chiastia,Haqius ellipticus,Diazomatolithus lehmanii,Cyclagelosphaera margerelii,Cyclagelosphaera deflandrei,Cruciellipsis cuvillieri,Cretarhabdus angustiforatus,Assipetra infracretacea,Zeugrhabdotus erectus,Tubodiscus verenae,Tubodiscus jurapelagicus,Rucinolithus wisei,Watznaueria ovata,Manivitella pemmatoidea,Lithraphidites bollii,Haqius circumradiatus,Watznaueria supracretacea,Nannoconus ligius,Assipetra terebrodentarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,185,1149,C,  5,R, 1,  23.00,    303.0300,Lozar    ,Nannofossils                                 ,C              ,M                 ,F                      ,                     ,R                    ,F                     ,A                   ,R                     ,                 ,                                        ,R               ,R                ,F                       ,C                          ,R                          ,                        ,F                          ,F                      ,                     ,                  ,F                       ,                  ,                 ,                       ,R                    ,F                    ,F                        ,R                ,C                         ,Rare dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,185,1149,C,  6,R, 1,  35.00,    312.7500,Lozar    ,Nannofossils                                 ,C              ,P                 ,C                      ,                     ,F                    ,F                     ,A                   ,                      ,R                ,F                                       ,                ,                 ,C                       ,C                          ,                           ,R                       ,R                          ,R                      ,                     ,                  ,F                       ,                  ,F                ,R                      ,R                    ,F                    ,                         ,                 ,                          ,Coccosphaeres preserved.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,185,1149,C,  8,R, 1,  76.00,    388.9600,Lozar    ,Nannofossils                                 ,C              ,M                 ,F                      ,R                    ,R                    ,C                     ,A                   ,                      ,R                ,R                                       ,R               ,                 ,C                       ,F                          ,F                          ,C                       ,R                          ,R                      ,R                    ,R                 ,F                       ,R                 ,                 ,                       ,                     ,                     ,                         ,                 ,                          ,rare dolomite; coccospheres preserved
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,185,1149,C,  9,R, 1,  10.00,    398.0000,Lozar    ,Nannofossils                                 ,C              ,P                 ,F                      ,R                    ,R                    ,F                     ,A                   ,R                     ,R                ,R                                       ,R               ,F                ,C                       ,F                          ,C                          ,F                       ,R                          ,R                      ,                     ,                  ,                        ,                  ,                 ,                       ,                     ,                     ,                         ,                 ,                          ,rare dolomite.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
