Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster sp. (5-rayed),Triquetrorhabdulus rugosus,Calcidiscus macintyrei,Sphenolithus abies,Discoaster brouweri,Coccolithus pelagicus,Sphenolithus sp.,Reticulofenestra spp. (small),Pseudoemiliania lacunosa,Gephyrocapsa (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C,  1,H,CC,  11.00,      3.9000,Olafsson ,Nannofossils                                 ,R              ,P                 ,                        ,                          ,                      ,                  ,                   ,R                    ,                ,                             ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 17,H,CC,  20.00,    155.7500,Olafsson ,Nannofossils                                 ,R              ,P                 ,                        ,                          ,                      ,                  ,                   ,                     ,rR              ,                             ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H,CC,  19.00,    191.1700,Olafsson ,Nannofossils                                 ,R              ,P                 ,                        ,                          ,R                     ,                  ,                   ,R                    ,                ,R                            ,R                       ,R                   ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 23,X, 2,  46.00,    202.5600,Olafsson ,Nannofossils                                 ,R              ,M                 ,                        ,                          ,                      ,                  ,                   ,                     ,                ,R                            ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 23,X, 3,  46.00,    204.0600,Olafsson ,Nannofossils                                 ,R              ,P                 ,                        ,                          ,                      ,                  ,                   ,                     ,                ,R                            ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 23,X,CC,  18.00,    209.8900,Olafsson ,Nannofossils                                 ,R              ,P                 ,                        ,                          ,R                     ,                  ,                   ,                     ,                ,R                            ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 30,X,CC,   5.00,    276.6200,Olafsson ,Nannofossils                                 ,R              ,P                 ,                        ,                          ,                      ,                  ,                   ,                     ,R               ,                             ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 32,X,CC,  22.00,    290.3200,Olafsson ,Nannofossils                                 ,R              ,P                 ,R                       ,R                         ,                      ,R                 ,?                  ,R                    ,                ,                             ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 35,X,CC,  35.00,    322.8100,Olafsson ,Nannofossils                                 ,R              ,P                 ,                        ,R                         ,R                     ,                  ,                   ,                     ,                ,                             ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 36,X,CC,  20.00,    334.7200,Olafsson ,Nannofossils                                 ,R              ,P                 ,R                       ,                          ,                      ,                  ,                   ,                     ,                ,                             ,                        ,                    ,from Leg 145 SR; Ch 39; T3; p 601
,,,,,,,,,,,,,,,,,,,,,,,,,,,
