Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella delrioensis,Clavihedbergella simplex,Heterohelix moremani,Heterohelix globulosa,Globigerinelloides caseyi,Whiteinella inornata,Whiteinella baltica,Hedbergella planispira,Contusotruncana fornicata,Archaeoglobigerina bosquensis,Archaeoglobigerina blowi,Whiteinella archaeocretacea,Marginotruncana sinuosa,Marginotruncana pseudolinneiana,Dicarinella concavata,Archaeoglobigerina cretacea,Rugoglobigerina rugosa,Globotruncana linneiana,Globotruncana arca,Globotruncana aegyptiaca,Pseudoguembelina costulata,Globotruncana esnehensis,Globotruncana insignis,Rugoglobigerina rotundata,Pseudotextularia elegans,Globotruncanita stuarti,Globotruncana ventricosa,Gansserina gansseri,Abathomphalus mayaroensis,Racemiguembelina fructicosa,Pseudotextularia deformis,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Heterohelix labellosa,Parasubbotina varianta,Morozovella praeangulata,Subbotina triloculinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 1,   1.00,    530.0100,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,P                  ,                     ,                             ,                     ,P                     ,P                       ,P                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 1,  14.00,    530.1400,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,P                  ,P                    ,                             ,                     ,P                     ,P                       ,P                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 1, 125.00,    531.2500,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,P                  ,                     ,                             ,                     ,P                     ,P                       ,P                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1261,B,  2,R, 2,   0.00,    531.5000,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                       ,                        ,                    ,                     ,                         ,                    ,                   ,                      ,                         ,                             ,                        ,                           ,                       ,                               ,                     ,                           ,                      ,                       ,                  ,                        ,                          ,                        ,                      ,                         ,                        ,                       ,                        ,                   ,                         ,                           ,                         ,P                  ,P                    ,P                            ,                     ,P                     ,P                       ,                         ,       
