Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Toweius pertusus	Sphenolithus radians	Reticulofenestra pseudogammation	Pseudotriquetrorhabdulus inversus	Pontosphaera plana	Neococcolithes dubius	Lophodolithus nascens	Ericsonia formosa	Discoaster praebifax	Discoaster munitus	Discoaster lodoensis	Discoaster kuepperi	Discoaster cruciformis	Discoaster bifax	Cruciplacolithus vanheckae	Coccolithus pelagicus	Chiphragmalithus sp.	Chiasmolithus solitus	Chiasmolithus expansus	Toweius magnicrassus	Toweius callosus	Reticulofenestra hampdenensis	Discoaster sublodoensis	Discoaster binodosus	Chiasmolithus titus	Braarudosphaera bigelowii	Pontosphaera multipora	Ellipsolithus lajollaensis	Discoaster wemmelensis	Syracosphaera pulchra	Sphenolithus moriformis	Reticulofenestra dictyoda	Nannotetrina sp	Nannotetrina fulgens	Nannotetrina cristata	Discoaster saipanensis	Chiasmolithus eograndis	Scampanella asymmetrica	Blackites tenuis	Reticulofenestra samodurovii	Markalius inversus	Pontosphaera versa	Blackites spinulus	Scampanella sp.	Pontosphaera pectinata	Reticulofenestra umbilica	Reticulofenestra reticulata	Reticulofenestra hesslandii	Reticulofenestra hillae	Discoaster tanii nodifer	Reticulofenestra floridana	Clausicoccus subdistichus	Discoaster tanii	Chiasmolithus oamaruensis	Chiasmolithus altus	Reticulofenestra bisecta	Discoaster barbadiensis	Isthmolithus recurvus	Comment



  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  1	H	 1	  31.00	      0.3100	Aubry    	Nannofossils                                 	A              	P                 	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	C                    	                    	                     	                      	                    	                	C                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	A                         	                         	                	                         	C                  	R                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  1	H	 1	  70.00	      0.7000	Aubry    	Nannofossils                                 	A              	M                 	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	R                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	A                         	                         	                	                         	C                  	R                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  1	H	 2	  70.00	      2.2000	Aubry    	Nannofossils                                 	A              	M                 	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	R                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	                            	                  	                  	                  	               	                      	                         	                           	                           	                       	                        	A                         	                         	                	                         	C                  	R                       	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483

  SR	Late Oligocene   	                 	NP23              	NP25          	120	 749	B	  1	H	 3	  70.00	      3.7000	Aubry    	Nannofossils                                 	A              	M                 	                       	                	                    	                                	                                 	                  	                     	                     	                 	                    	                  	                    	                   	                      	                	                          	R                    	                    	                     	                      	                    	                	F                            	                       	                    	                   	                         	                      	                          	                      	                     	                       	                         	               	                    	                     	                      	                       	                       	                	+                           	                  	                  	                  	               	                      	                         	                           	C                          	                       	                        	A                         	                         	                	                         	C                  	                        	                       	                     	from ODP Leg 120 SR Vol 2 Table 5 p 482-483
