Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceratium castelliferum	Stephanopyxis turris	Coscinodiscus marginatus	Azpeitia oligocenica	Asterolampra uraster	Xanthiopyxis panduraeformis	Xanthiopyxis oblonga	Rouxia obesa	Pyxilla reticulata	Paralia sulcata var. crenulata	Paralia architecturalis	Hemiaulus polycystinorum	Asterolampra vulgaris var. cellulosa	Asterolampra grevillei	Ethmodiscus rex	Asterolampra schmidtii	Triceratium kanaya var. quadrilobata	Stephanopyxis ornata	Xanthiopyxis acrolopha	Triceratium inconspicuum	Skeletonema barbadense	Rouxia granda	Diatom (genus & species indet.)	Actinocyclus spp.	Thalassiosira primalabiata	Hemiaulus incisus	Coscinodiscus superbus	Coscinodiscus hajosiae	Asterolampra tela	Thalassiosira bukryi	Synedra jouseana	Rocella praenitida	Rhizosolenia antarctica	Pseudotriceratium radiosoreticulatum	Cestodiscus pulchellus	Cestodiscus convexus	Stellarima spp.	Simonseniella praebarboi	Rocella vigilans var. A	Rhizosolenia hebetata	Baxteriopsis brunii	Asteromphalus oligocenicus	Cestodiscus antarcticus	Asterolampra punctifera	Sceptroneis pesplanus	Kozloviella minor	Coscinodiscus lewisianus	Rocella semigelida	Coscinodiscus superbus 1	Diatom (genus & species indet. 1)	Cestodiscus reticulatus	Stephanopyxis spinossima	Coscinodiscus rhombicus	Coscinodiscus lewisianus var. similis	Rossiella symmetrica	Rhizosolenia sp. A	Coscinodiscus lewisianus var. levis	Azpeitia gombosi	Hemiaulus taurus	Diatom (genus & species indet. 2)	Rocella vigilans var. B	Pleurosigma spp.	Lisitzinia ornata	Thalassiothrix longissima	Thalassiosira vulnifica	Thalassiosira torokina	Thalassiosira oliverana	Thalassiosira oestrupii	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira inura	Thalassiosira insigna	Rouxia diploneides	Rocella gelida	Rhizosolenia styliformis	Nitzschia weaveri	Nitzschia separanda	Nitzschia kerguelenis	Nitzschia interfrigidaria	Nitzschia arcula	Eucampia antarctica	Actinocyclus karstenii	Actinocyclus ingens var. irregularis	Actinocyclus ingens	Actinocyclus fasciculatus	Thalassiosira oliverana (coarse)	Rouxia naviculoides	Rouxia antarctica	Rhizosolenia sp.	Nitzschia ritscherii	Nitzschia aurica	Hemidiscus karstenii	Denticulopsis dimorpha	Actinocyclus actinochilus	Thalassiosira gracilis	Dactyliosolen antarcticus	Azpeitia tabularis	Asteromphalus parvulus	Asteromphalus hookeri	Nitzschia curta	Thalassiosira lentiginosa var. ovalis	Thalassiosira complicata	Nitzschia reinholdii	Nitzschia barronii	Denticulopsis hustedtii	Comment



  SR	                 	                 	                  	              	120	 749	B	  1	H	 1	   0.00	      0.0000	Maruyama 	Diatoms                                      	               	                  	                         	                    	                        	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	                	                  	                       	                                    	                      	                    	               	                        	                       	                     	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	                         	R                      	                      	R                      	                       	R                        	R                   	                   	F                    	                  	              	                        	F                	                   	                     	F                        	                	R                  	                      	                                    	                   	                         	F                               	                   	                 	                	                    	                	                    	R                     	                         	                      	                         	                  	                      	                     	               	R                                    	R                       	R                   	R                 	R                      	from ODP Leg 120 SR Vol 2 Chapter 38 Table 11 back pocket

  SR	                 	                 	                  	              	120	 749	B	  1	H	 1	   2.00	      0.0200	Maruyama 	Diatoms                                      	               	                  	                         	                    	                        	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	                	                  	                       	                                    	                      	                    	               	                        	                       	                     	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	C                        	                       	                      	F                      	                       	C                        	                    	                   	                     	                  	              	R                       	                 	F                  	A                    	                         	                	R                  	                      	                                    	F                  	                         	                                	                   	                 	                	R                   	                	                    	                      	R                        	R                     	R                        	R                 	R                     	R                    	R              	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 11 back pocket

  SR	                 	                 	                  	              	120	 749	B	  1	H	 1	  15.00	      0.1500	Maruyama 	Diatoms                                      	               	                  	                         	                    	                        	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	                	                  	                       	                                    	                      	                    	               	                        	                       	                     	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	F                        	                       	                      	F                      	                       	C                        	                    	                   	                     	                  	              	                        	                 	F                  	A                    	                         	                	R                  	                      	                                    	R                  	                         	                                	                   	                 	                	R                   	                	                    	                      	F                        	F                     	R                        	R                 	R                     	R                    	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 11 back pocket

  SR	                 	                 	                  	              	120	 749	B	  1	H	 1	  23.00	      0.2300	Maruyama 	Diatoms                                      	               	                  	                         	                    	                        	                    	                    	                           	                    	            	                  	                              	                       	                        	                                    	                      	               	                      	                                    	                    	                      	                        	                      	             	                               	                 	                          	                 	                      	                      	                 	                    	                	                  	                       	                                    	                      	                    	               	                        	                       	                     	                   	                          	                       	                       	                     	                 	                        	                  	                        	                                 	                       	                        	                       	                                     	                    	                  	                                   	                	                	                                 	                       	                	                 	F                        	R                      	                      	C                      	                       	F                        	F                   	                   	R                    	                  	              	                        	R                	F                  	C                    	F                        	R               	R                  	                      	                                    	F                  	                         	R                               	R                  	R                	R               	F                   	R               	R                   	R                     	R                        	                      	                         	                  	                      	                     	               	                                     	                        	                    	                  	                       	from ODP Leg 120 SR Vol 2 Chapter 38 Table 11 back pocket
