Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xitus spp.,Tricolocapsa sp. B,Tricolocapsa sp. A,Nassellaria taxa (cryptocephalic and cryptothoracic),Holocryptocanium barbui,Eusyringium sp. A,Cyrtocapsa (?) sp. aff. C. pseudacerra,Cyrtocapsa (?) sp. A,Cryptamphorella sp. A,Archaeodictyomitra spp. (slender group),Archaeodictyomitra brouweri var. alpha,Archaeodictyomitra brouweri s.l.,Tripocalpis laboriosus,Spongocapsula (?) sp. A,Sethocapsa sp. B,Sethocapsa sp. A,Cryptamphorella sp. aff. C. macropora,Archaeodictyomitra sp. A,Archaeodictyomitra brouweri typica,Archaeodictyomitra brouweri gamma,Archaeodictyomitra aff. A. apiarium,Spongocapsula (?) sp. B,Sethocapsa orca,Ristola sp. A,Praeconocaryomma (?) sp. A,Parvicingula sp. E,Parvicingula sp. A,Paronaella (?) sp. A,Paronaella spp.,Pantanellium squinaboli cantuchapai,Eusyringium sp. B,Eucyrtis hanni,Cenosphaera spp.,Acaeniotyle (?) sp. A,Sethocapsa spp.,Pseudoeucyrtis sp. A,Podocapsa amphitreptera,Parvicingula sp. B,Napora spp.,Angulobracchia (?) sp. A,Sethocapsa dorysphaeroides,Patellula sp. A,Parvicingula sp. D,Pantanellium squinaboli squinaboli,Obesacapsula verbana,Crucella spp.,Pseudoeucyrtis sp. C,Tricolocapsa spp.,Sethocapsa leiostraca,Praeconocaryomma spp.,Parvicingula sphaerica,Eucyrtis micropora,Cryptamphorella spp.,Angulobracchia spp.,Acaeniotyle umbilicata,Parvicingula sp. C,Orbiculiforma spp.,Sethocapsa cetia,Pseudoeucyrtis sp. B,Praeconocaryomma sp. aff. P. prisca,Podocapsa sp. A,Eusyringium sp. C,Eusyringium sp. D,Crucella sp. aff. C. espartoensis,Acaeniotyle diaphorogona,Cecrops septemporatus,Angulobracchia (?)  media,Amphipyndax mediocris,Alievium helenae,Acanthocircus trizonalis,Stichocapsa perspicua,Mirifusus chenodes,Histiastrum cruciferum,Cyclastrum infundibuliforme,Triactoma echiodes,Lithatractus pusillus,Parvicingulid sp. A,Eucyrtis columbaria,Petasiforma sp.,Parvicingulid sp. B,Stephanastrum orbiculare,Orbiculiforma railensis,Eucyrtis tenuis,Cyclastrum sp. A,Acanthocircus trizonalis dicranacanthos,Parvicingulid sp. C,Pseudodictyomitra lilyae,Stephanastrum inflexum,Spongotripus trigonus,Parvicingula malleola,Crucella cachensis,Foremanella diamphidia hipposidericus,Foremanella diamphidia diamphidia,Parvicingulid sp. D,Vitorfus brustolensis,Cyrtocapsa grutterinki,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 42,R, 3,  60.00,    743.4000,Baumgartner,Radiolarians                                 ,A              ,G                 ,          ,                  ,                  ,F                                                   ,                       ,                 ,                                      ,                    ,                     ,R                                      ,                                      ,R                               ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,F              ,                                   ,                 ,R             ,C               ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,C            ,                    ,                 ,                     ,A                    ,                      ,R                 ,                    ,R                  ,R                     ,                  ,F                 ,                ,                    ,                                   ,               ,                 ,                 ,R                                ,                        ,                     ,                         ,                     ,                ,                        ,                     ,R                 ,R                     ,                           ,                  ,                     ,                   ,R                  ,               ,R                  ,R                       ,                       ,               ,                ,                                       ,                   ,                        ,                      ,                     ,                     ,R                 ,                                     ,                                 ,A                  ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 42,R, 3, 140.00,    744.2000,Baumgartner,Radiolarians                                 ,A              ,G                 ,          ,                  ,                  ,C                                                   ,                       ,                 ,                                      ,                    ,                     ,R                                      ,                                      ,F                               ,                      ,                       ,                ,                ,                                     ,                        ,F                                 ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,R              ,                                   ,                 ,R             ,F               ,                     ,R              ,                    ,                       ,                  ,           ,R                       ,                          ,               ,                  ,                                  ,                    ,R            ,                    ,                 ,                     ,R                    ,                      ,R                 ,                    ,R                  ,                      ,                  ,                  ,                ,                    ,                                   ,               ,                 ,                 ,R                                ,R                       ,                     ,                         ,                     ,                ,                        ,R                    ,R                 ,                      ,                           ,                  ,                     ,                   ,R                  ,               ,VR                 ,VR                      ,R                      ,               ,                ,                                       ,F                  ,                        ,                      ,                     ,                     ,R                 ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 42,R, 4, 148.00,    745.7800,Baumgartner,Radiolarians                                 ,A              ,G                 ,          ,                  ,                  ,                                                    ,                       ,                 ,                                      ,                    ,                     ,                                       ,                                      ,R                               ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,                                   ,                 ,F             ,                ,                     ,               ,                    ,                       ,                  ,           ,                        ,                          ,               ,                  ,                                  ,                    ,F            ,                    ,                 ,                     ,F                    ,                      ,F                 ,                    ,                   ,F                     ,                  ,R                 ,                ,                    ,                                   ,               ,                 ,                 ,R                                ,                        ,                     ,                         ,R                    ,                ,                        ,                     ,                  ,F                     ,                           ,                  ,                     ,R                  ,R                  ,               ,                   ,R                       ,                       ,R              ,                ,                                       ,F                  ,F                       ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,R                    ,F                     ,from ODP Leg 123 SR Chapter 15 Tables 1 & 2 pp 304-305 & taxonomy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 765,C, 43,R, 1,  76.00,    749.8600,Baumgartner,Radiolarians                                 ,A              ,G                 ,          ,                  ,                  ,R                                                   ,                       ,                 ,                                      ,                    ,                     ,R                                      ,                                      ,                                ,                      ,                       ,                ,                ,                                     ,                        ,                                  ,                                 ,                                   ,                       ,               ,             ,                          ,                  ,                  ,                    ,               ,VR                                 ,                 ,F             ,                ,                     ,               ,                    ,                       ,                  ,R          ,                        ,                          ,               ,                  ,                                  ,                    ,R            ,                    ,                 ,                     ,                     ,                      ,F                 ,                    ,                   ,R                     ,                  ,                  ,                ,                    ,                                   ,               ,                 ,                 ,R                                ,R                       ,                     ,                         ,                     ,                ,                        ,                     ,                  ,                      ,                           ,                  ,                     ,R                  ,F                  ,               ,                   ,R                       ,                       ,               ,                ,                                       ,F                  ,                        ,                      ,                     ,                     ,                  ,                                     ,                                 ,                   ,                     ,                      ,from ODP Leg 123 SR Chapter 15 Table 1 & 2 pp 302-305
