Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verneuilinoides sp. (slender),Uvigerinammina spp.,Trochammina sp. A (large biconvex),Trochammina quinqueloba,Rhizammina spp.,Pseudobolivina spp.,Psammosphaera sp.,Hyperammina spp.,Hippocrepina depressa,Haplophragmoides kirki,Glomospira gordialis,Glomospira charoides,Bulbobaculites inconstans,Bathysiphon spp.,Ammodiscus tenuissimus,Ammodiscus sp. C (robust),Ammodiscus sp. B (coarse irreg. flat),Ammodiscoides sp.,Trochammina abrupta (low-spired),Trochammina abrupta,Rhabdammina spp.,Recurvoides sp. A (smooth),Psammosphaera fusca,Ammolagena clavata,Ammobaculites sp. (coarse),Reophax sp. C (coarse),Haplophragmoides sp. D (flat evolute),Aschemocella spp.,Marssonella sp. (conical),Verneuilinoides neocomiensis,Recurvoides sp. B (coarse 5 chamb),Bigenerina sp.,Trochamminoides sp.,Pseudoreophax cisovnicensis,Praedorothia sp. B (biserial),Lagenammina spp.,Hormosina crassa,Haplophragmoides sp. B (five-chamb. round),Glomospira sp. aff. G. serpens,Glomospira irregularis,Ammodiscus sp. A (wide whorl),Ammodiscus cretaceus,Ammobaculoides sp.,Spiroplectammina sp.,Saccammina sp.,Reophax helveticus,Paratrochammina spp.,Paalzowella feifeli,Lingulina semiornata,Lenticulina sp. aff. L. nodosa,Lenticulina muensteri,Dentalina spp.,Citharina sp.,Arenoturrispirillina jeletzkyi,Subreophax spp.,Praedorothia sp. A (smooth),Hormosina cf. crassa,Turritellella sp.,Reophax sp. B (globular chamber),Reophax duplex,Paratrochamminoides spp.,Hormosina excelsa,Glomospirella gaultina,Praecystammina? sp.,Hyperammina dilatata,Glomospirella sp.,Kalamopsis sp. aff. K. grzybowskii,Haplophragmoides sp. A (flat),Gaudryina filiformis,Hormosinella sp.,Haplophragmoides sp. (broad),Haplophragmoides sp. C (thick convex),Eggerella sp. (coarse flaring),Textularia sp. (coarse),Dendrophyra latissima,Gaudryina sp. A (coarse),Praedorothia praehauteriviana,Lenticulina spp.,Ramulina aculeata,Pyrulina longa,Lenticulina sp. aff. L. saxonica,Lenticulina ouachensis,Epistomina caracolla,Vaginulopsis reticulosa,Vaginulinopsis humilis,Vaginulina sp.,Nodosaria sp.,Lingulina loryi,Lenticulina subalata,Lenticulina guttata,Gavelinella sp.,Gavelinella bettenstaedti,Lituotuba spp.,Glomospira sp. aff. G. diffundens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,                  ,              ,123, 765,C, 47,R, 3,   9.00,    790.4900,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,F              ,                   ,                 ,                ,                     ,                      ,                    ,F                   ,                         ,F               ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,R                     ,                             ,F                   ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,R                     ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 6; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Barremian        ,                 ,                  ,              ,123, 765,C, 48,R, 1, 106.00,    797.9600,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,F              ,                   ,                 ,                ,                     ,                      ,                    ,F                   ,                         ,F               ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,R                             ,R                     ,                             ,R                   ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,R                     ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,R             ,                                 ,Total species = 8; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Barremian        ,                 ,                  ,              ,123, 765,C, 49,R, 3,  69.00,    809.9900,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,R              ,                   ,                 ,                ,                     ,                      ,                    ,F                   ,                         ,                ,                      ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,                              ,                      ,                             ,F                   ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,              ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 3; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Barremian        ,                 ,                  ,              ,123, 765,C, 49,R, 6,   7.00,    813.5700,Kaminski ,Benthic Foraminifers                         ,               ,                  ,                             ,                   ,                                  ,                       ,F              ,                   ,                 ,                ,                     ,                      ,R                   ,R                   ,                         ,F               ,R                     ,                         ,                                     ,                 ,                                ,                   ,                ,                          ,                   ,                  ,                          ,                      ,                                     ,                 ,                         ,                            ,                                  ,              ,                   ,                           ,                             ,                ,                ,                                          ,R                             ,                      ,                             ,R                   ,                  ,                    ,              ,                  ,                    ,                   ,                    ,                              ,                     ,              ,             ,                              ,               ,                           ,                    ,                 ,                                ,R             ,                        ,                 ,                      ,                   ,                    ,                 ,                                  ,                             ,                    ,                ,                            ,                                     ,                              ,                       ,                     ,                        ,                             ,                ,                 ,              ,                                ,                      ,                    ,                       ,                      ,              ,             ,               ,                    ,                   ,               ,                         ,              ,                                 ,Total species = 8; from ODP Leg 123 SR Chapter 13 appendix A p 265-268
